; Candidate 3983
; ADRP+ADD at VM 0xfffffff00877ec38 (fileoff 0x177ac38): page=0x1fe9b3000 add_imm=0xd90

0xfffffff00877ebb8: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff00877ebbc: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00877ebc0: fdc30091  add	x29, sp, #0x30
0xfffffff00877ebc4: 080080d2  mov	x8, #0
0xfffffff00877ebc8: 15008052  mov	w21, #0
0xfffffff00877ebcc: 091041b9  ldr	w9, [x0, #0x110]
0xfffffff00877ebd0: 0a0c8052  mov	w10, #0x60
0xfffffff00877ebd4: 29010a9b  madd	x9, x9, x10, x0
0xfffffff00877ebd8: 2aa94b79  ldrh	w10, [x9, #0x5d4]
0xfffffff00877ebdc: 0b118052  mov	w11, #0x88
0xfffffff00877ebe0: 4a010b9b  madd	x10, x10, x11, x0
0xfffffff00877ebe4: 539d40f9  ldr	x19, [x10, #0x138]
0xfffffff00877ebe8: 29ad4b79  ldrh	w9, [x9, #0x5d6]
0xfffffff00877ebec: 14008012  mov	w20, #-1
0xfffffff00877ebf0: 6a06088b  add	x10, x19, x8, lsl #1
0xfffffff00877ebf4: 4a354079  ldrh	w10, [x10, #0x1a]
0xfffffff00877ebf8: 9f060031  cmn	w20, #1
0xfffffff00877ebfc: 0b01941a  csel	w11, w8, w20, eq
0xfffffff00877ec00: 5f010071  cmp	w10, #0
0xfffffff00877ec04: b506951a  cinc	w21, w21, ne
0xfffffff00877ec08: 94028b1a  csel	w20, w20, w11, eq
0xfffffff00877ec0c: 08050091  add	x8, x8, #1
0xfffffff00877ec10: 1f0d00f1  cmp	x8, #3
0xfffffff00877ec14: e1feff54  b.ne	#0xfffffff00877ebf0
0xfffffff00877ec18: 36150012  and	w22, w9, #0x3f
0xfffffff00877ec1c: bf020071  cmp	w21, #0
0xfffffff00877ec20: 841a413a  ccmn	w20, #1, #4, ne
0xfffffff00877ec24: a1010054  b.ne	#0xfffffff00877ec58
0xfffffff00877ec28: 284c8052  mov	w8, #0x261
0xfffffff00877ec2c: e94eff90  adrp	x9, #0xfffffff00715a000
0xfffffff00877ec30: 297d0691  add	x9, x9, #0x19f
0xfffffff00877ec34: e92300a9  stp	x9, x8, [sp]
0xfffffff00877ec38: 804dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00877ec3c: 00403691  add	x0, x0, #0xd90
0xfffffff00877ec40: e193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877ec44: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877ec48: 234effd0  adrp	x3, #0xfffffff007144000
0xfffffff00877ec4c: 63003e91  add	x3, x3, #0xf80
0xfffffff00877ec50: 02008052  mov	w2, #0
0xfffffff00877ec54: 37d1ee97  bl	#0xfffffff008333130
0xfffffff00877ec58: 891f8e52  mov	w9, #0x70fc
0xfffffff00877ec5c: 4900a072  movk	w9, #2, lsl #16
0xfffffff00877ec60: 88118352  mov	w8, #0x188c
0xfffffff00877ec64: ca7e081b  mul	w10, w22, w8
0xfffffff00877ec68: 4801090b  add	w8, w10, w9
0xfffffff00877ec6c: 0b3d1e12  and	w11, w8, #0x3fffc
0xfffffff00877ec70: 2c008052  mov	w12, #1
0xfffffff00877ec74: 0caea072  movk	w12, #0x570, lsl #16
0xfffffff00877ec78: 6b010c2a  orr	w11, w11, w12
0xfffffff00877ec7c: 6b0200b9  str	w11, [x19]
0xfffffff00877ec80: 08e11511  add	w8, w8, #0x578
0xfffffff00877ec84: 083d1e12  and	w8, w8, #0x3fffc
0xfffffff00877ec88: 2b008052  mov	w11, #1
0xfffffff00877ec8c: 8b00a072  movk	w11, #4, lsl #16
0xfffffff00877ec90: 08010b2a  orr	w8, w8, w11
0xfffffff00877ec94: 680e06b9  str	w8, [x19, #0x60c]
0xfffffff00877ec98: 6bc24879  ldrh	w11, [x19, #0x460]
0xfffffff00877ec9c: 6cc64879  ldrh	w12, [x19, #0x462]
0xfffffff00877eca0: 8c7d0b9b  mul	x12, x12, x11
0xfffffff00877eca4: 9f090071  cmp	w12, #2
0xfffffff00877eca8: c3000054  b.lo	#0xfffffff00877ecc0
0xfffffff00877ecac: 6b621891  add	x11, x19, #0x618
0xfffffff00877ecb0: 8c0500d1  sub	x12, x12, #1
0xfffffff00877ecb4: 68c500b8  str	w8, [x11], #0xc
