; Candidate 6359
; ADRP+ADD at VM 0xfffffff008826de0 (fileoff 0x1822de0): page=0x1fe9c3000 add_imm=0xe80

0xfffffff008826d60: f3d300a9  stp	x19, x20, [sp, #8]
0xfffffff008826d64: e8830191  add	x8, sp, #0x60
0xfffffff008826d68: c04ffff0  adrp	x0, #0xfffffff007221000
0xfffffff008826d6c: 00181b91  add	x0, x0, #0x6c6
0xfffffff008826d70: e80300f9  str	x8, [sp]
0xfffffff008826d74: bb41d697  bl	#0xfffffff007db7460
0xfffffff008826d78: 3a000014  b	#0xfffffff008826e60
0xfffffff008826d7c: 76a21991  add	x22, x19, #0x668
0xfffffff008826d80: e00316aa  mov	x0, x22
0xfffffff008826d84: 2b220094  bl	#0xfffffff00882f630
0xfffffff008826d88: 09350294  bl	#0xfffffff0088b41ac
0xfffffff008826d8c: f70300aa  mov	x23, x0
0xfffffff008826d90: e00315aa  mov	x0, x21
0xfffffff008826d94: af520194  bl	#0xfffffff00887b850
0xfffffff008826d98: f50300aa  mov	x21, x0
0xfffffff008826d9c: 781240b9  ldr	w24, [x19, #0x10]
0xfffffff008826da0: 795a46b9  ldr	w25, [x19, #0x658]
0xfffffff008826da4: 7a5e46b9  ldr	w26, [x19, #0x65c]
0xfffffff008826da8: 7b6246b9  ldr	w27, [x19, #0x660]
0xfffffff008826dac: e00316aa  mov	x0, x22
0xfffffff008826db0: 20220094  bl	#0xfffffff00882f630
0xfffffff008826db4: 684243f9  ldr	x8, [x19, #0x680]
0xfffffff008826db8: 697a46b9  ldr	w9, [x19, #0x678]
0xfffffff008826dbc: e92305a9  stp	x9, x8, [sp, #0x50]
0xfffffff008826dc0: fb0304a9  stp	x27, x0, [sp, #0x40]
0xfffffff008826dc4: f96b03a9  stp	x25, x26, [sp, #0x30]
0xfffffff008826dc8: f36302a9  stp	x19, x24, [sp, #0x20]
0xfffffff008826dcc: e8830191  add	x8, sp, #0x60
0xfffffff008826dd0: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff008826dd4: 2351ffb0  adrp	x3, #0xfffffff00724b000
0xfffffff008826dd8: 63041791  add	x3, x3, #0x5c1
0xfffffff008826ddc: f75300a9  stp	x23, x20, [sp]
0xfffffff008826de0: 004efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008826de4: 00003a91  add	x0, x0, #0xe80
0xfffffff008826de8: 018fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008826dec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008826df0: 02008052  mov	w2, #0
0xfffffff008826df4: cf30ec97  bl	#0xfffffff008333130
0xfffffff008826df8: 1a000014  b	#0xfffffff008826e60
0xfffffff008826dfc: 74a21991  add	x20, x19, #0x668
0xfffffff008826e00: e00314aa  mov	x0, x20
0xfffffff008826e04: 0b220094  bl	#0xfffffff00882f630
0xfffffff008826e08: 751240b9  ldr	w21, [x19, #0x10]
0xfffffff008826e0c: 765a46b9  ldr	w22, [x19, #0x658]
0xfffffff008826e10: 775e46b9  ldr	w23, [x19, #0x65c]
0xfffffff008826e14: 786246b9  ldr	w24, [x19, #0x660]
0xfffffff008826e18: e00314aa  mov	x0, x20
0xfffffff008826e1c: 05220094  bl	#0xfffffff00882f630
0xfffffff008826e20: 684243f9  ldr	x8, [x19, #0x680]
0xfffffff008826e24: 697a46b9  ldr	w9, [x19, #0x678]
0xfffffff008826e28: e9a303a9  stp	x9, x8, [sp, #0x38]
0xfffffff008826e2c: f88302a9  stp	x24, x0, [sp, #0x28]
0xfffffff008826e30: f6df01a9  stp	x22, x23, [sp, #0x18]
0xfffffff008826e34: f3d700a9  stp	x19, x21, [sp, #8]
0xfffffff008826e38: e8830191  add	x8, sp, #0x60
0xfffffff008826e3c: e80300f9  str	x8, [sp]
0xfffffff008826e40: 004efff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008826e44: 00003a91  add	x0, x0, #0xe80
0xfffffff008826e48: 018fffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008826e4c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008826e50: 2351ffb0  adrp	x3, #0xfffffff00724b000
0xfffffff008826e54: 63201591  add	x3, x3, #0x548
0xfffffff008826e58: 02008052  mov	w2, #0
0xfffffff008826e5c: b530ec97  bl	#0xfffffff008333130
