; Candidate 2491
; ADRP+ADD at VM 0xfffffff0086a29b4 (fileoff 0x169e9b4): page=0x1c37000 add_imm=0xd40

0xfffffff0086a2934: 10a20b91  add	x16, x16, #0x2e8
0xfffffff0086a2938: 10420091  add	x16, x16, #0x10
0xfffffff0086a293c: f10300aa  mov	x17, x0
0xfffffff0086a2940: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086a2944: 300ac1da  pacda	x16, x17
0xfffffff0086a2948: 100000f9  str	x16, [x0]
0xfffffff0086a294c: a0e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a2950: 00403691  add	x0, x0, #0xd90
0xfffffff0086a2954: 2154fff0  adrp	x1, #0xfffffff007129000
0xfffffff0086a2958: 21fc3091  add	x1, x1, #0xc3f
0xfffffff0086a295c: 029affb0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086a2960: 42a846f9  ldr	x2, [x2, #0xd50]
0xfffffff0086a2964: 031b8052  mov	w3, #0xd8
0xfffffff0086a2968: 7404f197  bl	#0xfffffff0082e3b38
0xfffffff0086a296c: 709aff90  adrp	x16, #0xfffffff0079ee000
0xfffffff0086a2970: 10a22591  add	x16, x16, #0x968
0xfffffff0086a2974: 10420091  add	x16, x16, #0x10
0xfffffff0086a2978: f10300aa  mov	x17, x0
0xfffffff0086a297c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086a2980: 300ac1da  pacda	x16, x17
0xfffffff0086a2984: 100000f9  str	x16, [x0]
0xfffffff0086a2988: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086a298c: ff0f5fd6  retab	
0xfffffff0086a2990: 7f2303d5  pacibsp	
0xfffffff0086a2994: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086a2998: fd030091  mov	x29, sp
0xfffffff0086a299c: a0e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a29a0: 00403691  add	x0, x0, #0xd90
0xfffffff0086a29a4: 5407f197  bl	#0xfffffff0082e46f4
0xfffffff0086a29a8: a0e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a29ac: 00a03591  add	x0, x0, #0xd68
0xfffffff0086a29b0: 5107f197  bl	#0xfffffff0082e46f4
0xfffffff0086a29b4: a0e100f0  adrp	x0, #0xfffffff00a2d9000
0xfffffff0086a29b8: 00003591  add	x0, x0, #0xd40
0xfffffff0086a29bc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086a29c0: ff2303d5  autibsp	
0xfffffff0086a29c4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0086a29c8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0086a29d0
0xfffffff0086a29cc: 208e38d4  brk	#0xc471
0xfffffff0086a29d0: 4907f117  b	#0xfffffff0082e46f4
0xfffffff0086a29d4: 7f2303d5  pacibsp	
0xfffffff0086a29d8: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086a29dc: fd030091  mov	x29, sp
0xfffffff0086a29e0: 2154fff0  adrp	x1, #0xfffffff007129000
0xfffffff0086a29e4: 216c3291  add	x1, x1, #0xc9b
0xfffffff0086a29e8: 029affb0  adrp	x2, #0xfffffff0079e3000
0xfffffff0086a29ec: 42fc46f9  ldr	x2, [x2, #0xdf8]
0xfffffff0086a29f0: 03068052  mov	w3, #0x30
0xfffffff0086a29f4: 5104f197  bl	#0xfffffff0082e3b38
0xfffffff0086a29f8: 709aff90  adrp	x16, #0xfffffff0079ee000
0xfffffff0086a29fc: 10422a91  add	x16, x16, #0xa90
0xfffffff0086a2a00: 10420091  add	x16, x16, #0x10
0xfffffff0086a2a04: f10300aa  mov	x17, x0
0xfffffff0086a2a08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086a2a0c: 300ac1da  pacda	x16, x17
0xfffffff0086a2a10: 100000f9  str	x16, [x0]
0xfffffff0086a2a14: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0086a2a18: ff0f5fd6  retab	
0xfffffff0086a2a1c: 5f2403d5  bti	c
0xfffffff0086a2a20: 3507f117  b	#0xfffffff0082e46f4
0xfffffff0086a2a24: 7f2303d5  pacibsp	
0xfffffff0086a2a28: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0086a2a2c: fd030091  mov	x29, sp
0xfffffff0086a2a30: 3857f497  bl	#0xfffffff0083b8710
