; Candidate 7778
; ADRP+ADD at VM 0xfffffff00887ede0 (fileoff 0x187ade0): page=0x1fe96b000 add_imm=0xe80

0xfffffff00887ed60: 76130034  cbz	w22, #0xfffffff00887efcc
0xfffffff00887ed64: e80314aa  mov	x8, x20
0xfffffff00887ed68: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00887ed6c: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887ed70: 08991a91  add	x8, x8, #0x6a6
0xfffffff00887ed74: 69058052  mov	w9, #0x2b
0xfffffff00887ed78: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887ed7c: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887ed80: 08d91891  add	x8, x8, #0x636
0xfffffff00887ed84: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887ed88: 680d8052  mov	w8, #0x6b
0xfffffff00887ed8c: 604dffd0  adrp	x0, #0xfffffff00722c000
0xfffffff00887ed90: 00801991  add	x0, x0, #0x660
0xfffffff00887ed94: f52300a9  stp	x21, x8, [sp]
0xfffffff00887ed98: b2e1d497  bl	#0xfffffff007db7460
0xfffffff00887ed9c: 16008052  mov	w22, #0
0xfffffff00887eda0: a2000014  b	#0xfffffff00887f028
0xfffffff00887eda4: 02d50094  bl	#0xfffffff0088b41ac
0xfffffff00887eda8: f50300aa  mov	x21, x0
0xfffffff00887edac: 80008052  mov	w0, #4
0xfffffff00887edb0: a8f2ff97  bl	#0xfffffff00887b850
0xfffffff00887edb4: e80314aa  mov	x8, x20
0xfffffff00887edb8: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff00887edbc: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887edc0: 08111991  add	x8, x8, #0x644
0xfffffff00887edc4: a9038052  mov	w9, #0x1d
0xfffffff00887edc8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00887edcc: 684dffd0  adrp	x8, #0xfffffff00722c000
0xfffffff00887edd0: 08d91891  add	x8, x8, #0x636
0xfffffff00887edd4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00887edd8: 680d8052  mov	w8, #0x6b
0xfffffff00887eddc: f52300a9  stp	x21, x8, [sp]
0xfffffff00887ede0: 404bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00887ede4: 00003a91  add	x0, x0, #0xe80
0xfffffff00887ede8: 418cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00887edec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00887edf0: e34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff00887edf4: 63681391  add	x3, x3, #0x4da
0xfffffff00887edf8: 02008052  mov	w2, #0
0xfffffff00887edfc: cdd0ea97  bl	#0xfffffff008333130
0xfffffff00887ee00: 157d8012  mov	w21, #-0x3e9
0xfffffff00887ee04: 131700b4  cbz	x19, #0xfffffff00887f0e4
0xfffffff00887ee08: 16008052  mov	w22, #0
0xfffffff00887ee0c: 88000014  b	#0xfffffff00887f02c
0xfffffff00887ee10: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff00887ee14: 488cffd0  adrp	x8, #0xfffffff007a08000
0xfffffff00887ee18: 085142f9  ldr	x8, [x8, #0x4a0]
0xfffffff00887ee1c: 010140f9  ldr	x1, [x8]
0xfffffff00887ee20: 020080d2  mov	x2, #0
0xfffffff00887ee24: 23008052  mov	w3, #1
0xfffffff00887ee28: 040080d2  mov	x4, #0
0xfffffff00887ee2c: 050080d2  mov	x5, #0
0xfffffff00887ee30: fb29ed97  bl	#0xfffffff0083c961c
0xfffffff00887ee34: 601200f9  str	x0, [x19, #0x20]
0xfffffff00887ee38: a01b00b4  cbz	x0, #0xfffffff00887f1ac
0xfffffff00887ee3c: 100040f9  ldr	x16, [x0]
0xfffffff00887ee40: f10300aa  mov	x17, x0
0xfffffff00887ee44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00887ee48: 301ac1da  autda	x16, x17
0xfffffff00887ee4c: 088e47f8  ldr	x8, [x16, #0x78]!
0xfffffff00887ee50: e90310aa  mov	x9, x16
0xfffffff00887ee54: f10309aa  mov	x17, x9
0xfffffff00887ee58: d19ee6f2  movk	x17, #0x34f6, lsl #48
0xfffffff00887ee5c: 11093fd7  blraa	x8, x17
