; Candidate 9714
; ADRP+ADD at VM 0xfffffff008adcf6c (fileoff 0x1ad8f6c): page=0x1fe7e8000 add_imm=0xdeb

0xfffffff008adceec: 83fdff54  b.lo	#0xfffffff008adce9c
0xfffffff008adcef0: ff2f00f9  str	xzr, [sp, #0x58]
0xfffffff008adcef4: ff5700b9  str	wzr, [sp, #0x54]
0xfffffff008adcef8: ff2700f9  str	xzr, [sp, #0x48]
0xfffffff008adcefc: 7f8600f9  str	xzr, [x19, #0x108]
0xfffffff008adcf00: b00240f9  ldr	x16, [x21]
0xfffffff008adcf04: f10315aa  mov	x17, x21
0xfffffff008adcf08: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008adcf0c: 301ac1da  autda	x16, x17
0xfffffff008adcf10: 112380d2  mov	x17, #0x118
0xfffffff008adcf14: 1002118b  add	x16, x16, x17
0xfffffff008adcf18: 080240f9  ldr	x8, [x16]
0xfffffff008adcf1c: e90310aa  mov	x9, x16
0xfffffff008adcf20: 413fff90  adrp	x1, #0xfffffff0072c4000
0xfffffff008adcf24: 21203791  add	x1, x1, #0xdc8
0xfffffff008adcf28: e00315aa  mov	x0, x21
0xfffffff008adcf2c: f10309aa  mov	x17, x9
0xfffffff008adcf30: b1f4e6f2  movk	x17, #0x37a5, lsl #48
0xfffffff008adcf34: 11093fd7  blraa	x8, x17
0xfffffff008adcf38: e10317aa  mov	x1, x23
0xfffffff008adcf3c: 6e1be097  bl	#0xfffffff0082e3cf4
0xfffffff008adcf40: 400b00b4  cbz	x0, #0xfffffff008add0a8
0xfffffff008adcf44: 413fff90  adrp	x1, #0xfffffff0072c4000
0xfffffff008adcf48: 21743791  add	x1, x1, #0xddd
0xfffffff008adcf4c: e2630191  add	x2, sp, #0x58
0xfffffff008adcf50: 000080d2  mov	x0, #0
0xfffffff008adcf54: db3de697  bl	#0xfffffff00846c6c0
0xfffffff008adcf58: 1f040071  cmp	w0, #1
0xfffffff008adcf5c: 610a0054  b.ne	#0xfffffff008add0a8
0xfffffff008adcf60: 543fff90  adrp	x20, #0xfffffff0072c4000
0xfffffff008adcf64: 94aa3891  add	x20, x20, #0xe2a
0xfffffff008adcf68: f40300f9  str	x20, [sp]
0xfffffff008adcf6c: 403fff90  adrp	x0, #0xfffffff0072c4000
0xfffffff008adcf70: 00ac3791  add	x0, x0, #0xdeb
0xfffffff008adcf74: 2be8e197  bl	#0xfffffff008357020
0xfffffff008adcf78: e02f40f9  ldr	x0, [sp, #0x58]
0xfffffff008adcf7c: 413fff90  adrp	x1, #0xfffffff0072c4000
0xfffffff008adcf80: 21203791  add	x1, x1, #0xdc8
0xfffffff008adcf84: e2230191  add	x2, sp, #0x48
0xfffffff008adcf88: e3530191  add	x3, sp, #0x54
0xfffffff008adcf8c: 9c3fe697  bl	#0xfffffff00846cdfc
0xfffffff008adcf90: 1f040071  cmp	w0, #1
0xfffffff008adcf94: 21080054  b.ne	#0xfffffff008add098
0xfffffff008adcf98: f60315aa  mov	x22, x21
0xfffffff008adcf9c: f55740b9  ldr	w21, [sp, #0x54]
0xfffffff008adcfa0: b4fe42d3  lsr	x20, x21, #2
0xfffffff008adcfa4: bf0a14eb  cmp	x21, x20, lsl #2
0xfffffff008adcfa8: 415c0054  b.ne	#0xfffffff008addb30
0xfffffff008adcfac: 60e240b9  ldr	w0, [x19, #0xe0]
0xfffffff008adcfb0: 9f02006b  cmp	w20, w0
0xfffffff008adcfb4: e85b0054  b.hi	#0xfffffff008addb30
0xfffffff008adcfb8: 5fe7e197  bl	#0xfffffff008356d34
0xfffffff008adcfbc: 608600f9  str	x0, [x19, #0x108]
0xfffffff008adcfc0: a05b00b4  cbz	x0, #0xfffffff008addb34
0xfffffff008adcfc4: bf120071  cmp	w21, #4
0xfffffff008adcfc8: f50316aa  mov	x21, x22
0xfffffff008adcfcc: e3060054  b.lo	#0xfffffff008add0a8
0xfffffff008adcfd0: 6ae240b9  ldr	w10, [x19, #0xe0]
0xfffffff008adcfd4: e82740f9  ldr	x8, [sp, #0x48]
0xfffffff008adcfd8: 0909148b  add	x9, x8, x20, lsl #2
0xfffffff008adcfdc: 290108eb  subs	x9, x9, x8
0xfffffff008adcfe0: eb279f1a  cset	w11, lo
0xfffffff008adcfe4: 0a000a8b  add	x10, x0, x10
0xfffffff008adcfe8: 4a0100eb  subs	x10, x10, x0
