; Candidate 8885
; ADRP+ADD at VM 0xfffffff0088e9dc0 (fileoff 0x18e5dc0): page=0x1fe983000 add_imm=0xcfb

0xfffffff0088e9d40: 408e38d4  brk	#0xc472
0xfffffff0088e9d44: 08820a91  add	x8, x16, #0x2a0
0xfffffff0088e9d48: 095241f9  ldr	x9, [x16, #0x2a0]
0xfffffff0088e9d4c: e00313aa  mov	x0, x19
0xfffffff0088e9d50: 01008052  mov	w1, #0
0xfffffff0088e9d54: f10308aa  mov	x17, x8
0xfffffff0088e9d58: 31abeff2  movk	x17, #0x7d59, lsl #48
0xfffffff0088e9d5c: 31093fd7  blraa	x9, x17
0xfffffff0088e9d60: e00315aa  mov	x0, x21
0xfffffff0088e9d64: e10314aa  mov	x1, x20
0xfffffff0088e9d68: 06b4e997  bl	#0xfffffff008356d80
0xfffffff0088e9d6c: d00240f9  ldr	x16, [x22]
0xfffffff0088e9d70: f10316aa  mov	x17, x22
0xfffffff0088e9d74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088e9d78: 301ac1da  autda	x16, x17
0xfffffff0088e9d7c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0088e9d80: e10310aa  mov	x1, x16
0xfffffff0088e9d84: f00308aa  mov	x16, x8
0xfffffff0088e9d88: e00316aa  mov	x0, x22
0xfffffff0088e9d8c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0088e9d90: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0088e9d94: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0088e9d98: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0088e9d9c: ff430191  add	sp, sp, #0x50
0xfffffff0088e9da0: ff2303d5  autibsp	
0xfffffff0088e9da4: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff0088e9da8: 5100f0b6  tbz	x17, #0x3e, #0xfffffff0088e9db0
0xfffffff0088e9dac: 208e38d4  brk	#0xc471
0xfffffff0088e9db0: f10301aa  mov	x17, x1
0xfffffff0088e9db4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0088e9db8: 110a1fd7  braa	x16, x17
0xfffffff0088e9dbc: f70300f9  str	x23, [sp]
0xfffffff0088e9dc0: 004cfff0  adrp	x0, #0xfffffff00726c000
0xfffffff0088e9dc4: 00ec3391  add	x0, x0, #0xcfb
0xfffffff0088e9dc8: 08000014  b	#0xfffffff0088e9de8
0xfffffff0088e9dcc: f70300f9  str	x23, [sp]
0xfffffff0088e9dd0: 004cfff0  adrp	x0, #0xfffffff00726c000
0xfffffff0088e9dd4: 00c03e91  add	x0, x0, #0xfb0
0xfffffff0088e9dd8: 04000014  b	#0xfffffff0088e9de8
0xfffffff0088e9ddc: f70300f9  str	x23, [sp]
0xfffffff0088e9de0: 004cfff0  adrp	x0, #0xfffffff00726c000
0xfffffff0088e9de4: 00903f91  add	x0, x0, #0xfe4
0xfffffff0088e9de8: 8eb4e997  bl	#0xfffffff008357020
0xfffffff0088e9dec: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0088e9df0: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0088e9df4: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0088e9df8: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0088e9dfc: ff430191  add	sp, sp, #0x50
0xfffffff0088e9e00: ff0f5fd6  retab	
0xfffffff0088e9e04: f70300f9  str	x23, [sp]
0xfffffff0088e9e08: 204cff90  adrp	x0, #0xfffffff00726d000
0xfffffff0088e9e0c: 00540091  add	x0, x0, #0x15
0xfffffff0088e9e10: 84b4e997  bl	#0xfffffff008357020
0xfffffff0088e9e14: e00315aa  mov	x0, x21
0xfffffff0088e9e18: e10314aa  mov	x1, x20
0xfffffff0088e9e1c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff0088e9e20: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff0088e9e24: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff0088e9e28: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff0088e9e2c: ff430191  add	sp, sp, #0x50
0xfffffff0088e9e30: ff2303d5  autibsp	
0xfffffff0088e9e34: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff0088e9e38: 5000f0b6  tbz	x16, #0x3e, #0xfffffff0088e9e40
0xfffffff0088e9e3c: 208e38d4  brk	#0xc471
