; Candidate 14902
; ADRP+ADD at VM 0xfffffff0099f39ec (fileoff 0x29ef9ec): page=0x1fdc0b000 add_imm=0xe0f

0xfffffff0099f396c: 08813991  add	x8, x8, #0xe60
0xfffffff0099f3970: 010140f9  ldr	x1, [x8]
0xfffffff0099f3974: e00302aa  mov	x0, x2
0xfffffff0099f3978: dfc0a397  bl	#0xfffffff0082e3cf4
0xfffffff0099f397c: a01c00b4  cbz	x0, #0xfffffff0099f3d10
0xfffffff0099f3980: f30300aa  mov	x19, x0
0xfffffff0099f3984: 164e00f0  adrp	x22, #0xfffffff00a3b6000
0xfffffff0099f3988: d6a22291  add	x22, x22, #0x8a8
0xfffffff0099f398c: c80240b9  ldr	w8, [x22]
0xfffffff0099f3990: 3515ff90  adrp	x21, #0xfffffff007c97000
0xfffffff0099f3994: b51a40f9  ldr	x21, [x21, #0x30]
0xfffffff0099f3998: 28030036  tbz	w8, #0, #0xfffffff0099f39fc
0xfffffff0099f399c: a20240f9  ldr	x2, [x21]
0xfffffff0099f39a0: 900240f9  ldr	x16, [x20]
0xfffffff0099f39a4: f10314aa  mov	x17, x20
0xfffffff0099f39a8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099f39ac: 301ac1da  autda	x16, x17
0xfffffff0099f39b0: 113480d2  mov	x17, #0x1a0
0xfffffff0099f39b4: 1002118b  add	x16, x16, x17
0xfffffff0099f39b8: 080240f9  ldr	x8, [x16]
0xfffffff0099f39bc: e90310aa  mov	x9, x16
0xfffffff0099f39c0: 77da40b9  ldr	w23, [x19, #0xd8]
0xfffffff0099f39c4: e00314aa  mov	x0, x20
0xfffffff0099f39c8: e10313aa  mov	x1, x19
0xfffffff0099f39cc: 03008052  mov	w3, #0
0xfffffff0099f39d0: f10309aa  mov	x17, x9
0xfffffff0099f39d4: 7170f4f2  movk	x17, #0xa383, lsl #48
0xfffffff0099f39d8: 11093fd7  blraa	x8, x17
0xfffffff0099f39dc: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff0099f39e0: e903002a  mov	w9, w0
0xfffffff0099f39e4: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0099f39e8: f35f00a9  stp	x19, x23, [sp]
0xfffffff0099f39ec: 40e0fef0  adrp	x0, #0xfffffff0075fe000
0xfffffff0099f39f0: 003c3891  add	x0, x0, #0xe0f
0xfffffff0099f39f4: d7eea997  bl	#0xfffffff00846f550
0xfffffff0099f39f8: c80240b9  ldr	w8, [x22]
0xfffffff0099f39fc: 88000837  tbnz	w8, #1, #0xfffffff0099f3a0c
0xfffffff0099f3a00: f60314aa  mov	x22, x20
0xfffffff0099f3a04: 36b4f9f2  movk	x22, #0xcda1, lsl #48
0xfffffff0099f3a08: 1a000014  b	#0xfffffff0099f3a70
0xfffffff0099f3a0c: a20240f9  ldr	x2, [x21]
0xfffffff0099f3a10: 900240f9  ldr	x16, [x20]
0xfffffff0099f3a14: f60314aa  mov	x22, x20
0xfffffff0099f3a18: 36b4f9f2  movk	x22, #0xcda1, lsl #48
0xfffffff0099f3a1c: f10314aa  mov	x17, x20
0xfffffff0099f3a20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099f3a24: 301ac1da  autda	x16, x17
0xfffffff0099f3a28: 113480d2  mov	x17, #0x1a0
0xfffffff0099f3a2c: 1002118b  add	x16, x16, x17
0xfffffff0099f3a30: 080240f9  ldr	x8, [x16]
0xfffffff0099f3a34: e90310aa  mov	x9, x16
0xfffffff0099f3a38: 77da40b9  ldr	w23, [x19, #0xd8]
0xfffffff0099f3a3c: e00314aa  mov	x0, x20
0xfffffff0099f3a40: e10313aa  mov	x1, x19
0xfffffff0099f3a44: 03008052  mov	w3, #0
0xfffffff0099f3a48: f10309aa  mov	x17, x9
0xfffffff0099f3a4c: 7170f4f2  movk	x17, #0xa383, lsl #48
0xfffffff0099f3a50: 11093fd7  blraa	x8, x17
0xfffffff0099f3a54: 68e240b9  ldr	w8, [x19, #0xe0]
0xfffffff0099f3a58: e903002a  mov	w9, w0
0xfffffff0099f3a5c: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff0099f3a60: f35f00a9  stp	x19, x23, [sp]
0xfffffff0099f3a64: 40e0fef0  adrp	x0, #0xfffffff0075fe000
0xfffffff0099f3a68: 003c3891  add	x0, x0, #0xe0f
