; Candidate 3829
; ADRP+ADD at VM 0xfffffff0087681b4 (fileoff 0x17641b4): page=0x1fe9c9000 add_imm=0xd90

0xfffffff008768134: 190940f9  ldr	x25, [x8, #0x10]
0xfffffff008768138: b60100b4  cbz	x22, #0xfffffff00876816c
0xfffffff00876813c: e88b8052  mov	w8, #0x45f
0xfffffff008768140: 294ffff0  adrp	x9, #0xfffffff00714f000
0xfffffff008768144: 29bd1991  add	x9, x9, #0x66f
0xfffffff008768148: e92300a9  stp	x9, x8, [sp]
0xfffffff00876814c: 404effb0  adrp	x0, #0xfffffff007131000
0xfffffff008768150: 00403691  add	x0, x0, #0xd90
0xfffffff008768154: a194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008768158: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00876815c: c34effd0  adrp	x3, #0xfffffff007142000
0xfffffff008768160: 63841e91  add	x3, x3, #0x7a1
0xfffffff008768164: 02008052  mov	w2, #0
0xfffffff008768168: f22bef97  bl	#0xfffffff008333130
0xfffffff00876816c: 280317ab  adds	x8, x25, x23
0xfffffff008768170: 82d2ff54  b.hs	#0xfffffff008767bc0
0xfffffff008768174: 9402158b  add	x20, x20, x21
0xfffffff008768178: 08fd60d3  lsr	x8, x8, #0x20
0xfffffff00876817c: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff008768180: 2aa542b9  ldr	w10, [x9, #0x2a4]
0xfffffff008768184: 4a7d0a53  lsr	w10, w10, #0xa
0xfffffff008768188: 48551633  bfi	w8, w10, #0xa, #0x16
0xfffffff00876818c: 28a502b9  str	w8, [x9, #0x2a4]
0xfffffff008768190: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff008768194: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff008768198: 160940f9  ldr	x22, [x8, #0x10]
0xfffffff00876819c: 95fe60d3  lsr	x21, x20, #0x20
0xfffffff0087681a0: b50100b4  cbz	x21, #0xfffffff0087681d4
0xfffffff0087681a4: 488c8052  mov	w8, #0x462
0xfffffff0087681a8: 294ffff0  adrp	x9, #0xfffffff00714f000
0xfffffff0087681ac: 29bd1991  add	x9, x9, #0x66f
0xfffffff0087681b0: e92300a9  stp	x9, x8, [sp]
0xfffffff0087681b4: 404effb0  adrp	x0, #0xfffffff007131000
0xfffffff0087681b8: 00403691  add	x0, x0, #0xd90
0xfffffff0087681bc: a194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087681c0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087681c4: c34effd0  adrp	x3, #0xfffffff007142000
0xfffffff0087681c8: 63541f91  add	x3, x3, #0x7d5
0xfffffff0087681cc: 02008052  mov	w2, #0
0xfffffff0087681d0: d82bef97  bl	#0xfffffff008333130
0xfffffff0087681d4: c84234ab  adds	x8, x22, w20, uxtw
0xfffffff0087681d8: 42cfff54  b.hs	#0xfffffff008767bc0
0xfffffff0087681dc: f7031caa  mov	x23, x28
0xfffffff0087681e0: 947e4092  and	x20, x20, #0xffffffff
0xfffffff0087681e4: 691240f9  ldr	x9, [x19, #0x20]
0xfffffff0087681e8: 2ac141b9  ldr	w10, [x9, #0x1c0]
0xfffffff0087681ec: 48150033  bfxil	w8, w10, #0, #6
0xfffffff0087681f0: 28c101b9  str	w8, [x9, #0x1c0]
0xfffffff0087681f4: 680e40f9  ldr	x8, [x19, #0x18]
0xfffffff0087681f8: 089950f9  ldr	x8, [x8, #0x2130]
0xfffffff0087681fc: 160940f9  ldr	x22, [x8, #0x10]
0xfffffff008768200: b50100b4  cbz	x21, #0xfffffff008768234
0xfffffff008768204: 888c8052  mov	w8, #0x464
0xfffffff008768208: 294ffff0  adrp	x9, #0xfffffff00714f000
0xfffffff00876820c: 29bd1991  add	x9, x9, #0x66f
0xfffffff008768210: e92300a9  stp	x9, x8, [sp]
0xfffffff008768214: 404effb0  adrp	x0, #0xfffffff007131000
0xfffffff008768218: 00403691  add	x0, x0, #0xd90
0xfffffff00876821c: a194ffb0  adrp	x1, #0xfffffff0079fd000
0xfffffff008768220: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008768224: c34effd0  adrp	x3, #0xfffffff007142000
0xfffffff008768228: 63242091  add	x3, x3, #0x809
0xfffffff00876822c: 02008052  mov	w2, #0
0xfffffff008768230: c02bef97  bl	#0xfffffff008333130
