; Candidate 12862
; ADRP+ADD at VM 0xfffffff00916b0ac (fileoff 0x21670ac): page=0x1fe9fa000 add_imm=0xea8

0xfffffff00916b02c: 0819ffd0  adrp	x8, #0xfffffff00748d000
0xfffffff00916b030: 08450d91  add	x8, x8, #0x351
0xfffffff00916b034: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff00916b038: f70300f9  str	x23, [sp]
0xfffffff00916b03c: 0019ffd0  adrp	x0, #0xfffffff00748d000
0xfffffff00916b040: 00c80c91  add	x0, x0, #0x332
0xfffffff00916b044: f7afc797  bl	#0xfffffff008357020
0xfffffff00916b048: c84fffb0  adrp	x8, #0xfffffff007b64000
0xfffffff00916b04c: 08411291  add	x8, x8, #0x490
0xfffffff00916b050: 010140f9  ldr	x1, [x8]
0xfffffff00916b054: e00315aa  mov	x0, x21
0xfffffff00916b058: 27e3c597  bl	#0xfffffff0082e3cf4
0xfffffff00916b05c: 60ee00f9  str	x0, [x19, #0x1d8]
0xfffffff00916b060: 200c00b4  cbz	x0, #0xfffffff00916b1e4
0xfffffff00916b064: d00240f9  ldr	x16, [x22]
0xfffffff00916b068: f10316aa  mov	x17, x22
0xfffffff00916b06c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00916b070: 301ac1da  autda	x16, x17
0xfffffff00916b074: 088e4df8  ldr	x8, [x16, #0xd8]!
0xfffffff00916b078: e90310aa  mov	x9, x16
0xfffffff00916b07c: e00316aa  mov	x0, x22
0xfffffff00916b080: f10309aa  mov	x17, x9
0xfffffff00916b084: 1148faf2  movk	x17, #0xd240, lsl #48
0xfffffff00916b088: 11093fd7  blraa	x8, x17
0xfffffff00916b08c: e10300aa  mov	x1, x0
0xfffffff00916b090: 0019ffd0  adrp	x0, #0xfffffff00748d000
0xfffffff00916b094: 005c0d91  add	x0, x0, #0x357
0xfffffff00916b098: 84d1b497  bl	#0xfffffff007e9f6a8
0xfffffff00916b09c: 80000034  cbz	w0, #0xfffffff00916b0ac
0xfffffff00916b0a0: 60f640f9  ldr	x0, [x19, #0x1e8]
0xfffffff00916b0a4: 400200b5  cbnz	x0, #0xfffffff00916b0ec
0xfffffff00916b0a8: 4f000014  b	#0xfffffff00916b1e4
0xfffffff00916b0ac: c04fffd0  adrp	x0, #0xfffffff007b65000
0xfffffff00916b0b0: 00a03a91  add	x0, x0, #0xea8
0xfffffff00916b0b4: 10adc797  bl	#0xfffffff0083564f4
0xfffffff00916b0b8: 68ee40f9  ldr	x8, [x19, #0x1d8]
0xfffffff00916b0bc: d04fffd0  adrp	x16, #0xfffffff007b65000
0xfffffff00916b0c0: 10222291  add	x16, x16, #0x888
0xfffffff00916b0c4: 10420091  add	x16, x16, #0x10
0xfffffff00916b0c8: f10300aa  mov	x17, x0
0xfffffff00916b0cc: 116bf7f2  movk	x17, #0xbb58, lsl #48
0xfffffff00916b0d0: 300ac1da  pacda	x16, x17
0xfffffff00916b0d4: 100000f9  str	x16, [x0]
0xfffffff00916b0d8: 29008052  mov	w9, #1
0xfffffff00916b0dc: 090c00b9  str	w9, [x0, #0xc]
0xfffffff00916b0e0: 080800f9  str	x8, [x0, #0x10]
0xfffffff00916b0e4: 1fa00039  strb	wzr, [x0, #0x28]
0xfffffff00916b0e8: 60f600f9  str	x0, [x19, #0x1e8]
0xfffffff00916b0ec: 880240b9  ldr	w8, [x20]
0xfffffff00916b0f0: 080800b9  str	w8, [x0, #8]
0xfffffff00916b0f4: 1f090071  cmp	w8, #2
0xfffffff00916b0f8: 03020054  b.lo	#0xfffffff00916b138
0xfffffff00916b0fc: 408d00d0  adrp	x0, #0xfffffff00a315000
0xfffffff00916b100: 00602a91  add	x0, x0, #0xa98
0xfffffff00916b104: 15e6c597  bl	#0xfffffff0082e4958
0xfffffff00916b108: 68f640f9  ldr	x8, [x19, #0x1e8]
0xfffffff00916b10c: 08254129  ldp	w8, w9, [x8, #8]
0xfffffff00916b110: 0a19ffd0  adrp	x10, #0xfffffff00748d000
0xfffffff00916b114: 4a450d91  add	x10, x10, #0x351
0xfffffff00916b118: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff00916b11c: e02b00a9  stp	x0, x10, [sp]
0xfffffff00916b120: 0019ffd0  adrp	x0, #0xfffffff00748d000
0xfffffff00916b124: 00800d91  add	x0, x0, #0x360
0xfffffff00916b128: beafc797  bl	#0xfffffff008357020
