; Candidate 1533
; ADRP+ADD at VM 0xfffffff00846aac4 (fileoff 0x1466ac4): page=0x1fec3e000 add_imm=0xd46

0xfffffff00846aa44: e3ffff17  b	#0xfffffff00846a9d0
0xfffffff00846aa48: 7f2303d5  pacibsp	
0xfffffff00846aa4c: ffc300d1  sub	sp, sp, #0x30
0xfffffff00846aa50: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00846aa54: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00846aa58: fd830091  add	x29, sp, #0x20
0xfffffff00846aa5c: 131040f9  ldr	x19, [x0, #0x20]
0xfffffff00846aa60: 68b641f9  ldr	x8, [x19, #0x368]
0xfffffff00846aa64: 880200b4  cbz	x8, #0xfffffff00846aab4
0xfffffff00846aa68: 080500f1  subs	x8, x8, #1
0xfffffff00846aa6c: 68b601f9  str	x8, [x19, #0x368]
0xfffffff00846aa70: 81010054  b.ne	#0xfffffff00846aaa0
0xfffffff00846aa74: 686640f9  ldr	x8, [x19, #0xc8]
0xfffffff00846aa78: 280100b4  cbz	x8, #0xfffffff00846aa9c
0xfffffff00846aa7c: 081540f9  ldr	x8, [x8, #0x28]
0xfffffff00846aa80: e80000b4  cbz	x8, #0xfffffff00846aa9c
0xfffffff00846aa84: 005540f9  ldr	x0, [x8, #0xa8]
0xfffffff00846aa88: a00000b4  cbz	x0, #0xfffffff00846aa9c
0xfffffff00846aa8c: 63ba41f9  ldr	x3, [x19, #0x370]
0xfffffff00846aa90: 41018052  mov	w1, #0xa
0xfffffff00846aa94: 020080d2  mov	x2, #0
0xfffffff00846aa98: d9f4fc97  bl	#0xfffffff0083a7dfc
0xfffffff00846aa9c: 7fba01f9  str	xzr, [x19, #0x370]
0xfffffff00846aaa0: 00008052  mov	w0, #0
0xfffffff00846aaa4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00846aaa8: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00846aaac: ffc30091  add	sp, sp, #0x30
0xfffffff00846aab0: ff0f5fd6  retab	
0xfffffff00846aab4: e861ffb0  adrp	x8, #0xfffffff0070a7000
0xfffffff00846aab8: 089d1191  add	x8, x8, #0x467
0xfffffff00846aabc: 69308552  mov	w9, #0x2983
0xfffffff00846aac0: e82700a9  stp	x8, x9, [sp]
0xfffffff00846aac4: e061ffd0  adrp	x0, #0xfffffff0070a8000
0xfffffff00846aac8: 00183591  add	x0, x0, #0xd46
0xfffffff00846aacc: 90a60094  bl	#0xfffffff00849450c
0xfffffff00846aad0: 7f2303d5  pacibsp	
0xfffffff00846aad4: f657bda9  stp	x22, x21, [sp, #-0x30]!
0xfffffff00846aad8: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff00846aadc: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff00846aae0: fd830091  add	x29, sp, #0x20
0xfffffff00846aae4: f50302aa  mov	x21, x2
0xfffffff00846aae8: f60301aa  mov	x22, x1
0xfffffff00846aaec: f40300aa  mov	x20, x0
0xfffffff00846aaf0: 080080d2  mov	x8, #0
0xfffffff00846aaf4: 005040f9  ldr	x0, [x0, #0xa0]
0xfffffff00846aaf8: 93d038d5  mrs	x19, tpidr_el1
0xfffffff00846aafc: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff00846ab00: 0a200091  add	x10, x0, #8
0xfffffff00846ab04: 497de8c8  casa	x8, x9, [x10]
0xfffffff00846ab08: 1f0100f1  cmp	x8, #0
0xfffffff00846ab0c: 41020054  b.ne	#0xfffffff00846ab54
0xfffffff00846ab10: e1ee00d0  adrp	x1, #0xfffffff00a248000
0xfffffff00846ab14: 21400e91  add	x1, x1, #0x390
0xfffffff00846ab18: e00316aa  mov	x0, x22
0xfffffff00846ab1c: e20315aa  mov	x2, x21
0xfffffff00846ab20: 03008092  mov	x3, #-1
0xfffffff00846ab24: c4d4e897  bl	#0xfffffff007e9fe34
0xfffffff00846ab28: 805240f9  ldr	x0, [x20, #0xa0]
0xfffffff00846ab2c: 08200091  add	x8, x0, #8
0xfffffff00846ab30: 691a44b9  ldr	w9, [x19, #0x418]
0xfffffff00846ab34: e20309aa  mov	x2, x9
0xfffffff00846ab38: 1ffda288  casl	w2, wzr, [x8]
0xfffffff00846ab3c: 5f00096b  cmp	w2, w9
0xfffffff00846ab40: 21010054  b.ne	#0xfffffff00846ab64
