; Candidate 5080
; ADRP+ADD at VM 0xfffffff0087d6c48 (fileoff 0x17d2c48): page=0x1fea13000 add_imm=0xe80

0xfffffff0087d6bc8: fb3340f9  ldr	x27, [sp, #0x60]
0xfffffff0087d6bcc: 97100034  cbz	w23, #0xfffffff0087d6ddc
0xfffffff0087d6bd0: 600f8052  mov	w0, #0x7b
0xfffffff0087d6bd4: e1008052  mov	w1, #7
0xfffffff0087d6bd8: fe920294  bl	#0xfffffff00887b7d0
0xfffffff0087d6bdc: 80040034  cbz	w0, #0xfffffff0087d6c6c
0xfffffff0087d6be0: f80314aa  mov	x24, x20
0xfffffff0087d6be4: 600f8052  mov	w0, #0x7b
0xfffffff0087d6be8: 0c930294  bl	#0xfffffff00887b818
0xfffffff0087d6bec: f30300aa  mov	x19, x0
0xfffffff0087d6bf0: 6f750394  bl	#0xfffffff0088b41ac
0xfffffff0087d6bf4: f70300aa  mov	x23, x0
0xfffffff0087d6bf8: e0008052  mov	w0, #7
0xfffffff0087d6bfc: 15930294  bl	#0xfffffff00887b850
0xfffffff0087d6c00: 1401781e  fcvtzs	w20, d8
0xfffffff0087d6c04: 33010034  cbz	w19, #0xfffffff0087d6c28
0xfffffff0087d6c08: f4db01a9  stp	x20, x22, [sp, #0x18]
0xfffffff0087d6c0c: 680f8052  mov	w8, #0x7b
0xfffffff0087d6c10: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d6c14: f70300f9  str	x23, [sp]
0xfffffff0087d6c18: c051fff0  adrp	x0, #0xfffffff007211000
0xfffffff0087d6c1c: 00883a91  add	x0, x0, #0xea2
0xfffffff0087d6c20: 1082d797  bl	#0xfffffff007db7460
0xfffffff0087d6c24: 11000014  b	#0xfffffff0087d6c68
0xfffffff0087d6c28: 61750394  bl	#0xfffffff0088b41ac
0xfffffff0087d6c2c: f30300aa  mov	x19, x0
0xfffffff0087d6c30: e0008052  mov	w0, #7
0xfffffff0087d6c34: 07930294  bl	#0xfffffff00887b850
0xfffffff0087d6c38: f4db01a9  stp	x20, x22, [sp, #0x18]
0xfffffff0087d6c3c: 680f8052  mov	w8, #0x7b
0xfffffff0087d6c40: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d6c44: f30300f9  str	x19, [sp]
0xfffffff0087d6c48: 8050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d6c4c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d6c50: 8191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087d6c54: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d6c58: 2353ffb0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d6c5c: 63302591  add	x3, x3, #0x94c
0xfffffff0087d6c60: 02008052  mov	w2, #0
0xfffffff0087d6c64: 3371ed97  bl	#0xfffffff008333130
0xfffffff0087d6c68: f40318aa  mov	x20, x24
0xfffffff0087d6c6c: 600f8052  mov	w0, #0x7b
0xfffffff0087d6c70: e1008052  mov	w1, #7
0xfffffff0087d6c74: d7920294  bl	#0xfffffff00887b7d0
0xfffffff0087d6c78: 200b0034  cbz	w0, #0xfffffff0087d6ddc
0xfffffff0087d6c7c: fc0314aa  mov	x28, x20
0xfffffff0087d6c80: 600f8052  mov	w0, #0x7b
0xfffffff0087d6c84: e5920294  bl	#0xfffffff00887b818
0xfffffff0087d6c88: f30300aa  mov	x19, x0
0xfffffff0087d6c8c: 48750394  bl	#0xfffffff0088b41ac
0xfffffff0087d6c90: f60300aa  mov	x22, x0
0xfffffff0087d6c94: e0008052  mov	w0, #7
0xfffffff0087d6c98: ee920294  bl	#0xfffffff00887b850
0xfffffff0087d6c9c: 1701791e  fcvtzu	w23, d8
0xfffffff0087d6ca0: 3801791e  fcvtzu	w24, d9
0xfffffff0087d6ca4: 680bd51a  udiv	w8, w27, w21
0xfffffff0087d6ca8: 14ed151b  msub	w20, w8, w21, w27
0xfffffff0087d6cac: 53040034  cbz	w19, #0xfffffff0087d6d34
0xfffffff0087d6cb0: 807b74fc  ldr	d0, [x28, x20, lsl #3]
0xfffffff0087d6cb4: 0800791e  fcvtzu	w8, d0
0xfffffff0087d6cb8: 69070051  sub	w9, w27, #1
0xfffffff0087d6cbc: 2a09d51a  udiv	w10, w9, w21
0xfffffff0087d6cc0: 49a5151b  msub	w9, w10, w21, w9
0xfffffff0087d6cc4: 805b69fc  ldr	d0, [x28, w9, uxtw #3]
