; Candidate 790
; ADRP+ADD at VM 0xfffffff0080acc04 (fileoff 0x10a8c04): page=0x1fefc7000 add_imm=0xdb8

0xfffffff0080acb84: 09d940b9  ldr	w9, [x8, #0xd8]
0xfffffff0080acb88: e9000035  cbnz	w9, #0xfffffff0080acba4
0xfffffff0080acb8c: 09dd40b9  ldr	w9, [x8, #0xdc]
0xfffffff0080acb90: a9000035  cbnz	w9, #0xfffffff0080acba4
0xfffffff0080acb94: 09e140b9  ldr	w9, [x8, #0xe0]
0xfffffff0080acb98: 0a20a052  mov	w10, #0x1000000
0xfffffff0080acb9c: 3f010a6b  cmp	w9, w10
0xfffffff0080acba0: e0edff54  b.eq	#0xfffffff0080ac95c
0xfffffff0080acba4: 09c540b9  ldr	w9, [x8, #0xc4]
0xfffffff0080acba8: 29010035  cbnz	w9, #0xfffffff0080acbcc
0xfffffff0080acbac: 09c940b9  ldr	w9, [x8, #0xc8]
0xfffffff0080acbb0: e9000035  cbnz	w9, #0xfffffff0080acbcc
0xfffffff0080acbb4: 09cd40b9  ldr	w9, [x8, #0xcc]
0xfffffff0080acbb8: a9000035  cbnz	w9, #0xfffffff0080acbcc
0xfffffff0080acbbc: 09d140b9  ldr	w9, [x8, #0xd0]
0xfffffff0080acbc0: 0a20a052  mov	w10, #0x1000000
0xfffffff0080acbc4: 3f010a6b  cmp	w9, w10
0xfffffff0080acbc8: a0ecff54  b.eq	#0xfffffff0080ac95c
0xfffffff0080acbcc: 890b4039  ldrb	w9, [x28, #2]
0xfffffff0080acbd0: 3f011f72  tst	w9, #2
0xfffffff0080acbd4: 09048052  mov	w9, #0x20
0xfffffff0080acbd8: 0a088052  mov	w10, #0x40
0xfffffff0080acbdc: 4901891a  csel	w9, w10, w9, eq
0xfffffff0080acbe0: 099900b9  str	w9, [x8, #0x98]
0xfffffff0080acbe4: 14008052  mov	w20, #0
0xfffffff0080acbe8: c80a01b0  adrp	x8, #0xfffffff00a205000
0xfffffff0080acbec: 088148b9  ldr	w8, [x8, #0x880]
0xfffffff0080acbf0: 2901080a  and	w9, w9, w8
0xfffffff0080acbf4: 3f091c72  tst	w9, #0x70
0xfffffff0080acbf8: e0f0ff54  b.eq	#0xfffffff0080aca14
0xfffffff0080acbfc: c8f09736  tbz	w8, #0x12, #0xfffffff0080aca14
0xfffffff0080acc00: f50300f9  str	x21, [sp]
0xfffffff0080acc04: 207efff0  adrp	x0, #0xfffffff007073000
0xfffffff0080acc08: 00e03691  add	x0, x0, #0xdb8
0xfffffff0080acc0c: 237efff0  adrp	x3, #0xfffffff007073000
0xfffffff0080acc10: 634c3d91  add	x3, x3, #0xf53
0xfffffff0080acc14: 81918152  mov	w1, #0xc8c
0xfffffff0080acc18: e20313aa  mov	x2, x19
0xfffffff0080acc1c: d55d0094  bl	#0xfffffff0080c4370
0xfffffff0080acc20: 14008052  mov	w20, #0
0xfffffff0080acc24: 7cffff17  b	#0xfffffff0080aca14
0xfffffff0080acc28: a98352f8  ldur	x9, [x29, #-0xd8]
0xfffffff0080acc2c: 29014039  ldrb	w9, [x9]
0xfffffff0080acc30: 89012836  tbz	w9, #5, #0xfffffff0080acc60
0xfffffff0080acc34: 690e40b9  ldr	w9, [x19, #0xc]
0xfffffff0080acc38: 3f110071  cmp	w9, #4
0xfffffff0080acc3c: 2b010054  b.lt	#0xfffffff0080acc60
0xfffffff0080acc40: 696a40b9  ldr	w9, [x19, #0x68]
0xfffffff0080acc44: 2801084b  sub	w8, w9, w8
0xfffffff0080acc48: 1f050071  cmp	w8, #1
0xfffffff0080acc4c: ab000054  b.lt	#0xfffffff0080acc60
0xfffffff0080acc50: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0080acc54: 68000035  cbnz	w8, #0xfffffff0080acc60
0xfffffff0080acc58: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff0080acc5c: a80d0034  cbz	w8, #0xfffffff0080ace10
0xfffffff0080acc60: 480340b9  ldr	w8, [x26]
0xfffffff0080acc64: f74f40f9  ldr	x23, [sp, #0x98]
0xfffffff0080acc68: 480e0034  cbz	w8, #0xfffffff0080ace30
0xfffffff0080acc6c: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff0080acc70: 080e0035  cbnz	w8, #0xfffffff0080ace30
0xfffffff0080acc74: 682240b9  ldr	w8, [x19, #0x20]
0xfffffff0080acc78: c80d0035  cbnz	w8, #0xfffffff0080ace30
0xfffffff0080acc7c: 7fe20179  strh	wzr, [x19, #0xf0]
0xfffffff0080acc80: 7f0a01b9  str	wzr, [x19, #0x108]
