; Candidate 14249
; ADRP+ADD at VM 0xfffffff009759764 (fileoff 0x2755764): page=0xc32000 add_imm=0xea8

0xfffffff0097596e4: 02008052  mov	w2, #0
0xfffffff0097596e8: 63f2fef0  adrp	x3, #0xfffffff0075a8000
0xfffffff0097596ec: 63c83691  add	x3, x3, #0xdb2
0xfffffff0097596f0: 9066af97  bl	#0xfffffff008333130
0xfffffff0097596f4: 17008052  mov	w23, #0
0xfffffff0097596f8: daffff17  b	#0xfffffff009759660
0xfffffff0097596fc: 700340f9  ldr	x16, [x27]
0xfffffff009759700: f1031baa  mov	x17, x27
0xfffffff009759704: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009759708: 301ac1da  autda	x16, x17
0xfffffff00975970c: 113d80d2  mov	x17, #0x1e8
0xfffffff009759710: 1002118b  add	x16, x16, x17
0xfffffff009759714: 080240f9  ldr	x8, [x16]
0xfffffff009759718: e90310aa  mov	x9, x16
0xfffffff00975971c: e0031baa  mov	x0, x27
0xfffffff009759720: 010080d2  mov	x1, #0
0xfffffff009759724: f10309aa  mov	x17, x9
0xfffffff009759728: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff00975972c: 11093fd7  blraa	x8, x17
0xfffffff009759730: 700340f9  ldr	x16, [x27]
0xfffffff009759734: f1031baa  mov	x17, x27
0xfffffff009759738: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00975973c: 301ac1da  autda	x16, x17
0xfffffff009759740: 114380d2  mov	x17, #0x218
0xfffffff009759744: 1002118b  add	x16, x16, x17
0xfffffff009759748: 080240f9  ldr	x8, [x16]
0xfffffff00975974c: e90310aa  mov	x9, x16
0xfffffff009759750: e0031baa  mov	x0, x27
0xfffffff009759754: 010080d2  mov	x1, #0
0xfffffff009759758: f10309aa  mov	x17, x9
0xfffffff00975975c: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009759760: 11093fd7  blraa	x8, x17
0xfffffff009759764: 806100d0  adrp	x0, #0xfffffff00a38b000
0xfffffff009759768: 00a03a91  add	x0, x0, #0xea8
0xfffffff00975976c: 7b2cae97  bl	#0xfffffff0082e4958
0xfffffff009759770: f30300aa  mov	x19, x0
0xfffffff009759774: 700340f9  ldr	x16, [x27]
0xfffffff009759778: f1031baa  mov	x17, x27
0xfffffff00975977c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009759780: 301ac1da  autda	x16, x17
0xfffffff009759784: f10310aa  mov	x17, x16
0xfffffff009759788: f147c1da  xpacd	x17
0xfffffff00975978c: 1f0211eb  cmp	x16, x17
0xfffffff009759790: 40000054  b.eq	#0xfffffff009759798
0xfffffff009759794: 408e38d4  brk	#0xc472
0xfffffff009759798: 08a20791  add	x8, x16, #0x1e8
0xfffffff00975979c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff0097597a0: e0031baa  mov	x0, x27
0xfffffff0097597a4: 010080d2  mov	x1, #0
0xfffffff0097597a8: f10308aa  mov	x17, x8
0xfffffff0097597ac: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0097597b0: 31093fd7  blraa	x9, x17
0xfffffff0097597b4: f40300aa  mov	x20, x0
0xfffffff0097597b8: 700340f9  ldr	x16, [x27]
0xfffffff0097597bc: f1031baa  mov	x17, x27
0xfffffff0097597c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0097597c4: 301ac1da  autda	x16, x17
0xfffffff0097597c8: f10310aa  mov	x17, x16
0xfffffff0097597cc: f147c1da  xpacd	x17
0xfffffff0097597d0: 1f0211eb  cmp	x16, x17
0xfffffff0097597d4: 40000054  b.eq	#0xfffffff0097597dc
0xfffffff0097597d8: 408e38d4  brk	#0xc472
0xfffffff0097597dc: 08620891  add	x8, x16, #0x218
0xfffffff0097597e0: 090e41f9  ldr	x9, [x16, #0x218]
