; Candidate 90
; ADRP+ADD at VM 0xfffffff007e19da8 (fileoff 0xe15da8): page=0x1ffb57000 add_imm=0xd30

0xfffffff007e19d28: e8379f1a  cset	w8, hs
0xfffffff007e19d2c: 29010037  tbnz	w9, #0, #0xfffffff007e19d50
0xfffffff007e19d30: 08010035  cbnz	w8, #0xfffffff007e19d50
0xfffffff007e19d34: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007e19d38: ffc30091  add	sp, sp, #0x30
0xfffffff007e19d3c: ff0f5fd6  retab	
0xfffffff007e19d40: 68248052  mov	w8, #0x123
0xfffffff007e19d44: 04000014  b	#0xfffffff007e19d54
0xfffffff007e19d48: e8248052  mov	w8, #0x127
0xfffffff007e19d4c: 02000014  b	#0xfffffff007e19d54
0xfffffff007e19d50: 68258052  mov	w8, #0x12b
0xfffffff007e19d54: 8991ffd0  adrp	x9, #0xfffffff00704b000
0xfffffff007e19d58: 29412691  add	x9, x9, #0x990
0xfffffff007e19d5c: 8a91ffd0  adrp	x10, #0xfffffff00704b000
0xfffffff007e19d60: 4a492791  add	x10, x10, #0x9d2
0xfffffff007e19d64: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff007e19d68: ea0300f9  str	x10, [sp]
0xfffffff007e19d6c: 8091ffd0  adrp	x0, #0xfffffff00704b000
0xfffffff007e19d70: 00742691  add	x0, x0, #0x99d
0xfffffff007e19d74: e6e91994  bl	#0xfffffff00849450c
0xfffffff007e19d78: 7f2303d5  pacibsp	
0xfffffff007e19d7c: ff4301d1  sub	sp, sp, #0x50
0xfffffff007e19d80: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff007e19d84: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff007e19d88: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff007e19d8c: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff007e19d90: fd030191  add	x29, sp, #0x40
0xfffffff007e19d94: f40303aa  mov	x20, x3
0xfffffff007e19d98: f50302aa  mov	x21, x2
0xfffffff007e19d9c: f60301aa  mov	x22, x1
0xfffffff007e19da0: f70300aa  mov	x23, x0
0xfffffff007e19da4: ff0700f9  str	xzr, [sp, #8]
0xfffffff007e19da8: a0dafff0  adrp	x0, #0xfffffff007970000
0xfffffff007e19dac: 00c03491  add	x0, x0, #0xd30
0xfffffff007e19db0: 81009052  mov	w1, #0x8004
0xfffffff007e19db4: 4834fe97  bl	#0xfffffff007da6ed4
0xfffffff007e19db8: f30300aa  mov	x19, x0
0xfffffff007e19dbc: 17dc00a9  stp	x23, x23, [x0, #8]
0xfffffff007e19dc0: 14080079  strh	w20, [x0, #4]
0xfffffff007e19dc4: 150000b9  str	w21, [x0]
0xfffffff007e19dc8: 1fd000b9  str	wzr, [x0, #0xd0]
0xfffffff007e19dcc: e4230091  add	x4, sp, #8
0xfffffff007e19dd0: e10316aa  mov	x1, x22
0xfffffff007e19dd4: 02008052  mov	w2, #0
0xfffffff007e19dd8: 03108052  mov	w3, #0x80
0xfffffff007e19ddc: 0e000094  bl	#0xfffffff007e19e14
0xfffffff007e19de0: c0000034  cbz	w0, #0xfffffff007e19df8
0xfffffff007e19de4: a0dafff0  adrp	x0, #0xfffffff007970000
0xfffffff007e19de8: 00c03591  add	x0, x0, #0xd70
0xfffffff007e19dec: e10313aa  mov	x1, x19
0xfffffff007e19df0: 87bfff97  bl	#0xfffffff007e09c0c
0xfffffff007e19df4: 130080d2  mov	x19, #0
0xfffffff007e19df8: e00313aa  mov	x0, x19
0xfffffff007e19dfc: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007e19e00: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007e19e04: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007e19e08: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff007e19e0c: ff430191  add	sp, sp, #0x50
0xfffffff007e19e10: ff0f5fd6  retab	
0xfffffff007e19e14: 7f2303d5  pacibsp	
0xfffffff007e19e18: ff0302d1  sub	sp, sp, #0x80
0xfffffff007e19e1c: fa6703a9  stp	x26, x25, [sp, #0x30]
0xfffffff007e19e20: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff007e19e24: f65705a9  stp	x22, x21, [sp, #0x50]
