; Candidate 13938
; ADRP+ADD at VM 0xfffffff009632738 (fileoff 0x262e738): page=0xd57000 add_imm=0xdd0

0xfffffff0096326b8: 04000014  b	#0xfffffff0096326c8
0xfffffff0096326bc: 160080d2  mov	x22, #0
0xfffffff0096326c0: d5f9feb0  adrp	x21, #0xfffffff00756b000
0xfffffff0096326c4: b5c60291  add	x21, x21, #0xb1
0xfffffff0096326c8: b9760094  bl	#0xfffffff0096501ac
0xfffffff0096326cc: c86a0090  adrp	x8, #0xfffffff00a38a000
0xfffffff0096326d0: 08a10291  add	x8, x8, #0xa8
0xfffffff0096326d4: 170140f9  ldr	x23, [x8]
0xfffffff0096326d8: b5760094  bl	#0xfffffff0096501ac
0xfffffff0096326dc: 683e40b9  ldr	w8, [x19, #0x3c]
0xfffffff0096326e0: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0096326e4: f5db00a9  stp	x21, x22, [sp, #8]
0xfffffff0096326e8: e00300f9  str	x0, [sp]
0xfffffff0096326ec: a0f9fed0  adrp	x0, #0xfffffff007568000
0xfffffff0096326f0: 00800e91  add	x0, x0, #0x3a0
0xfffffff0096326f4: 23fafe90  adrp	x3, #0xfffffff007576000
0xfffffff0096326f8: 63d00a91  add	x3, x3, #0x2b4
0xfffffff0096326fc: e10317aa  mov	x1, x23
0xfffffff009632700: 22008052  mov	w2, #1
0xfffffff009632704: 8b02b497  bl	#0xfffffff008333130
0xfffffff009632708: 7f660039  strb	wzr, [x19, #0x19]
0xfffffff00963270c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009632710: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009632714: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009632718: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff00963271c: ffc30191  add	sp, sp, #0x70
0xfffffff009632720: ff0f5fd6  retab	
0xfffffff009632724: 5f2403d5  bti	c
0xfffffff009632728: f3c7b217  b	#0xfffffff0082e46f4
0xfffffff00963272c: 7f2303d5  pacibsp	
0xfffffff009632730: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009632734: fd030091  mov	x29, sp
0xfffffff009632738: a06a00f0  adrp	x0, #0xfffffff00a389000
0xfffffff00963273c: 00403791  add	x0, x0, #0xdd0
0xfffffff009632740: c1f9feb0  adrp	x1, #0xfffffff00756b000
0xfffffff009632744: 215c0691  add	x1, x1, #0x197
0xfffffff009632748: 622effb0  adrp	x2, #0xfffffff007bff000
0xfffffff00963274c: 424c46f9  ldr	x2, [x2, #0xc98]
0xfffffff009632750: 030f8052  mov	w3, #0x78
0xfffffff009632754: f9c4b297  bl	#0xfffffff0082e3b38
0xfffffff009632758: b02eff90  adrp	x16, #0xfffffff007c06000
0xfffffff00963275c: 10c23d91  add	x16, x16, #0xf70
0xfffffff009632760: 10420091  add	x16, x16, #0x10
0xfffffff009632764: f10300aa  mov	x17, x0
0xfffffff009632768: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00963276c: 300ac1da  pacda	x16, x17
0xfffffff009632770: 100000f9  str	x16, [x0]
0xfffffff009632774: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009632778: ff0f5fd6  retab	
0xfffffff00963277c: 5f2403d5  bti	c
0xfffffff009632780: a06a00f0  adrp	x0, #0xfffffff00a389000
0xfffffff009632784: 00403791  add	x0, x0, #0xdd0
0xfffffff009632788: dbc7b217  b	#0xfffffff0082e46f4
0xfffffff00963278c: 7f2303d5  pacibsp	
0xfffffff009632790: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009632794: fd030091  mov	x29, sp
0xfffffff009632798: c1f9feb0  adrp	x1, #0xfffffff00756b000
0xfffffff00963279c: 21901c91  add	x1, x1, #0x724
0xfffffff0096327a0: a26a00f0  adrp	x2, #0xfffffff00a389000
0xfffffff0096327a4: 42603a91  add	x2, x2, #0xe98
0xfffffff0096327a8: 03238052  mov	w3, #0x118
0xfffffff0096327ac: e3c4b297  bl	#0xfffffff0082e3b38
0xfffffff0096327b0: b02effb0  adrp	x16, #0xfffffff007c07000
0xfffffff0096327b4: 10821c91  add	x16, x16, #0x720
