; Candidate 2570
; ADRP+ADD at VM 0xfffffff0086be794 (fileoff 0x16ba794): page=0x1fea70000 add_imm=0xdde

0xfffffff0086be714: 17070011  add	w23, w24, #1
0xfffffff0086be718: 03000014  b	#0xfffffff0086be724
0xfffffff0086be71c: c2000054  b.hs	#0xfffffff0086be734
0xfffffff0086be720: 16070051  sub	w22, w24, #1
0xfffffff0086be724: df02176b  cmp	w22, w23
0xfffffff0086be728: 8afeff54  b.ge	#0xfffffff0086be6f8
0xfffffff0086be72c: 02000014  b	#0xfffffff0086be734
0xfffffff0086be730: 187d0113  asr	w24, w8, #1
0xfffffff0086be734: 685e42b9  ldr	w8, [x19, #0x25c]
0xfffffff0086be738: 1401180b  add	w20, w8, w24
0xfffffff0086be73c: 68fe40b9  ldr	w8, [x19, #0xfc]
0xfffffff0086be740: 1f1d0071  cmp	w8, #7
0xfffffff0086be744: e3020054  b.lo	#0xfffffff0086be7a0
0xfffffff0086be748: 700240f9  ldr	x16, [x19]
0xfffffff0086be74c: f10313aa  mov	x17, x19
0xfffffff0086be750: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086be754: 301ac1da  autda	x16, x17
0xfffffff0086be758: 113d80d2  mov	x17, #0x1e8
0xfffffff0086be75c: 1002118b  add	x16, x16, x17
0xfffffff0086be760: 080240f9  ldr	x8, [x16]
0xfffffff0086be764: e90310aa  mov	x9, x16
0xfffffff0086be768: e00313aa  mov	x0, x19
0xfffffff0086be76c: 010080d2  mov	x1, #0
0xfffffff0086be770: f10309aa  mov	x17, x9
0xfffffff0086be774: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086be778: 11093fd7  blraa	x8, x17
0xfffffff0086be77c: 685e42b9  ldr	w8, [x19, #0x25c]
0xfffffff0086be780: f72302a9  stp	x23, x8, [sp, #0x20]
0xfffffff0086be784: 8853ff90  adrp	x8, #0xfffffff00712e000
0xfffffff0086be788: 08793891  add	x8, x8, #0xe1e
0xfffffff0086be78c: f66301a9  stp	x22, x24, [sp, #0x10]
0xfffffff0086be790: e02300a9  stp	x0, x8, [sp]
0xfffffff0086be794: 8053ff90  adrp	x0, #0xfffffff00712e000
0xfffffff0086be798: 00783791  add	x0, x0, #0xdde
0xfffffff0086be79c: 2162f297  bl	#0xfffffff008357020
0xfffffff0086be7a0: 68fe40b9  ldr	w8, [x19, #0xfc]
0xfffffff0086be7a4: 1f1d0071  cmp	w8, #7
0xfffffff0086be7a8: e3020054  b.lo	#0xfffffff0086be804
0xfffffff0086be7ac: 700240f9  ldr	x16, [x19]
0xfffffff0086be7b0: f10313aa  mov	x17, x19
0xfffffff0086be7b4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0086be7b8: 301ac1da  autda	x16, x17
0xfffffff0086be7bc: 113d80d2  mov	x17, #0x1e8
0xfffffff0086be7c0: 1002118b  add	x16, x16, x17
0xfffffff0086be7c4: 080240f9  ldr	x8, [x16]
0xfffffff0086be7c8: e90310aa  mov	x9, x16
0xfffffff0086be7cc: e00313aa  mov	x0, x19
0xfffffff0086be7d0: 010080d2  mov	x1, #0
0xfffffff0086be7d4: f10309aa  mov	x17, x9
0xfffffff0086be7d8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff0086be7dc: 11093fd7  blraa	x8, x17
0xfffffff0086be7e0: 68424739  ldrb	w8, [x19, #0x1d0]
0xfffffff0086be7e4: f4a301a9  stp	x20, x8, [sp, #0x18]
0xfffffff0086be7e8: 8853ff90  adrp	x8, #0xfffffff00712e000
0xfffffff0086be7ec: 08793891  add	x8, x8, #0xe1e
0xfffffff0086be7f0: e8d700a9  stp	x8, x21, [sp, #8]
0xfffffff0086be7f4: e00300f9  str	x0, [sp]
0xfffffff0086be7f8: 8053ff90  adrp	x0, #0xfffffff00712e000
0xfffffff0086be7fc: 009c3891  add	x0, x0, #0xe27
0xfffffff0086be800: 0862f297  bl	#0xfffffff008357020
0xfffffff0086be804: e00314aa  mov	x0, x20
0xfffffff0086be808: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0086be80c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0086be810: f65745a9  ldp	x22, x21, [sp, #0x50]
