; Candidate 6709
; ADRP+ADD at VM 0xfffffff00883c3e0 (fileoff 0x18383e0): page=0x1fe9ad000 add_imm=0xe80

0xfffffff00883c360: 600a8052  mov	w0, #0x53
0xfffffff00883c364: 2dfd0094  bl	#0xfffffff00887b818
0xfffffff00883c368: f50300aa  mov	x21, x0
0xfffffff00883c36c: 90df0194  bl	#0xfffffff0088b41ac
0xfffffff00883c370: f40300aa  mov	x20, x0
0xfffffff00883c374: c0008052  mov	w0, #6
0xfffffff00883c378: 36fd0094  bl	#0xfffffff00887b850
0xfffffff00883c37c: b5010034  cbz	w21, #0xfffffff00883c3b0
0xfffffff00883c380: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883c384: 08d52e91  add	x8, x8, #0xbb5
0xfffffff00883c388: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883c38c: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883c390: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883c394: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883c398: 680a8052  mov	w8, #0x53
0xfffffff00883c39c: f42300a9  stp	x20, x8, [sp]
0xfffffff00883c3a0: a04eff90  adrp	x0, #0xfffffff007210000
0xfffffff00883c3a4: 008c2c91  add	x0, x0, #0xb23
0xfffffff00883c3a8: 2eecd597  bl	#0xfffffff007db7460
0xfffffff00883c3ac: 15000014  b	#0xfffffff00883c400
0xfffffff00883c3b0: 7fdf0194  bl	#0xfffffff0088b41ac
0xfffffff00883c3b4: f40300aa  mov	x20, x0
0xfffffff00883c3b8: c0008052  mov	w0, #6
0xfffffff00883c3bc: 25fd0094  bl	#0xfffffff00887b850
0xfffffff00883c3c0: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883c3c4: 08d52e91  add	x8, x8, #0xbb5
0xfffffff00883c3c8: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff00883c3cc: 284ffff0  adrp	x8, #0xfffffff007223000
0xfffffff00883c3d0: 08d92b91  add	x8, x8, #0xaf6
0xfffffff00883c3d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00883c3d8: 680a8052  mov	w8, #0x53
0xfffffff00883c3dc: f42300a9  stp	x20, x8, [sp]
0xfffffff00883c3e0: 604dffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff00883c3e4: 00003a91  add	x0, x0, #0xe80
0xfffffff00883c3e8: 618eff90  adrp	x1, #0xfffffff007a08000
0xfffffff00883c3ec: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00883c3f0: 8350fff0  adrp	x3, #0xfffffff00724f000
0xfffffff00883c3f4: 63a00291  add	x3, x3, #0xa8
0xfffffff00883c3f8: 02008052  mov	w2, #0
0xfffffff00883c3fc: 4ddbeb97  bl	#0xfffffff008333130
0xfffffff00883c400: 204ffff0  adrp	x0, #0xfffffff007223000
0xfffffff00883c404: 00f42e91  add	x0, x0, #0xbbd
0xfffffff00883c408: 010080d2  mov	x1, #0
0xfffffff00883c40c: 2c38ed97  bl	#0xfffffff00838a4bc
0xfffffff00883c410: e00600b4  cbz	x0, #0xfffffff00883c4ec
0xfffffff00883c414: f40300aa  mov	x20, x0
0xfffffff00883c418: 01008092  mov	x1, #-1
0xfffffff00883c41c: 5c36ed97  bl	#0xfffffff008389d8c
0xfffffff00883c420: 601600f9  str	x0, [x19, #0x28]
0xfffffff00883c424: e00900b4  cbz	x0, #0xfffffff00883c560
0xfffffff00883c428: 68e0ed97  bl	#0xfffffff0083b45c8
0xfffffff00883c42c: 601a00f9  str	x0, [x19, #0x30]
0xfffffff00883c430: c00c00b4  cbz	x0, #0xfffffff00883c5c8
0xfffffff00883c434: e00313aa  mov	x0, x19
0xfffffff00883c438: 010080d2  mov	x1, #0
0xfffffff00883c43c: d7eeed97  bl	#0xfffffff0083b7f98
0xfffffff00883c440: 601e00f9  str	x0, [x19, #0x38]
0xfffffff00883c444: a01200b4  cbz	x0, #0xfffffff00883c698
0xfffffff00883c448: e10300aa  mov	x1, x0
0xfffffff00883c44c: 601a40f9  ldr	x0, [x19, #0x30]
0xfffffff00883c450: 100040f9  ldr	x16, [x0]
0xfffffff00883c454: f10300aa  mov	x17, x0
0xfffffff00883c458: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00883c45c: 301ac1da  autda	x16, x17
