; Candidate 13651
; ADRP+ADD at VM 0xfffffff0093b700c (fileoff 0x23b300c): page=0x1fe14e000 add_imm=0xe91

0xfffffff0093b6f8c: 750400b4  cbz	x21, #0xfffffff0093b7018
0xfffffff0093b6f90: b71248b9  ldr	w23, [x21, #0x810]
0xfffffff0093b6f94: 37042036  tbz	w23, #4, #0xfffffff0093b7018
0xfffffff0093b6f98: 7714f036  tbz	w23, #0x1e, #0xfffffff0093b7224
0xfffffff0093b6f9c: c05bac97  bl	#0xfffffff007ecde9c
0xfffffff0093b6fa0: 1f040071  cmp	w0, #1
0xfffffff0093b6fa4: 01140054  b.ne	#0xfffffff0093b7224
0xfffffff0093b6fa8: b00240f9  ldr	x16, [x21]
0xfffffff0093b6fac: f10315aa  mov	x17, x21
0xfffffff0093b6fb0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b6fb4: 301ac1da  autda	x16, x17
0xfffffff0093b6fb8: 088e43f8  ldr	x8, [x16, #0x38]!
0xfffffff0093b6fbc: e90310aa  mov	x9, x16
0xfffffff0093b6fc0: e00315aa  mov	x0, x21
0xfffffff0093b6fc4: f10309aa  mov	x17, x9
0xfffffff0093b6fc8: 91fffff2  movk	x17, #0xfffc, lsl #48
0xfffffff0093b6fcc: 11093fd7  blraa	x8, x17
0xfffffff0093b6fd0: 62b6bc97  bl	#0xfffffff0082e4958
0xfffffff0093b6fd4: 680afff0  adrp	x8, #0xfffffff007505000
0xfffffff0093b6fd8: 08713b91  add	x8, x8, #0xedc
0xfffffff0093b6fdc: 690afff0  adrp	x9, #0xfffffff007505000
0xfffffff0093b6fe0: 294d3b91  add	x9, x9, #0xed3
0xfffffff0093b6fe4: 5f030071  cmp	w26, #0
0xfffffff0093b6fe8: 2b11889a  csel	x11, x9, x8, ne
0xfffffff0093b6fec: e80319aa  mov	x8, x25
0xfffffff0093b6ff0: 690afff0  adrp	x9, #0xfffffff007505000
0xfffffff0093b6ff4: 29ed3a91  add	x9, x9, #0xebb
0xfffffff0093b6ff8: 6a0afff0  adrp	x10, #0xfffffff007505000
0xfffffff0093b6ffc: 4a611891  add	x10, x10, #0x618
0xfffffff0093b7000: e8af01a9  stp	x8, x11, [sp, #0x18]
0xfffffff0093b7004: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff0093b7008: e00300f9  str	x0, [sp]
0xfffffff0093b700c: 600affd0  adrp	x0, #0xfffffff007505000
0xfffffff0093b7010: 00443a91  add	x0, x0, #0xe91
0xfffffff0093b7014: 0380be97  bl	#0xfffffff008357020
0xfffffff0093b7018: ba160034  cbz	w26, #0xfffffff0093b72ec
0xfffffff0093b701c: b9f207b9  str	w25, [x21, #0x7f0]
0xfffffff0093b7020: bf7607b9  str	wzr, [x21, #0x774]
0xfffffff0093b7024: 237f60d3  lsl	x3, x25, #0x20
0xfffffff0093b7028: b00240f9  ldr	x16, [x21]
0xfffffff0093b702c: f10315aa  mov	x17, x21
0xfffffff0093b7030: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0093b7034: 301ac1da  autda	x16, x17
0xfffffff0093b7038: 11b780d2  mov	x17, #0x5b8
0xfffffff0093b703c: 1002118b  add	x16, x16, x17
0xfffffff0093b7040: 080240f9  ldr	x8, [x16]
0xfffffff0093b7044: e90310aa  mov	x9, x16
0xfffffff0093b7048: e00315aa  mov	x0, x21
0xfffffff0093b704c: 81008052  mov	w1, #4
0xfffffff0093b7050: 02008052  mov	w2, #0
0xfffffff0093b7054: 040080d2  mov	x4, #0
0xfffffff0093b7058: f10309aa  mov	x17, x9
0xfffffff0093b705c: 910cf3f2  movk	x17, #0x9864, lsl #48
0xfffffff0093b7060: 11093fd7  blraa	x8, x17
0xfffffff0093b7064: a8c247b9  ldr	w8, [x21, #0x7c0]
0xfffffff0093b7068: 1f050071  cmp	w8, #1
0xfffffff0093b706c: 81010054  b.ne	#0xfffffff0093b709c
0xfffffff0093b7070: a80248b9  ldr	w8, [x21, #0x800]
0xfffffff0093b7074: 88000034  cbz	w8, #0xfffffff0093b7084
0xfffffff0093b7078: bffe03f9  str	xzr, [x21, #0x7f8]
0xfffffff0093b707c: a07640f9  ldr	x0, [x21, #0xe8]
0xfffffff0093b7080: d9971d94  bl	#0xfffffff009b1cfe4
0xfffffff0093b7084: a80248b9  ldr	w8, [x21, #0x800]
0xfffffff0093b7088: 1f3d0071  cmp	w8, #0xf
