; Candidate 83
; ADRP+ADD at VM 0xfffffff007def96c (fileoff 0xdeb96c): page=0x1ff25a000 add_imm=0xce2

0xfffffff007def8ec: 00002c91  add	x0, x0, #0xb00
0xfffffff007def8f0: 4efefe97  bl	#0xfffffff007daf228
0xfffffff007def8f4: 3effff17  b	#0xfffffff007def5ec
0xfffffff007def8f8: ea1f8052  mov	w10, #0xff
0xfffffff007def8fc: c992ffd0  adrp	x9, #0xfffffff007049000
0xfffffff007def900: 296d2191  add	x9, x9, #0x85b
0xfffffff007def904: e9ab01a9  stp	x9, x10, [sp, #0x18]
0xfffffff007def908: e8db00a9  stp	x8, x22, [sp, #8]
0xfffffff007def90c: f40300f9  str	x20, [sp]
0xfffffff007def910: c092ffd0  adrp	x0, #0xfffffff007049000
0xfffffff007def914: 00803091  add	x0, x0, #0xc20
0xfffffff007def918: fd921a94  bl	#0xfffffff00849450c
0xfffffff007def91c: 68208052  mov	w8, #0x103
0xfffffff007def920: c992ffd0  adrp	x9, #0xfffffff007049000
0xfffffff007def924: 296d2191  add	x9, x9, #0x85b
0xfffffff007def928: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff007def92c: ff0700f9  str	xzr, [sp, #8]
0xfffffff007def930: 06000014  b	#0xfffffff007def948
0xfffffff007def934: 69208052  mov	w9, #0x103
0xfffffff007def938: ca92ffd0  adrp	x10, #0xfffffff007049000
0xfffffff007def93c: 4a6d2191  add	x10, x10, #0x85b
0xfffffff007def940: ea2701a9  stp	x10, x9, [sp, #0x10]
0xfffffff007def944: e80700f9  str	x8, [sp, #8]
0xfffffff007def948: f40300f9  str	x20, [sp]
0xfffffff007def94c: c092ffd0  adrp	x0, #0xfffffff007049000
0xfffffff007def950: 00482891  add	x0, x0, #0xa12
0xfffffff007def954: ee921a94  bl	#0xfffffff00849450c
0xfffffff007def958: 8ca01a94  bl	#0xfffffff008497b88
0xfffffff007def95c: c892ffd0  adrp	x8, #0xfffffff007049000
0xfffffff007def960: 086d2191  add	x8, x8, #0x85b
0xfffffff007def964: 29518052  mov	w9, #0x289
0xfffffff007def968: e82700a9  stp	x8, x9, [sp]
0xfffffff007def96c: c092ffd0  adrp	x0, #0xfffffff007049000
0xfffffff007def970: 00883391  add	x0, x0, #0xce2
0xfffffff007def974: e6921a94  bl	#0xfffffff00849450c
0xfffffff007def978: c892ffd0  adrp	x8, #0xfffffff007049000
0xfffffff007def97c: 086d2191  add	x8, x8, #0x85b
0xfffffff007def980: 49468052  mov	w9, #0x232
0xfffffff007def984: e82700a9  stp	x8, x9, [sp]
0xfffffff007def988: c092ffd0  adrp	x0, #0xfffffff007049000
0xfffffff007def98c: 00a42191  add	x0, x0, #0x869
0xfffffff007def990: df921a94  bl	#0xfffffff00849450c
0xfffffff007def994: 7f2303d5  pacibsp	
0xfffffff007def998: ffc301d1  sub	sp, sp, #0x70
0xfffffff007def99c: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff007def9a0: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff007def9a4: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff007def9a8: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff007def9ac: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff007def9b0: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff007def9b4: fd830191  add	x29, sp, #0x60
0xfffffff007def9b8: 602100b4  cbz	x0, #0xfffffff007defde4
0xfffffff007def9bc: f50302aa  mov	x21, x2
0xfffffff007def9c0: f30301aa  mov	x19, x1
0xfffffff007def9c4: f40300aa  mov	x20, x0
0xfffffff007def9c8: 82d038d5  mrs	x2, tpidr_el1
0xfffffff007def9cc: 3a423bd5  mrs	x26, daif
0xfffffff007def9d0: 5a003837  tbnz	w26, #7, #0xfffffff007def9d8
0xfffffff007def9d4: df4703d5  msr	daifset, #7
0xfffffff007def9d8: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff007def9dc: 08050011  add	w8, w8, #1
0xfffffff007def9e0: 484801b9  str	w8, [x2, #0x148]
0xfffffff007def9e4: c81d01b0  adrp	x8, #0xfffffff00a1a8000
0xfffffff007def9e8: 08212c91  add	x8, x8, #0xb08
