; Candidate 8472
; ADRP+ADD at VM 0xfffffff0088acd0c (fileoff 0x18a8d0c): page=0x1fe93d000 add_imm=0xe80

0xfffffff0088acc8c: 40120034  cbz	w0, #0xfffffff0088aced4
0xfffffff0088acc90: c00f8052  mov	w0, #0x7e
0xfffffff0088acc94: e13aff97  bl	#0xfffffff00887b818
0xfffffff0088acc98: f70300aa  mov	x23, x0
0xfffffff0088acc9c: 441d0094  bl	#0xfffffff0088b41ac
0xfffffff0088acca0: f60300aa  mov	x22, x0
0xfffffff0088acca4: 80008052  mov	w0, #4
0xfffffff0088acca8: ea3aff97  bl	#0xfffffff00887b850
0xfffffff0088accac: 770b0034  cbz	w23, #0xfffffff0088ace18
0xfffffff0088accb0: f35703a9  stp	x19, x21, [sp, #0x30]
0xfffffff0088accb4: 284bff90  adrp	x8, #0xfffffff007210000
0xfffffff0088accb8: 08b92791  add	x8, x8, #0x9ee
0xfffffff0088accbc: 098c8052  mov	w9, #0x460
0xfffffff0088accc0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088accc4: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088accc8: 08352c91  add	x8, x8, #0xb0d
0xfffffff0088acccc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088accd0: c80f8052  mov	w8, #0x7e
0xfffffff0088accd4: 204cfff0  adrp	x0, #0xfffffff007233000
0xfffffff0088accd8: 007c2c91  add	x0, x0, #0xb1f
0xfffffff0088accdc: 4c000014  b	#0xfffffff0088ace0c
0xfffffff0088acce0: 331d0094  bl	#0xfffffff0088b41ac
0xfffffff0088acce4: f50300aa  mov	x21, x0
0xfffffff0088acce8: c0008052  mov	w0, #6
0xfffffff0088accec: d93aff97  bl	#0xfffffff00887b850
0xfffffff0088accf0: e80314aa  mov	x8, x20
0xfffffff0088accf4: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088accf8: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088accfc: 08352c91  add	x8, x8, #0xb0d
0xfffffff0088acd00: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088acd04: c80f8052  mov	w8, #0x7e
0xfffffff0088acd08: f52300a9  stp	x21, x8, [sp]
0xfffffff0088acd0c: e049ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088acd10: 00003a91  add	x0, x0, #0xe80
0xfffffff0088acd14: e18aff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088acd18: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088acd1c: a34dfff0  adrp	x3, #0xfffffff007263000
0xfffffff0088acd20: 63642a91  add	x3, x3, #0xa99
0xfffffff0088acd24: 02008052  mov	w2, #0
0xfffffff0088acd28: 0219ea97  bl	#0xfffffff008333130
0xfffffff0088acd2c: 73f9ffb5  cbnz	x19, #0xfffffff0088acc58
0xfffffff0088acd30: c00f8052  mov	w0, #0x7e
0xfffffff0088acd34: 81008052  mov	w1, #4
0xfffffff0088acd38: a63aff97  bl	#0xfffffff00887b7d0
0xfffffff0088acd3c: a00c0034  cbz	w0, #0xfffffff0088aced0
0xfffffff0088acd40: c00f8052  mov	w0, #0x7e
0xfffffff0088acd44: b53aff97  bl	#0xfffffff00887b818
0xfffffff0088acd48: f60300aa  mov	x22, x0
0xfffffff0088acd4c: 181d0094  bl	#0xfffffff0088b41ac
0xfffffff0088acd50: f50300aa  mov	x21, x0
0xfffffff0088acd54: 80008052  mov	w0, #4
0xfffffff0088acd58: be3aff97  bl	#0xfffffff00887b850
0xfffffff0088acd5c: f6080034  cbz	w22, #0xfffffff0088ace78
0xfffffff0088acd60: 284cffd0  adrp	x8, #0xfffffff007232000
0xfffffff0088acd64: 08d13a91  add	x8, x8, #0xeb4
0xfffffff0088acd68: 098b8052  mov	w9, #0x458
0xfffffff0088acd6c: e8ff02a9  stp	x8, xzr, [sp, #0x28]
0xfffffff0088acd70: 284cfff0  adrp	x8, #0xfffffff007233000
0xfffffff0088acd74: 08352c91  add	x8, x8, #0xb0d
0xfffffff0088acd78: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088acd7c: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0088acd80: c80f8052  mov	w8, #0x7e
0xfffffff0088acd84: 404bffb0  adrp	x0, #0xfffffff007215000
0xfffffff0088acd88: 00a81491  add	x0, x0, #0x52a
