; Candidate 757
; ADRP+ADD at VM 0xfffffff00806bab8 (fileoff 0x1067ab8): page=0x1ff004000 add_imm=0xd28

0xfffffff00806ba38: 9cfeff17  b	#0xfffffff00806b4a8
0xfffffff00806ba3c: 2080ff90  adrp	x0, #0xfffffff00706f000
0xfffffff00806ba40: 00d83b91  add	x0, x0, #0xef6
0xfffffff00806ba44: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806ba48: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806ba4c: a2658152  mov	w2, #0xb2d
0xfffffff00806ba50: 71cf1094  bl	#0xfffffff00849f814
0xfffffff00806ba54: e00314aa  mov	x0, x20
0xfffffff00806ba58: e10316aa  mov	x1, x22
0xfffffff00806ba5c: 4203f597  bl	#0xfffffff007dac764
0xfffffff00806ba60: aefeff17  b	#0xfffffff00806b518
0xfffffff00806ba64: e00314aa  mov	x0, x20
0xfffffff00806ba68: e10316aa  mov	x1, x22
0xfffffff00806ba6c: 02008052  mov	w2, #0
0xfffffff00806ba70: 2200f597  bl	#0xfffffff007dabaf8
0xfffffff00806ba74: cafeff17  b	#0xfffffff00806b59c
0xfffffff00806ba78: e00314aa  mov	x0, x20
0xfffffff00806ba7c: e10316aa  mov	x1, x22
0xfffffff00806ba80: 3903f597  bl	#0xfffffff007dac764
0xfffffff00806ba84: 40ffff17  b	#0xfffffff00806b784
0xfffffff00806ba88: 2080ff90  adrp	x0, #0xfffffff00706f000
0xfffffff00806ba8c: 00683c91  add	x0, x0, #0xf1a
0xfffffff00806ba90: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806ba94: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806ba98: 22888152  mov	w2, #0xc41
0xfffffff00806ba9c: 5ecf1094  bl	#0xfffffff00849f814
0xfffffff00806baa0: 2080ffb0  adrp	x0, #0xfffffff007070000
0xfffffff00806baa4: 00dc3091  add	x0, x0, #0xc37
0xfffffff00806baa8: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806baac: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806bab0: 62888152  mov	w2, #0xc43
0xfffffff00806bab4: 58cf1094  bl	#0xfffffff00849f814
0xfffffff00806bab8: 2080ff90  adrp	x0, #0xfffffff00706f000
0xfffffff00806babc: 00a03491  add	x0, x0, #0xd28
0xfffffff00806bac0: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806bac4: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806bac8: a2888152  mov	w2, #0xc45
0xfffffff00806bacc: 52cf1094  bl	#0xfffffff00849f814
0xfffffff00806bad0: e00314aa  mov	x0, x20
0xfffffff00806bad4: e10316aa  mov	x1, x22
0xfffffff00806bad8: 2303f597  bl	#0xfffffff007dac764
0xfffffff00806badc: bffeff17  b	#0xfffffff00806b5d8
0xfffffff00806bae0: e00314aa  mov	x0, x20
0xfffffff00806bae4: e10316aa  mov	x1, x22
0xfffffff00806bae8: 02008052  mov	w2, #0
0xfffffff00806baec: 0300f597  bl	#0xfffffff007dabaf8
0xfffffff00806baf0: c8feff17  b	#0xfffffff00806b610
0xfffffff00806baf4: e00314aa  mov	x0, x20
0xfffffff00806baf8: e10316aa  mov	x1, x22
0xfffffff00806bafc: 1a03f597  bl	#0xfffffff007dac764
0xfffffff00806bb00: 65ffff17  b	#0xfffffff00806b894
0xfffffff00806bb04: 2080ff90  adrp	x0, #0xfffffff00706f000
0xfffffff00806bb08: 00a03491  add	x0, x0, #0xd28
0xfffffff00806bb0c: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806bb10: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806bb14: 42698152  mov	w2, #0xb4a
0xfffffff00806bb18: 3fcf1094  bl	#0xfffffff00849f814
0xfffffff00806bb1c: ccc8f397  bl	#0xfffffff007d5de4c
0xfffffff00806bb20: 2080ff90  adrp	x0, #0xfffffff00706f000
0xfffffff00806bb24: 00283c91  add	x0, x0, #0xf0a
0xfffffff00806bb28: 2180ff90  adrp	x1, #0xfffffff00706f000
0xfffffff00806bb2c: 21682c91  add	x1, x1, #0xb1a
0xfffffff00806bb30: a2708152  mov	w2, #0xb85
0xfffffff00806bb34: 38cf1094  bl	#0xfffffff00849f814
