; Candidate 5325
; ADRP+ADD at VM 0xfffffff0087e6c6c (fileoff 0x17e2c6c): page=0x1fea2d000 add_imm=0xe0f

0xfffffff0087e6bec: 5131ed97  bl	#0xfffffff008333130
0xfffffff0087e6bf0: 00008052  mov	w0, #0
0xfffffff0087e6bf4: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0087e6bf8: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0087e6bfc: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0087e6c00: ff830191  add	sp, sp, #0x60
0xfffffff0087e6c04: ff0f5fd6  retab	
0xfffffff0087e6c08: 7f2303d5  pacibsp	
0xfffffff0087e6c0c: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087e6c10: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087e6c14: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087e6c18: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087e6c1c: fd430191  add	x29, sp, #0x50
0xfffffff0087e6c20: f30300aa  mov	x19, x0
0xfffffff0087e6c24: 600e8052  mov	w0, #0x73
0xfffffff0087e6c28: c1008052  mov	w1, #6
0xfffffff0087e6c2c: e9520294  bl	#0xfffffff00887b7d0
0xfffffff0087e6c30: 40020034  cbz	w0, #0xfffffff0087e6c78
0xfffffff0087e6c34: 600e8052  mov	w0, #0x73
0xfffffff0087e6c38: f8520294  bl	#0xfffffff00887b818
0xfffffff0087e6c3c: f50300aa  mov	x21, x0
0xfffffff0087e6c40: 5b350394  bl	#0xfffffff0088b41ac
0xfffffff0087e6c44: f40300aa  mov	x20, x0
0xfffffff0087e6c48: c0008052  mov	w0, #6
0xfffffff0087e6c4c: 01530294  bl	#0xfffffff00887b850
0xfffffff0087e6c50: b5040034  cbz	w21, #0xfffffff0087e6ce4
0xfffffff0087e6c54: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6c58: 08893991  add	x8, x8, #0xe62
0xfffffff0087e6c5c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0087e6c60: 680e8052  mov	w8, #0x73
0xfffffff0087e6c64: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e6c68: f40300f9  str	x20, [sp]
0xfffffff0087e6c6c: 6051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087e6c70: 003c3891  add	x0, x0, #0xe0f
0xfffffff0087e6c74: fb41d797  bl	#0xfffffff007db7460
0xfffffff0087e6c78: b30000b4  cbz	x19, #0xfffffff0087e6c8c
0xfffffff0087e6c7c: 2091ffd0  adrp	x0, #0xfffffff007a0c000
0xfffffff0087e6c80: 00603491  add	x0, x0, #0xd18
0xfffffff0087e6c84: e10313aa  mov	x1, x19
0xfffffff0087e6c88: a1beed97  bl	#0xfffffff00835670c
0xfffffff0087e6c8c: 600e8052  mov	w0, #0x73
0xfffffff0087e6c90: c1008052  mov	w1, #6
0xfffffff0087e6c94: cf520294  bl	#0xfffffff00887b7d0
0xfffffff0087e6c98: 20070034  cbz	w0, #0xfffffff0087e6d7c
0xfffffff0087e6c9c: 600e8052  mov	w0, #0x73
0xfffffff0087e6ca0: de520294  bl	#0xfffffff00887b818
0xfffffff0087e6ca4: f40300aa  mov	x20, x0
0xfffffff0087e6ca8: 41350394  bl	#0xfffffff0088b41ac
0xfffffff0087e6cac: f30300aa  mov	x19, x0
0xfffffff0087e6cb0: c0008052  mov	w0, #6
0xfffffff0087e6cb4: e7520294  bl	#0xfffffff00887b850
0xfffffff0087e6cb8: f4030034  cbz	w20, #0xfffffff0087e6d34
0xfffffff0087e6cbc: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e6cc0: 08893991  add	x8, x8, #0xe62
0xfffffff0087e6cc4: e8ff01a9  stp	x8, xzr, [sp, #0x18]
0xfffffff0087e6cc8: 680e8052  mov	w8, #0x73
0xfffffff0087e6ccc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e6cd0: f30300f9  str	x19, [sp]
0xfffffff0087e6cd4: 6051ffb0  adrp	x0, #0xfffffff007213000
0xfffffff0087e6cd8: 00183991  add	x0, x0, #0xe46
0xfffffff0087e6cdc: e141d797  bl	#0xfffffff007db7460
0xfffffff0087e6ce0: 27000014  b	#0xfffffff0087e6d7c
0xfffffff0087e6ce4: 32350394  bl	#0xfffffff0088b41ac
0xfffffff0087e6ce8: f40300aa  mov	x20, x0
