; Candidate 4863
; ADRP+ADD at VM 0xfffffff0087ca2cc (fileoff 0x17c62cc): page=0x1fea1f000 add_imm=0xe80

0xfffffff0087ca24c: f80300aa  mov	x24, x0
0xfffffff0087ca250: d7a70394  bl	#0xfffffff0088b41ac
0xfffffff0087ca254: f70300aa  mov	x23, x0
0xfffffff0087ca258: 80008052  mov	w0, #4
0xfffffff0087ca25c: 7dc50294  bl	#0xfffffff00887b850
0xfffffff0087ca260: d8010034  cbz	w24, #0xfffffff0087ca298
0xfffffff0087ca264: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff0087ca268: c90240b9  ldr	w9, [x22]
0xfffffff0087ca26c: aa724bb9  ldr	w10, [x21, #0xb70]
0xfffffff0087ca270: ab6a4bb9  ldr	w11, [x21, #0xb68]
0xfffffff0087ca274: ea2f03a9  stp	x10, x11, [sp, #0x30]
0xfffffff0087ca278: fb2702a9  stp	x27, x9, [sp, #0x20]
0xfffffff0087ca27c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ca280: a80f8052  mov	w8, #0x7d
0xfffffff0087ca284: 2052ff90  adrp	x0, #0xfffffff00720e000
0xfffffff0087ca288: 00f83f91  add	x0, x0, #0xffe
0xfffffff0087ca28c: f72300a9  stp	x23, x8, [sp]
0xfffffff0087ca290: 74b4d797  bl	#0xfffffff007db7460
0xfffffff0087ca294: 16000014  b	#0xfffffff0087ca2ec
0xfffffff0087ca298: c5a70394  bl	#0xfffffff0088b41ac
0xfffffff0087ca29c: f70300aa  mov	x23, x0
0xfffffff0087ca2a0: 80008052  mov	w0, #4
0xfffffff0087ca2a4: 6bc50294  bl	#0xfffffff00887b850
0xfffffff0087ca2a8: a81a40b9  ldr	w8, [x21, #0x18]
0xfffffff0087ca2ac: c90240b9  ldr	w9, [x22]
0xfffffff0087ca2b0: aa724bb9  ldr	w10, [x21, #0xb70]
0xfffffff0087ca2b4: ab6a4bb9  ldr	w11, [x21, #0xb68]
0xfffffff0087ca2b8: ea2f03a9  stp	x10, x11, [sp, #0x30]
0xfffffff0087ca2bc: fb2702a9  stp	x27, x9, [sp, #0x20]
0xfffffff0087ca2c0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087ca2c4: a80f8052  mov	w8, #0x7d
0xfffffff0087ca2c8: f72300a9  stp	x23, x8, [sp]
0xfffffff0087ca2cc: e050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087ca2d0: 00003a91  add	x0, x0, #0xe80
0xfffffff0087ca2d4: e191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087ca2d8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087ca2dc: 6353ffd0  adrp	x3, #0xfffffff007238000
0xfffffff0087ca2e0: 63001f91  add	x3, x3, #0x7c0
0xfffffff0087ca2e4: 02008052  mov	w2, #0
0xfffffff0087ca2e8: 92a3ed97  bl	#0xfffffff008333130
0xfffffff0087ca2ec: df0200b9  str	wzr, [x22]
0xfffffff0087ca2f0: 620240b9  ldr	w2, [x19]
0xfffffff0087ca2f4: 5f001a6b  cmp	w2, w26
0xfffffff0087ca2f8: 00180054  b.eq	#0xfffffff0087ca5f8
0xfffffff0087ca2fc: 88024039  ldrb	w8, [x20]
0xfffffff0087ca300: 08020034  cbz	w8, #0xfffffff0087ca340
0xfffffff0087ca304: a86a4bb9  ldr	w8, [x21, #0xb68]
0xfffffff0087ca308: 5f00086b  cmp	w2, w8
0xfffffff0087ca30c: 42040054  b.hs	#0xfffffff0087ca394
0xfffffff0087ca310: a86e4bb9  ldr	w8, [x21, #0xb6c]
0xfffffff0087ca314: a81e088b  add	x8, x21, x8, lsl #7
0xfffffff0087ca318: 01a10b91  add	x1, x8, #0x2e8
0xfffffff0087ca31c: a9fdff97  bl	#0xfffffff0087c99c0
0xfffffff0087ca320: 800600b4  cbz	x0, #0xfffffff0087ca3f0
0xfffffff0087ca324: 082040b9  ldr	w8, [x0, #0x20]
0xfffffff0087ca328: 1f090071  cmp	w8, #2
0xfffffff0087ca32c: 61090054  b.ne	#0xfffffff0087ca458
0xfffffff0087ca330: 680240b9  ldr	w8, [x19]
0xfffffff0087ca334: 1f011a6b  cmp	w8, w26
0xfffffff0087ca338: 00160054  b.eq	#0xfffffff0087ca5f8
0xfffffff0087ca33c: e8000014  b	#0xfffffff0087ca6dc
0xfffffff0087ca340: a00f8052  mov	w0, #0x7d
0xfffffff0087ca344: 81008052  mov	w1, #4
0xfffffff0087ca348: 22c50294  bl	#0xfffffff00887b7d0
