; Candidate 11078
; ADRP+ADD at VM 0xfffffff008e4cde0 (fileoff 0x1e48de0): page=0x1fe588000 add_imm=0xd44

0xfffffff008e4cd60: 1002118b  add	x16, x16, x17
0xfffffff008e4cd64: 080240f9  ldr	x8, [x16]
0xfffffff008e4cd68: e90310aa  mov	x9, x16
0xfffffff008e4cd6c: e00317aa  mov	x0, x23
0xfffffff008e4cd70: e10316aa  mov	x1, x22
0xfffffff008e4cd74: e20315aa  mov	x2, x21
0xfffffff008e4cd78: e30314aa  mov	x3, x20
0xfffffff008e4cd7c: e40313aa  mov	x4, x19
0xfffffff008e4cd80: f10309aa  mov	x17, x9
0xfffffff008e4cd84: b113e2f2  movk	x17, #0x109d, lsl #48
0xfffffff008e4cd88: 11093fd7  blraa	x8, x17
0xfffffff008e4cd8c: 16008052  mov	w22, #0
0xfffffff008e4cd90: 73ffff17  b	#0xfffffff008e4cb5c
0xfffffff008e4cd94: 48588052  mov	w8, #0x2c2
0xfffffff008e4cd98: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008e4cd9c: 16150051  sub	w22, w8, #5
0xfffffff008e4cda0: 6fffff17  b	#0xfffffff008e4cb5c
0xfffffff008e4cda4: 08008052  mov	w8, #0
0xfffffff008e4cda8: a1ffff17  b	#0xfffffff008e4cc2c
0xfffffff008e4cdac: 7f2303d5  pacibsp	
0xfffffff008e4cdb0: ffc301d1  sub	sp, sp, #0x70
0xfffffff008e4cdb4: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff008e4cdb8: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff008e4cdbc: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff008e4cdc0: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff008e4cdc4: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff008e4cdc8: fd830191  add	x29, sp, #0x60
0xfffffff008e4cdcc: 9f080071  cmp	w4, #2
0xfffffff008e4cdd0: e3000054  b.lo	#0xfffffff008e4cdec
0xfffffff008e4cdd4: 482cff90  adrp	x8, #0xfffffff0073d4000
0xfffffff008e4cdd8: 08853591  add	x8, x8, #0xd61
0xfffffff008e4cddc: e80300f9  str	x8, [sp]
0xfffffff008e4cde0: 402cff90  adrp	x0, #0xfffffff0073d4000
0xfffffff008e4cde4: 00103591  add	x0, x0, #0xd44
0xfffffff008e4cde8: 6a000014  b	#0xfffffff008e4cf90
0xfffffff008e4cdec: 7f300c71  cmp	w3, #0x30c
0xfffffff008e4cdf0: 610b0054  b.ne	#0xfffffff008e4cf5c
0xfffffff008e4cdf4: f50304aa  mov	x21, x4
0xfffffff008e4cdf8: f40302aa  mov	x20, x2
0xfffffff008e4cdfc: f30301aa  mov	x19, x1
0xfffffff008e4ce00: e00301aa  mov	x0, x1
0xfffffff008e4ce04: a1618052  mov	w1, #0x30d
0xfffffff008e4ce08: 22018052  mov	w2, #9
0xfffffff008e4ce0c: acbb0094  bl	#0xfffffff008e7bcbc
0xfffffff008e4ce10: 600b0036  tbz	w0, #0, #0xfffffff008e4cf7c
0xfffffff008e4ce14: b706150b  add	w23, w21, w21, lsl #1
0xfffffff008e4ce18: 96719c52  mov	w22, #0xe38c
0xfffffff008e4ce1c: f600a072  movk	w22, #7, lsl #16
0xfffffff008e4ce20: d522170b  add	w21, w22, w23, lsl #8
0xfffffff008e4ce24: e00313aa  mov	x0, x19
0xfffffff008e4ce28: e10315aa  mov	x1, x21
0xfffffff008e4ce2c: e20314aa  mov	x2, x20
0xfffffff008e4ce30: 03188052  mov	w3, #0xc0
0xfffffff008e4ce34: 24008052  mov	w4, #1
0xfffffff008e4ce38: 25008052  mov	w5, #1
0xfffffff008e4ce3c: c7ba0094  bl	#0xfffffff008e7b958
0xfffffff008e4ce40: 82020c91  add	x2, x20, #0x300
0xfffffff008e4ce44: d80a170b  add	w24, w22, w23, lsl #2
0xfffffff008e4ce48: 01031811  add	w1, w24, #0x600
0xfffffff008e4ce4c: e00313aa  mov	x0, x19
0xfffffff008e4ce50: 63008052  mov	w3, #3
0xfffffff008e4ce54: 24008052  mov	w4, #1
0xfffffff008e4ce58: 25008052  mov	w5, #1
0xfffffff008e4ce5c: bfba0094  bl	#0xfffffff008e7b958
