; Candidate 6582
; ADRP+ADD at VM 0xfffffff008833f18 (fileoff 0x182ff18): page=0x1fe9e0000 add_imm=0xe0f

0xfffffff008833e98: e00313aa  mov	x0, x19
0xfffffff008833e9c: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008833ea0: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008833ea4: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008833ea8: ff0f5fd6  retab	
0xfffffff008833eac: 7f2303d5  pacibsp	
0xfffffff008833eb0: ff4303d1  sub	sp, sp, #0xd0
0xfffffff008833eb4: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff008833eb8: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff008833ebc: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff008833ec0: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff008833ec4: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008833ec8: fd030391  add	x29, sp, #0xc0
0xfffffff008833ecc: f30300aa  mov	x19, x0
0xfffffff008833ed0: 200f8052  mov	w0, #0x79
0xfffffff008833ed4: 01018052  mov	w1, #8
0xfffffff008833ed8: 3e1e0194  bl	#0xfffffff00887b7d0
0xfffffff008833edc: 40020034  cbz	w0, #0xfffffff008833f24
0xfffffff008833ee0: 200f8052  mov	w0, #0x79
0xfffffff008833ee4: 4d1e0194  bl	#0xfffffff00887b818
0xfffffff008833ee8: f50300aa  mov	x21, x0
0xfffffff008833eec: b0000294  bl	#0xfffffff0088b41ac
0xfffffff008833ef0: f40300aa  mov	x20, x0
0xfffffff008833ef4: 00018052  mov	w0, #8
0xfffffff008833ef8: 561e0194  bl	#0xfffffff00887b850
0xfffffff008833efc: b5060034  cbz	w21, #0xfffffff008833fd0
0xfffffff008833f00: 684ffff0  adrp	x8, #0xfffffff007222000
0xfffffff008833f04: 08993f91  add	x8, x8, #0xfe6
0xfffffff008833f08: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008833f0c: 280f8052  mov	w8, #0x79
0xfffffff008833f10: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008833f14: f40300f9  str	x20, [sp]
0xfffffff008833f18: 004fff90  adrp	x0, #0xfffffff007213000
0xfffffff008833f1c: 003c3891  add	x0, x0, #0xe0f
0xfffffff008833f20: 500dd697  bl	#0xfffffff007db7460
0xfffffff008833f24: d30700b4  cbz	x19, #0xfffffff00883401c
0xfffffff008833f28: 680240f9  ldr	x8, [x19]
0xfffffff008833f2c: 680100b4  cbz	x8, #0xfffffff008833f58
0xfffffff008833f30: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff008833f34: 290100b4  cbz	x9, #0xfffffff008833f58
0xfffffff008833f38: 76e20091  add	x22, x19, #0x38
0xfffffff008833f3c: 69b640b9  ldr	w9, [x19, #0xb4]
0xfffffff008833f40: e9100034  cbz	w9, #0xfffffff00883415c
0xfffffff008833f44: 37008052  mov	w23, #1
0xfffffff008833f48: 99008052  mov	w25, #4
0xfffffff008833f4c: 5a008052  mov	w26, #2
0xfffffff008833f50: 89008052  mov	w9, #4
0xfffffff008833f54: 95000014  b	#0xfffffff0088341a8
0xfffffff008833f58: 200f8052  mov	w0, #0x79
0xfffffff008833f5c: 81008052  mov	w1, #4
0xfffffff008833f60: 1c1e0194  bl	#0xfffffff00887b7d0
0xfffffff008833f64: 400c0034  cbz	w0, #0xfffffff0088340ec
0xfffffff008833f68: 200f8052  mov	w0, #0x79
0xfffffff008833f6c: 2b1e0194  bl	#0xfffffff00887b818
0xfffffff008833f70: f50300aa  mov	x21, x0
0xfffffff008833f74: 8e000294  bl	#0xfffffff0088b41ac
0xfffffff008833f78: f40300aa  mov	x20, x0
0xfffffff008833f7c: 80008052  mov	w0, #4
0xfffffff008833f80: 341e0194  bl	#0xfffffff00887b850
0xfffffff008833f84: 15080034  cbz	w21, #0xfffffff008834084
0xfffffff008833f88: 680240f9  ldr	x8, [x19]
0xfffffff008833f8c: 690a40f9  ldr	x9, [x19, #0x10]
0xfffffff008833f90: 6a0a40b9  ldr	w10, [x19, #8]
0xfffffff008833f94: e82704a9  stp	x8, x9, [sp, #0x40]
