; Candidate 10653
; ADRP+ADD at VM 0xfffffff008de21bc (fileoff 0x1dde1bc): page=0x1fe5e2000 add_imm=0xe15

0xfffffff008de213c: 519081d2  mov	x17, #0xc82
0xfffffff008de2140: 710a3fd7  blraa	x19, x17
0xfffffff008de2144: f30300aa  mov	x19, x0
0xfffffff008de2148: 60040035  cbnz	w0, #0xfffffff008de21d4
0xfffffff008de214c: 48018052  mov	w8, #0xa
0xfffffff008de2150: e9024039  ldrb	w9, [x23]
0xfffffff008de2154: 1f01096b  cmp	w8, w9
0xfffffff008de2158: 03010054  b.lo	#0xfffffff008de2178
0xfffffff008de215c: e80313aa  mov	x8, x19
0xfffffff008de2160: 087d4093  sxtw	x8, w8
0xfffffff008de2164: f65700a9  stp	x22, x21, [sp]
0xfffffff008de2168: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008de216c: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2170: 00503591  add	x0, x0, #0xd54
0xfffffff008de2174: abd3d597  bl	#0xfffffff008357020
0xfffffff008de2178: e00313aa  mov	x0, x19
0xfffffff008de217c: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008de2180: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff008de2184: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff008de2188: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff008de218c: ffc30191  add	sp, sp, #0x70
0xfffffff008de2190: ff0f5fd6  retab	
0xfffffff008de2194: 28938052  mov	w8, #0x499
0xfffffff008de2198: e92efff0  adrp	x9, #0xfffffff0073c1000
0xfffffff008de219c: 29490d91  add	x9, x9, #0x352
0xfffffff008de21a0: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff008de21a4: 082fffd0  adrp	x8, #0xfffffff0073c4000
0xfffffff008de21a8: 08493991  add	x8, x8, #0xe52
0xfffffff008de21ac: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de21b0: 4ab51491  add	x10, x10, #0x52d
0xfffffff008de21b4: ffa300a9  stp	xzr, x8, [sp, #8]
0xfffffff008de21b8: ea0300f9  str	x10, [sp]
0xfffffff008de21bc: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de21c0: 00543891  add	x0, x0, #0xe15
0xfffffff008de21c4: 97d3d597  bl	#0xfffffff008357020
0xfffffff008de21c8: c8088052  mov	w8, #0x46
0xfffffff008de21cc: 53008012  mov	w19, #-3
0xfffffff008de21d0: e0ffff17  b	#0xfffffff008de2150
0xfffffff008de21d4: 687e4093  sxtw	x8, w19
0xfffffff008de21d8: 69938052  mov	w9, #0x49b
0xfffffff008de21dc: ea2efff0  adrp	x10, #0xfffffff0073c1000
0xfffffff008de21e0: 4a490d91  add	x10, x10, #0x352
0xfffffff008de21e4: eaa701a9  stp	x10, x9, [sp, #0x18]
0xfffffff008de21e8: 092fffd0  adrp	x9, #0xfffffff0073c4000
0xfffffff008de21ec: 29493991  add	x9, x9, #0xe52
0xfffffff008de21f0: 0b2fffd0  adrp	x11, #0xfffffff0073c4000
0xfffffff008de21f4: 6bf13a91  add	x11, x11, #0xebc
0xfffffff008de21f8: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff008de21fc: eb0300f9  str	x11, [sp]
0xfffffff008de2200: 002fffd0  adrp	x0, #0xfffffff0073c4000
0xfffffff008de2204: 00543891  add	x0, x0, #0xe15
0xfffffff008de2208: 86d3d597  bl	#0xfffffff008357020
0xfffffff008de220c: c8088052  mov	w8, #0x46
0xfffffff008de2210: d0ffff17  b	#0xfffffff008de2150
0xfffffff008de2214: 7f2303d5  pacibsp	
0xfffffff008de2218: ffc302d1  sub	sp, sp, #0xb0
0xfffffff008de221c: fc6f05a9  stp	x28, x27, [sp, #0x50]
0xfffffff008de2220: fa6706a9  stp	x26, x25, [sp, #0x60]
0xfffffff008de2224: f85f07a9  stp	x24, x23, [sp, #0x70]
0xfffffff008de2228: f65708a9  stp	x22, x21, [sp, #0x80]
0xfffffff008de222c: f44f09a9  stp	x20, x19, [sp, #0x90]
0xfffffff008de2230: fd7b0aa9  stp	x29, x30, [sp, #0xa0]
0xfffffff008de2234: fd830291  add	x29, sp, #0xa0
0xfffffff008de2238: f40306aa  mov	x20, x6
