; Candidate 8615
; ADRP+ADD at VM 0xfffffff0088b7a4c (fileoff 0x18b3a4c): page=0x1fe932000 add_imm=0xe80

0xfffffff0088b79cc: 3800c0d2  mov	x24, #0x100000000
0xfffffff0088b79d0: 811f0012  and	w1, w28, #0xff
0xfffffff0088b79d4: 21031fb8  stur	w1, [x25, #-0x10]
0xfffffff0088b79d8: e00314aa  mov	x0, x20
0xfffffff0088b79dc: 05edff97  bl	#0xfffffff0088b2df0
0xfffffff0088b79e0: e01e0035  cbnz	w0, #0xfffffff0088b7dbc
0xfffffff0088b79e4: a0088052  mov	w0, #0x45
0xfffffff0088b79e8: e1008052  mov	w1, #7
0xfffffff0088b79ec: 790fff97  bl	#0xfffffff00887b7d0
0xfffffff0088b79f0: e0030034  cbz	w0, #0xfffffff0088b7a6c
0xfffffff0088b79f4: a0088052  mov	w0, #0x45
0xfffffff0088b79f8: 880fff97  bl	#0xfffffff00887b818
0xfffffff0088b79fc: fb0300aa  mov	x27, x0
0xfffffff0088b7a00: ebf1ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7a04: fa0300aa  mov	x26, x0
0xfffffff0088b7a08: e0008052  mov	w0, #7
0xfffffff0088b7a0c: 910fff97  bl	#0xfffffff00887b850
0xfffffff0088b7a10: 1b010034  cbz	w27, #0xfffffff0088b7a30
0xfffffff0088b7a14: 28035fb8  ldur	w8, [x25, #-0x10]
0xfffffff0088b7a18: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7a1c: fa5f00a9  stp	x26, x23, [sp]
0xfffffff0088b7a20: e04bffd0  adrp	x0, #0xfffffff007235000
0xfffffff0088b7a24: 008c1d91  add	x0, x0, #0x763
0xfffffff0088b7a28: 8efed397  bl	#0xfffffff007db7460
0xfffffff0088b7a2c: 10000014  b	#0xfffffff0088b7a6c
0xfffffff0088b7a30: dff1ff97  bl	#0xfffffff0088b41ac
0xfffffff0088b7a34: fa0300aa  mov	x26, x0
0xfffffff0088b7a38: e0008052  mov	w0, #7
0xfffffff0088b7a3c: 850fff97  bl	#0xfffffff00887b850
0xfffffff0088b7a40: 28035fb8  ldur	w8, [x25, #-0x10]
0xfffffff0088b7a44: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b7a48: fa5f00a9  stp	x26, x23, [sp]
0xfffffff0088b7a4c: 8049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b7a50: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b7a54: 818affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b7a58: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b7a5c: 02008052  mov	w2, #0
0xfffffff0088b7a60: 634dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b7a64: 632c1091  add	x3, x3, #0x40b
0xfffffff0088b7a68: b2ede997  bl	#0xfffffff008333130
0xfffffff0088b7a6c: 881f0012  and	w8, w28, #0xff
0xfffffff0088b7a70: 10050051  sub	w16, w8, #1
0xfffffff0088b7a74: 1f160071  cmp	w16, #5
0xfffffff0088b7a78: 28070054  b.hi	#0xfffffff0088b7b5c
0xfffffff0088b7a7c: 1f1600f1  cmp	x16, #5
0xfffffff0088b7a80: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff0088b7a84: 11000090  adrp	x17, #0xfffffff0088b7000
0xfffffff0088b7a88: 31323b91  add	x17, x17, #0xecc
0xfffffff0088b7a8c: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff0088b7a90: 11000010  adr	x17, #0xfffffff0088b7a90
0xfffffff0088b7a94: 3002108b  add	x16, x17, x16
0xfffffff0088b7a98: 00021fd6  br	x16
0xfffffff0088b7a9c: 9f2403d5  bti	j
0xfffffff0088b7aa0: a13240b9  ldr	w1, [x21, #0x30]
0xfffffff0088b7aa4: 21431fb8  stur	w1, [x25, #-0xc]
0xfffffff0088b7aa8: e00314aa  mov	x0, x20
0xfffffff0088b7aac: d1ecff97  bl	#0xfffffff0088b2df0
0xfffffff0088b7ab0: 60180035  cbnz	w0, #0xfffffff0088b7dbc
0xfffffff0088b7ab4: a0088052  mov	w0, #0x45
0xfffffff0088b7ab8: e1008052  mov	w1, #7
0xfffffff0088b7abc: 450fff97  bl	#0xfffffff00887b7d0
0xfffffff0088b7ac0: 200d0034  cbz	w0, #0xfffffff0088b7c64
0xfffffff0088b7ac4: a0088052  mov	w0, #0x45
0xfffffff0088b7ac8: 540fff97  bl	#0xfffffff00887b818
