; Candidate 6998
; ADRP+ADD at VM 0xfffffff00884f6e8 (fileoff 0x184b6e8): page=0x1fe99a000 add_imm=0xe80

0xfffffff00884f668: 81008052  mov	w1, #4
0xfffffff00884f66c: 04008012  mov	w4, #-1
0xfffffff00884f670: 050080d2  mov	x5, #0
0xfffffff00884f674: 24bae497  bl	#0xfffffff00817df04
0xfffffff00884f678: c1feff17  b	#0xfffffff00884f17c
0xfffffff00884f67c: cc920194  bl	#0xfffffff0088b41ac
0xfffffff00884f680: f70300aa  mov	x23, x0
0xfffffff00884f684: 98008052  mov	w24, #4
0xfffffff00884f688: 80008052  mov	w0, #4
0xfffffff00884f68c: 71b00094  bl	#0xfffffff00887b850
0xfffffff00884f690: e80316aa  mov	x8, x22
0xfffffff00884f694: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00884f698: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff00884f69c: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff00884f6a0: f82307a9  stp	x24, x8, [sp, #0x70]
0xfffffff00884f6a4: eb5706a9  stp	x11, x21, [sp, #0x60]
0xfffffff00884f6a8: ea6705a9  stp	x10, x25, [sp, #0x50]
0xfffffff00884f6ac: e95304a9  stp	x9, x20, [sp, #0x40]
0xfffffff00884f6b0: 084effb0  adrp	x8, #0xfffffff007210000
0xfffffff00884f6b4: 08b92791  add	x8, x8, #0x9ee
0xfffffff00884f6b8: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff00884f6bc: 683f8052  mov	w8, #0x1fb
0xfffffff00884f6c0: a94efff0  adrp	x9, #0xfffffff007226000
0xfffffff00884f6c4: 29b11491  add	x9, x9, #0x52c
0xfffffff00884f6c8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00884f6cc: c84eff90  adrp	x8, #0xfffffff007227000
0xfffffff00884f6d0: 08811191  add	x8, x8, #0x460
0xfffffff00884f6d4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00884f6d8: e80d8052  mov	w8, #0x6f
0xfffffff00884f6dc: 0350fff0  adrp	x3, #0xfffffff007252000
0xfffffff00884f6e0: 63e41d91  add	x3, x3, #0x779
0xfffffff00884f6e4: f72300a9  stp	x23, x8, [sp]
0xfffffff00884f6e8: c04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00884f6ec: 00003a91  add	x0, x0, #0xe80
0xfffffff00884f6f0: c18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00884f6f4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00884f6f8: 02008052  mov	w2, #0
0xfffffff00884f6fc: 8d8eeb97  bl	#0xfffffff008333130
0xfffffff00884f700: 9afeff17  b	#0xfffffff00884f168
0xfffffff00884f704: 7f2303d5  pacibsp	
0xfffffff00884f708: ffc303d1  sub	sp, sp, #0xf0
0xfffffff00884f70c: fa670aa9  stp	x26, x25, [sp, #0xa0]
0xfffffff00884f710: f85f0ba9  stp	x24, x23, [sp, #0xb0]
0xfffffff00884f714: f6570ca9  stp	x22, x21, [sp, #0xc0]
0xfffffff00884f718: f44f0da9  stp	x20, x19, [sp, #0xd0]
0xfffffff00884f71c: fd7b0ea9  stp	x29, x30, [sp, #0xe0]
0xfffffff00884f720: fd830391  add	x29, sp, #0xe0
0xfffffff00884f724: f50302aa  mov	x21, x2
0xfffffff00884f728: f40301aa  mov	x20, x1
0xfffffff00884f72c: f30300aa  mov	x19, x0
0xfffffff00884f730: bf7f3ba9  stp	xzr, xzr, [x29, #-0x50]
0xfffffff00884f734: bf831af8  stur	xzr, [x29, #-0x58]
0xfffffff00884f738: e00d8052  mov	w0, #0x6f
0xfffffff00884f73c: e1008052  mov	w1, #7
0xfffffff00884f740: 24b00094  bl	#0xfffffff00887b7d0
0xfffffff00884f744: e0020034  cbz	w0, #0xfffffff00884f7a0
0xfffffff00884f748: e00d8052  mov	w0, #0x6f
0xfffffff00884f74c: 33b00094  bl	#0xfffffff00887b818
0xfffffff00884f750: f70300aa  mov	x23, x0
0xfffffff00884f754: 96920194  bl	#0xfffffff0088b41ac
0xfffffff00884f758: f60300aa  mov	x22, x0
0xfffffff00884f75c: e0008052  mov	w0, #7
0xfffffff00884f760: 3cb00094  bl	#0xfffffff00887b850
0xfffffff00884f764: 37020034  cbz	w23, #0xfffffff00884f7a8
