; Candidate 9218
; ADRP+ADD at VM 0xfffffff008a0d7b8 (fileoff 0x1a097b8): page=0x1fe88c000 add_imm=0xe40

0xfffffff008a0d738: 6f59e397  bl	#0xfffffff0082e3cf4
0xfffffff008a0d73c: 000200b4  cbz	x0, #0xfffffff008a0d77c
0xfffffff008a0d740: 100040f9  ldr	x16, [x0]
0xfffffff008a0d744: f10300aa  mov	x17, x0
0xfffffff008a0d748: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d74c: 301ac1da  autda	x16, x17
0xfffffff008a0d750: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff008a0d754: e90310aa  mov	x9, x16
0xfffffff008a0d758: 01008052  mov	w1, #0
0xfffffff008a0d75c: 42008052  mov	w2, #2
0xfffffff008a0d760: f10309aa  mov	x17, x9
0xfffffff008a0d764: f1f2f5f2  movk	x17, #0xaf97, lsl #48
0xfffffff008a0d768: 11093fd7  blraa	x8, x17
0xfffffff008a0d76c: 800000b4  cbz	x0, #0xfffffff008a0d77c
0xfffffff008a0d770: 13008052  mov	w19, #0
0xfffffff008a0d774: 08004079  ldrh	w8, [x0]
0xfffffff008a0d778: a8020079  strh	w8, [x21]
0xfffffff008a0d77c: 900240f9  ldr	x16, [x20]
0xfffffff008a0d780: f10314aa  mov	x17, x20
0xfffffff008a0d784: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d788: 301ac1da  autda	x16, x17
0xfffffff008a0d78c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008a0d790: e90310aa  mov	x9, x16
0xfffffff008a0d794: e00314aa  mov	x0, x20
0xfffffff008a0d798: f10309aa  mov	x17, x9
0xfffffff008a0d79c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008a0d7a0: 11093fd7  blraa	x8, x17
0xfffffff008a0d7a4: e00313aa  mov	x0, x19
0xfffffff008a0d7a8: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff008a0d7ac: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff008a0d7b0: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff008a0d7b4: ff0f5fd6  retab	
0xfffffff008a0d7b8: 6044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a0d7bc: 00003991  add	x0, x0, #0xe40
0xfffffff008a0d7c0: e181ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a0d7c4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a0d7c8: 8344ffd0  adrp	x3, #0xfffffff00729f000
0xfffffff008a0d7cc: 63980c91  add	x3, x3, #0x326
0xfffffff008a0d7d0: 02028052  mov	w2, #0x10
0xfffffff008a0d7d4: 5796e497  bl	#0xfffffff008333130
0xfffffff008a0d7d8: 6044ffd0  adrp	x0, #0xfffffff00729b000
0xfffffff008a0d7dc: 005c1491  add	x0, x0, #0x517
0xfffffff008a0d7e0: 1026e597  bl	#0xfffffff008357020
0xfffffff008a0d7e4: f0ffff17  b	#0xfffffff008a0d7a4
0xfffffff008a0d7e8: 5f2403d5  bti	c
0xfffffff008a0d7ec: c25be317  b	#0xfffffff0082e46f4
0xfffffff008a0d7f0: 7f2303d5  pacibsp	
0xfffffff008a0d7f4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a0d7f8: fd030091  mov	x29, sp
0xfffffff008a0d7fc: 80c600b0  adrp	x0, #0xfffffff00a2de000
0xfffffff008a0d800: 00a02391  add	x0, x0, #0x8e8
0xfffffff008a0d804: 6144ffd0  adrp	x1, #0xfffffff00729b000
0xfffffff008a0d808: 21600f91  add	x1, x1, #0x3d8
0xfffffff008a0d80c: e281ffd0  adrp	x2, #0xfffffff007a4b000
0xfffffff008a0d810: 422446f9  ldr	x2, [x2, #0xc48]
0xfffffff008a0d814: 03038052  mov	w3, #0x18
0xfffffff008a0d818: c858e397  bl	#0xfffffff0082e3b38
0xfffffff008a0d81c: 1082fff0  adrp	x16, #0xfffffff007a50000
0xfffffff008a0d820: 10c20891  add	x16, x16, #0x230
0xfffffff008a0d824: 10420091  add	x16, x16, #0x10
0xfffffff008a0d828: f10300aa  mov	x17, x0
0xfffffff008a0d82c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a0d830: 300ac1da  pacda	x16, x17
0xfffffff008a0d834: 100000f9  str	x16, [x0]
