; Candidate 12663
; ADRP+ADD at VM 0xfffffff009109bc8 (fileoff 0x2105bc8): page=0x1fe368000 add_imm=0xd98

0xfffffff009109b48: 0a0e00b4  cbz	x10, #0xfffffff009109d08
0xfffffff009109b4c: ec030aaa  mov	x12, x10
0xfffffff009109b50: 6ba60291  add	x11, x19, #0xa9
0xfffffff009109b54: ed030aaa  mov	x13, x10
0xfffffff009109b58: 6e154039  ldrb	w14, [x11, #5]
0xfffffff009109b5c: df01086b  cmp	w14, w8
0xfffffff009109b60: a0000054  b.eq	#0xfffffff009109b74
0xfffffff009109b64: 6b290091  add	x11, x11, #0xa
0xfffffff009109b68: ad0500f1  subs	x13, x13, #1
0xfffffff009109b6c: 61ffff54  b.ne	#0xfffffff009109b58
0xfffffff009109b70: 0b0080d2  mov	x11, #0
0xfffffff009109b74: 6da60291  add	x13, x19, #0xa9
0xfffffff009109b78: ae1140b8  ldur	w14, [x13, #1]
0xfffffff009109b7c: df01096b  cmp	w14, w9
0xfffffff009109b80: a0000054  b.eq	#0xfffffff009109b94
0xfffffff009109b84: ad290091  add	x13, x13, #0xa
0xfffffff009109b88: 8c0500f1  subs	x12, x12, #1
0xfffffff009109b8c: 61ffff54  b.ne	#0xfffffff009109b78
0xfffffff009109b90: 0d0080d2  mov	x13, #0
0xfffffff009109b94: 7f010deb  cmp	x11, x13
0xfffffff009109b98: 410d0054  b.ne	#0xfffffff009109d40
0xfffffff009109b9c: 2b0b00b4  cbz	x11, #0xfffffff009109d00
0xfffffff009109ba0: 6a1140b8  ldur	w10, [x11, #1]
0xfffffff009109ba4: 5f01096b  cmp	w10, w9
0xfffffff009109ba8: 610d0054  b.ne	#0xfffffff009109d54
0xfffffff009109bac: 6a154039  ldrb	w10, [x11, #5]
0xfffffff009109bb0: 5f01086b  cmp	w10, w8
0xfffffff009109bb4: 210d0054  b.ne	#0xfffffff009109d58
0xfffffff009109bb8: 4a1bff90  adrp	x10, #0xfffffff007471000
0xfffffff009109bbc: 4a2d3391  add	x10, x10, #0xccb
0xfffffff009109bc0: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009109bc4: ea0300f9  str	x10, [sp]
0xfffffff009109bc8: 401bff90  adrp	x0, #0xfffffff007471000
0xfffffff009109bcc: 00603691  add	x0, x0, #0xd98
0xfffffff009109bd0: 36000014  b	#0xfffffff009109ca8
0xfffffff009109bd4: 880e4039  ldrb	w8, [x20, #3]
0xfffffff009109bd8: 6a4a45f9  ldr	x10, [x19, #0xa90]
0xfffffff009109bdc: 0a0100b4  cbz	x10, #0xfffffff009109bfc
0xfffffff009109be0: 69ca0291  add	x9, x19, #0xb2
0xfffffff009109be4: 2bc15f38  ldurb	w11, [x9, #-4]
0xfffffff009109be8: 7f01086b  cmp	w11, w8
0xfffffff009109bec: 80020054  b.eq	#0xfffffff009109c3c
0xfffffff009109bf0: 29290091  add	x9, x9, #0xa
0xfffffff009109bf4: 4a0500f1  subs	x10, x10, #1
0xfffffff009109bf8: 61ffff54  b.ne	#0xfffffff009109be4
0xfffffff009109bfc: 690f8052  mov	w9, #0x7b
0xfffffff009109c00: 4a1bff90  adrp	x10, #0xfffffff007471000
0xfffffff009109c04: 4a7d3091  add	x10, x10, #0xc1f
0xfffffff009109c08: eaa700a9  stp	x10, x9, [sp, #8]
0xfffffff009109c0c: e80300f9  str	x8, [sp]
0xfffffff009109c10: 401bff90  adrp	x0, #0xfffffff007471000
0xfffffff009109c14: 006c3891  add	x0, x0, #0xe1b
0xfffffff009109c18: 3d2ace97  bl	#0xfffffff00849450c
0xfffffff009109c1c: 890240f9  ldr	x9, [x20]
0xfffffff009109c20: 4a1bff90  adrp	x10, #0xfffffff007471000
0xfffffff009109c24: 4a2d3391  add	x10, x10, #0xccb
0xfffffff009109c28: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff009109c2c: ea0300f9  str	x10, [sp]
0xfffffff009109c30: 401bff90  adrp	x0, #0xfffffff007471000
0xfffffff009109c34: 00b43f91  add	x0, x0, #0xfed
0xfffffff009109c38: 1c000014  b	#0xfffffff009109ca8
0xfffffff009109c3c: 2a715f38  ldurb	w10, [x9, #-9]
0xfffffff009109c40: 8a030034  cbz	w10, #0xfffffff009109cb0
0xfffffff009109c44: 2ad15f38  ldurb	w10, [x9, #-3]
