; Candidate 5428
; ADRP+ADD at VM 0xfffffff0087f0314 (fileoff 0x17ec314): page=0x1fe9f9000 add_imm=0xe80

0xfffffff0087f0294: f30300aa  mov	x19, x0
0xfffffff0087f0298: 80008052  mov	w0, #4
0xfffffff0087f029c: 6d2d0294  bl	#0xfffffff00887b850
0xfffffff0087f02a0: d42e0034  cbz	w20, #0xfffffff0087f0878
0xfffffff0087f02a4: eac240b9  ldr	w10, [x23, #0xc0]
0xfffffff0087f02a8: e850ffd0  adrp	x8, #0xfffffff00720e000
0xfffffff0087f02ac: 08691291  add	x8, x8, #0x49a
0xfffffff0087f02b0: a9638052  mov	w9, #0x31d
0xfffffff0087f02b4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087f02b8: 2851ff90  adrp	x8, #0xfffffff007214000
0xfffffff0087f02bc: 08b53291  add	x8, x8, #0xcad
0xfffffff0087f02c0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f02c4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087f02c8: 68008052  mov	w8, #3
0xfffffff0087f02cc: 2051ff90  adrp	x0, #0xfffffff007214000
0xfffffff0087f02d0: 00f83691  add	x0, x0, #0xdbe
0xfffffff0087f02d4: f32300a9  stp	x19, x8, [sp]
0xfffffff0087f02d8: 621cd797  bl	#0xfffffff007db7460
0xfffffff0087f02dc: 7e010014  b	#0xfffffff0087f08d4
0xfffffff0087f02e0: b30f0394  bl	#0xfffffff0088b41ac
0xfffffff0087f02e4: f40300aa  mov	x20, x0
0xfffffff0087f02e8: e0008052  mov	w0, #7
0xfffffff0087f02ec: 592d0294  bl	#0xfffffff00887b850
0xfffffff0087f02f0: 68be46b9  ldr	w8, [x19, #0x6bc]
0xfffffff0087f02f4: 69c246b9  ldr	w9, [x19, #0x6c0]
0xfffffff0087f02f8: 6ac646b9  ldr	w10, [x19, #0x6c4]
0xfffffff0087f02fc: 6bca46b9  ldr	w11, [x19, #0x6c8]
0xfffffff0087f0300: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0087f0304: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087f0308: 080f8052  mov	w8, #0x78
0xfffffff0087f030c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087f0310: f40300f9  str	x20, [sp]
0xfffffff0087f0314: c04fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f0318: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f031c: c190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087f0320: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f0324: 6352fff0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f0328: 63142091  add	x3, x3, #0x805
0xfffffff0087f032c: 02008052  mov	w2, #0
0xfffffff0087f0330: 800bed97  bl	#0xfffffff008333130
0xfffffff0087f0334: 000f8052  mov	w0, #0x78
0xfffffff0087f0338: e1008052  mov	w1, #7
0xfffffff0087f033c: 252d0294  bl	#0xfffffff00887b7d0
0xfffffff0087f0340: e0040034  cbz	w0, #0xfffffff0087f03dc
0xfffffff0087f0344: 000f8052  mov	w0, #0x78
0xfffffff0087f0348: 342d0294  bl	#0xfffffff00887b818
0xfffffff0087f034c: f50300aa  mov	x21, x0
0xfffffff0087f0350: 970f0394  bl	#0xfffffff0088b41ac
0xfffffff0087f0354: f40300aa  mov	x20, x0
0xfffffff0087f0358: e0008052  mov	w0, #7
0xfffffff0087f035c: 3d2d0294  bl	#0xfffffff00887b850
0xfffffff0087f0360: 95010034  cbz	w21, #0xfffffff0087f0390
0xfffffff0087f0364: 68ce46b9  ldr	w8, [x19, #0x6cc]
0xfffffff0087f0368: 69d246b9  ldr	w9, [x19, #0x6d0]
0xfffffff0087f036c: 6ad646b9  ldr	w10, [x19, #0x6d4]
0xfffffff0087f0370: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff0087f0374: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f0378: 080f8052  mov	w8, #0x78
0xfffffff0087f037c: f42300a9  stp	x20, x8, [sp]
0xfffffff0087f0380: 2051ff90  adrp	x0, #0xfffffff007214000
0xfffffff0087f0384: 00943b91  add	x0, x0, #0xee5
0xfffffff0087f0388: 361cd797  bl	#0xfffffff007db7460
0xfffffff0087f038c: 14000014  b	#0xfffffff0087f03dc
0xfffffff0087f0390: 870f0394  bl	#0xfffffff0088b41ac
