; Candidate 7100
; ADRP+ADD at VM 0xfffffff0088577a0 (fileoff 0x18537a0): page=0x1fe992000 add_imm=0xe80

0xfffffff008857720: f60300f9  str	x22, [sp]
0xfffffff008857724: 804cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008857728: 00003a91  add	x0, x0, #0xe80
0xfffffff00885772c: 818dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008857730: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008857734: 02008052  mov	w2, #0
0xfffffff008857738: 7e6eeb97  bl	#0xfffffff008333130
0xfffffff00885773c: 16008052  mov	w22, #0
0xfffffff008857740: 9dfeff17  b	#0xfffffff0088571b4
0xfffffff008857744: 9a720194  bl	#0xfffffff0088b41ac
0xfffffff008857748: f70300aa  mov	x23, x0
0xfffffff00885774c: 80008052  mov	w0, #4
0xfffffff008857750: 40900094  bl	#0xfffffff00887b850
0xfffffff008857754: e80316aa  mov	x8, x22
0xfffffff008857758: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff00885775c: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008857760: 2b5b40b9  ldr	w11, [x25, #0x58]
0xfffffff008857764: f52306a9  stp	x21, x8, [sp, #0x60]
0xfffffff008857768: f92f05a9  stp	x25, x11, [sp, #0x50]
0xfffffff00885776c: f42b04a9  stp	x20, x10, [sp, #0x40]
0xfffffff008857770: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff008857774: e80f8152  mov	w8, #0x87f
0xfffffff008857778: 694efff0  adrp	x9, #0xfffffff007226000
0xfffffff00885777c: 29e12f91  add	x9, x9, #0xbf8
0xfffffff008857780: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008857784: 884eff90  adrp	x8, #0xfffffff007227000
0xfffffff008857788: 08811191  add	x8, x8, #0x460
0xfffffff00885778c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008857790: 880c8052  mov	w8, #0x64
0xfffffff008857794: e34fffb0  adrp	x3, #0xfffffff007254000
0xfffffff008857798: 632c0291  add	x3, x3, #0x8b
0xfffffff00885779c: f72300a9  stp	x23, x8, [sp]
0xfffffff0088577a0: 804cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088577a4: 00003a91  add	x0, x0, #0xe80
0xfffffff0088577a8: 818dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088577ac: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088577b0: 02008052  mov	w2, #0
0xfffffff0088577b4: 5f6eeb97  bl	#0xfffffff008333130
0xfffffff0088577b8: e00314aa  mov	x0, x20
0xfffffff0088577bc: e10315aa  mov	x1, x21
0xfffffff0088577c0: df021031  cmn	w22, #0x400
0xfffffff0088577c4: a1000054  b.ne	#0xfffffff0088577d8
0xfffffff0088577c8: 02008052  mov	w2, #0
0xfffffff0088577cc: 3c86fe97  bl	#0xfffffff0087f90bc
0xfffffff0088577d0: f67f8012  mov	w22, #-0x400
0xfffffff0088577d4: 78feff17  b	#0xfffffff0088571b4
0xfffffff0088577d8: 02008012  mov	w2, #-1
0xfffffff0088577dc: 3886fe97  bl	#0xfffffff0087f90bc
0xfffffff0088577e0: 75feff17  b	#0xfffffff0088571b4
0xfffffff0088577e4: 7f2303d5  pacibsp	
0xfffffff0088577e8: ff4303d1  sub	sp, sp, #0xd0
0xfffffff0088577ec: fa6708a9  stp	x26, x25, [sp, #0x80]
0xfffffff0088577f0: f85f09a9  stp	x24, x23, [sp, #0x90]
0xfffffff0088577f4: f6570aa9  stp	x22, x21, [sp, #0xa0]
0xfffffff0088577f8: f44f0ba9  stp	x20, x19, [sp, #0xb0]
0xfffffff0088577fc: fd7b0ca9  stp	x29, x30, [sp, #0xc0]
0xfffffff008857800: fd030391  add	x29, sp, #0xc0
0xfffffff008857804: f50302aa  mov	x21, x2
0xfffffff008857808: f40301aa  mov	x20, x1
0xfffffff00885780c: f30300aa  mov	x19, x0
0xfffffff008857810: 800c8052  mov	w0, #0x64
0xfffffff008857814: e1008052  mov	w1, #7
0xfffffff008857818: ee8f0094  bl	#0xfffffff00887b7d0
0xfffffff00885781c: e0020034  cbz	w0, #0xfffffff008857878
