; Candidate 6369
; ADRP+ADD at VM 0xfffffff008827988 (fileoff 0x1823988): page=0x1fe9c2000 add_imm=0xe80

0xfffffff008827908: e10316aa  mov	x1, x22
0xfffffff00882790c: ca200094  bl	#0xfffffff00882fc34
0xfffffff008827910: e00316aa  mov	x0, x22
0xfffffff008827914: e10314aa  mov	x1, x20
0xfffffff008827918: a3efff97  bl	#0xfffffff0088237a4
0xfffffff00882791c: f50300aa  mov	x21, x0
0xfffffff008827920: 20080035  cbnz	w0, #0xfffffff008827a24
0xfffffff008827924: 68721991  add	x8, x19, #0x65c
0xfffffff008827928: 000140fd  ldr	d0, [x8]
0xfffffff00882792c: 494eff90  adrp	x9, #0xfffffff0071ef000
0xfffffff008827930: 215940fd  ldr	d1, [x9, #0xb0]
0xfffffff008827934: 0084a10e  add	v0.2s, v0.2s, v1.2s
0xfffffff008827938: 000100fd  str	d0, [x8]
0xfffffff00882793c: 3a000014  b	#0xfffffff008827a24
0xfffffff008827940: 1b320294  bl	#0xfffffff0088b41ac
0xfffffff008827944: f50300aa  mov	x21, x0
0xfffffff008827948: 80008052  mov	w0, #4
0xfffffff00882794c: c14f0194  bl	#0xfffffff00887b850
0xfffffff008827950: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008827954: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008827958: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff00882795c: 0ac92f91  add	x10, x8, #0xbf2
0xfffffff008827960: 689f8052  mov	w8, #0x4fb
0xfffffff008827964: c94fffd0  adrp	x9, #0xfffffff007221000
0xfffffff008827968: 29a52f91  add	x9, x9, #0xbe9
0xfffffff00882796c: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff008827970: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff008827974: 08653291  add	x8, x8, #0xc99
0xfffffff008827978: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00882797c: e80a8052  mov	w8, #0x57
0xfffffff008827980: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008827984: f50300f9  str	x21, [sp]
0xfffffff008827988: 004effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00882798c: 00003a91  add	x0, x0, #0xe80
0xfffffff008827990: 018fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008827994: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008827998: 2351ff90  adrp	x3, #0xfffffff00724b000
0xfffffff00882799c: 632c3691  add	x3, x3, #0xd8b
0xfffffff0088279a0: 02008052  mov	w2, #0
0xfffffff0088279a4: e32dec97  bl	#0xfffffff008333130
0xfffffff0088279a8: 157d8012  mov	w21, #-0x3e9
0xfffffff0088279ac: 1e000014  b	#0xfffffff008827a24
0xfffffff0088279b0: ff310294  bl	#0xfffffff0088b41ac
0xfffffff0088279b4: f50300aa  mov	x21, x0
0xfffffff0088279b8: 80008052  mov	w0, #4
0xfffffff0088279bc: a54f0194  bl	#0xfffffff00887b850
0xfffffff0088279c0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088279c4: 695a46b9  ldr	w9, [x19, #0x658]
0xfffffff0088279c8: e9db04a9  stp	x9, x22, [sp, #0x48]
0xfffffff0088279cc: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088279d0: 484fffb0  adrp	x8, #0xfffffff007210000
0xfffffff0088279d4: 0ab92791  add	x10, x8, #0x9ee
0xfffffff0088279d8: c8a28052  mov	w8, #0x516
0xfffffff0088279dc: c94fffd0  adrp	x9, #0xfffffff007221000
0xfffffff0088279e0: 29a52f91  add	x9, x9, #0xbe9
0xfffffff0088279e4: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088279e8: c84fffd0  adrp	x8, #0xfffffff007221000
0xfffffff0088279ec: 08653291  add	x8, x8, #0xc99
0xfffffff0088279f0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088279f4: e80a8052  mov	w8, #0x57
0xfffffff0088279f8: 2351ff90  adrp	x3, #0xfffffff00724b000
0xfffffff0088279fc: 63043791  add	x3, x3, #0xdc1
0xfffffff008827a00: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008827a04: f50300f9  str	x21, [sp]
