; Candidate 3563
; ADRP+ADD at VM 0xfffffff008745e84 (fileoff 0x1741e84): page=0x1fe9ec000 add_imm=0xd90

0xfffffff008745e04: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008745e08: 11093fd7  blraa	x8, x17
0xfffffff008745e0c: 80048052  mov	w0, #0x24
0xfffffff008745e10: 006da572  movk	w0, #0x2b68, lsl #16
0xfffffff008745e14: 010080d2  mov	x1, #0
0xfffffff008745e18: 020080d2  mov	x2, #0
0xfffffff008745e1c: 030080d2  mov	x3, #0
0xfffffff008745e20: 040080d2  mov	x4, #0
0xfffffff008745e24: 050080d2  mov	x5, #0
0xfffffff008745e28: 37e0e897  bl	#0xfffffff00817df04
0xfffffff008745e2c: 0d030014  b	#0xfffffff008746a60
0xfffffff008745e30: 88578052  mov	w8, #0x2bc
0xfffffff008745e34: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008745e38: 18010032  orr	w24, w8, #1
0xfffffff008745e3c: 8850ffd0  adrp	x8, #0xfffffff007157000
0xfffffff008745e40: 08893791  add	x8, x8, #0xde2
0xfffffff008745e44: e86300a9  stp	x8, x24, [sp]
0xfffffff008745e48: 604fff90  adrp	x0, #0xfffffff007131000
0xfffffff008745e4c: 00403691  add	x0, x0, #0xd90
0xfffffff008745e50: c195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008745e54: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008745e58: c34fffb0  adrp	x3, #0xfffffff00713e000
0xfffffff008745e5c: 63580d91  add	x3, x3, #0x356
0xfffffff008745e60: 02008052  mov	w2, #0
0xfffffff008745e64: b3b4ef97  bl	#0xfffffff008333130
0xfffffff008745e68: f6020014  b	#0xfffffff008746a40
0xfffffff008745e6c: 88578052  mov	w8, #0x2bc
0xfffffff008745e70: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008745e74: 18010032  orr	w24, w8, #1
0xfffffff008745e78: 8850ffd0  adrp	x8, #0xfffffff007157000
0xfffffff008745e7c: 08893791  add	x8, x8, #0xde2
0xfffffff008745e80: e86300a9  stp	x8, x24, [sp]
0xfffffff008745e84: 604fff90  adrp	x0, #0xfffffff007131000
0xfffffff008745e88: 00403691  add	x0, x0, #0xd90
0xfffffff008745e8c: c195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008745e90: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008745e94: c34fffb0  adrp	x3, #0xfffffff00713e000
0xfffffff008745e98: 63d01191  add	x3, x3, #0x474
0xfffffff008745e9c: 02008052  mov	w2, #0
0xfffffff008745ea0: a4b4ef97  bl	#0xfffffff008333130
0xfffffff008745ea4: e7020014  b	#0xfffffff008746a40
0xfffffff008745ea8: 88578052  mov	w8, #0x2bc
0xfffffff008745eac: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008745eb0: 18010032  orr	w24, w8, #1
0xfffffff008745eb4: 8850ffd0  adrp	x8, #0xfffffff007157000
0xfffffff008745eb8: 08893791  add	x8, x8, #0xde2
0xfffffff008745ebc: e86300a9  stp	x8, x24, [sp]
0xfffffff008745ec0: 604fff90  adrp	x0, #0xfffffff007131000
0xfffffff008745ec4: 00403691  add	x0, x0, #0xd90
0xfffffff008745ec8: c195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008745ecc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008745ed0: c34fffb0  adrp	x3, #0xfffffff00713e000
0xfffffff008745ed4: 63e01491  add	x3, x3, #0x538
0xfffffff008745ed8: 02008052  mov	w2, #0
0xfffffff008745edc: 95b4ef97  bl	#0xfffffff008333130
0xfffffff008745ee0: d8020014  b	#0xfffffff008746a40
0xfffffff008745ee4: 88578052  mov	w8, #0x2bc
0xfffffff008745ee8: 0800bc72  movk	w8, #0xe000, lsl #16
0xfffffff008745eec: 18010032  orr	w24, w8, #1
0xfffffff008745ef0: 8850ffd0  adrp	x8, #0xfffffff007157000
0xfffffff008745ef4: 08893791  add	x8, x8, #0xde2
0xfffffff008745ef8: e86300a9  stp	x8, x24, [sp]
0xfffffff008745efc: 604fff90  adrp	x0, #0xfffffff007131000
0xfffffff008745f00: 00403691  add	x0, x0, #0xd90
