; Candidate 6037
; ADRP+ADD at VM 0xfffffff00881012c (fileoff 0x180c12c): page=0x1fe9d9000 add_imm=0xe80

0xfffffff0088100ac: c218ff97  bl	#0xfffffff0087d63b4
0xfffffff0088100b0: e00640f9  ldr	x0, [x23, #8]
0xfffffff0088100b4: 81422391  add	x1, x20, #0x8d0
0xfffffff0088100b8: 83c640b9  ldr	w3, [x20, #0xc4]
0xfffffff0088100bc: e20314aa  mov	x2, x20
0xfffffff0088100c0: 9417ff97  bl	#0xfffffff0087d5f10
0xfffffff0088100c4: e00640f9  ldr	x0, [x23, #8]
0xfffffff0088100c8: e10314aa  mov	x1, x20
0xfffffff0088100cc: e20315aa  mov	x2, x21
0xfffffff0088100d0: 7317ff97  bl	#0xfffffff0087d5e9c
0xfffffff0088100d4: c0020039  strb	w0, [x22]
0xfffffff0088100d8: e00640f9  ldr	x0, [x23, #8]
0xfffffff0088100dc: 81c640b9  ldr	w1, [x20, #0xc4]
0xfffffff0088100e0: a217ff97  bl	#0xfffffff0087d5f68
0xfffffff0088100e4: e80300aa  mov	x8, x0
0xfffffff0088100e8: 00008052  mov	w0, #0
0xfffffff0088100ec: c8de06b9  str	w8, [x22, #0x6dc]
0xfffffff0088100f0: 18000014  b	#0xfffffff008810150
0xfffffff0088100f4: 2e900294  bl	#0xfffffff0088b41ac
0xfffffff0088100f8: f40300aa  mov	x20, x0
0xfffffff0088100fc: 00018052  mov	w0, #8
0xfffffff008810100: d4ad0194  bl	#0xfffffff00887b850
0xfffffff008810104: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008810108: e96240b9  ldr	w9, [x23, #0x60]
0xfffffff00881010c: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008810110: 08618052  mov	w8, #0x308
0xfffffff008810114: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008810118: 6850ff90  adrp	x8, #0xfffffff00721c000
0xfffffff00881011c: 083d0e91  add	x8, x8, #0x38f
0xfffffff008810120: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008810124: 880e8052  mov	w8, #0x74
0xfffffff008810128: f42300a9  stp	x20, x8, [sp]
0xfffffff00881012c: c04effb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008810130: 00003a91  add	x0, x0, #0xe80
0xfffffff008810134: c18fff90  adrp	x1, #0xfffffff007a08000
0xfffffff008810138: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00881013c: a351fff0  adrp	x3, #0xfffffff007247000
0xfffffff008810140: 637c1791  add	x3, x3, #0x5df
0xfffffff008810144: 02008052  mov	w2, #0
0xfffffff008810148: fa8bec97  bl	#0xfffffff008333130
0xfffffff00881014c: 00008052  mov	w0, #0
0xfffffff008810150: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff008810154: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff008810158: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff00881015c: f85f45a9  ldp	x24, x23, [sp, #0x50]
0xfffffff008810160: ff430291  add	sp, sp, #0x90
0xfffffff008810164: ff0f5fd6  retab	
0xfffffff008810168: 7f2303d5  pacibsp	
0xfffffff00881016c: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008810170: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008810174: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008810178: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff00881017c: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008810180: fd430291  add	x29, sp, #0x90
0xfffffff008810184: f50302aa  mov	x21, x2
0xfffffff008810188: f30301aa  mov	x19, x1
0xfffffff00881018c: f40300aa  mov	x20, x0
0xfffffff008810190: 08008012  mov	w8, #-1
0xfffffff008810194: a8c31cb8  stur	w8, [x29, #-0x34]
0xfffffff008810198: 800200b4  cbz	x0, #0xfffffff0088101e8
0xfffffff00881019c: 730200b4  cbz	x19, #0xfffffff0088101e8
0xfffffff0088101a0: 550200b4  cbz	x21, #0xfffffff0088101e8
0xfffffff0088101a4: 88668b52  mov	w8, #0x5b34
0xfffffff0088101a8: 696a68b8  ldr	w9, [x19, x8]
