; Candidate 11338
; ADRP+ADD at VM 0xfffffff008ef3ef4 (fileoff 0x1eefef4): page=0x1fe517000 add_imm=0xd07

0xfffffff008ef3e74: 08078052  mov	w8, #0x38
0xfffffff008ef3e78: 680a00f9  str	x8, [x19, #0x10]
0xfffffff008ef3e7c: 05000014  b	#0xfffffff008ef3e90
0xfffffff008ef3e80: 08008052  mov	w8, #0
0xfffffff008ef3e84: 7f7e00a9  stp	xzr, xzr, [x19]
0xfffffff008ef3e88: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff008ef3e8c: 68620039  strb	w8, [x19, #0x18]
0xfffffff008ef3e90: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008ef3e94: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008ef3e98: ff430191  add	sp, sp, #0x50
0xfffffff008ef3e9c: ff0f5fd6  retab	
0xfffffff008ef3ea0: 7f2303d5  pacibsp	
0xfffffff008ef3ea4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef3ea8: fd030091  mov	x29, sp
0xfffffff008ef3eac: 1061ffb0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef3eb0: 10021f91  add	x16, x16, #0x7c0
0xfffffff008ef3eb4: 10420091  add	x16, x16, #0x10
0xfffffff008ef3eb8: f10300aa  mov	x17, x0
0xfffffff008ef3ebc: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef3ec0: 300ac1da  pacda	x16, x17
0xfffffff008ef3ec4: 100000f9  str	x16, [x0]
0xfffffff008ef3ec8: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef3ecc: 480100b5  cbnz	x8, #0xfffffff008ef3ef4
0xfffffff008ef3ed0: e10300aa  mov	x1, x0
0xfffffff008ef3ed4: 0061ffd0  adrp	x0, #0xfffffff007b15000
0xfffffff008ef3ed8: 00002291  add	x0, x0, #0x880
0xfffffff008ef3edc: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef3ee0: ff2303d5  autibsp	
0xfffffff008ef3ee4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ef3ee8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ef3ef0
0xfffffff008ef3eec: 208e38d4  brk	#0xc471
0xfffffff008ef3ef0: 078ad117  b	#0xfffffff00835670c
0xfffffff008ef3ef4: a028fff0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef3ef8: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef3efc: 06f6ff97  bl	#0xfffffff008ef1714
0xfffffff008ef3f00: 7f2303d5  pacibsp	
0xfffffff008ef3f04: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef3f08: fd030091  mov	x29, sp
0xfffffff008ef3f0c: 1061ffb0  adrp	x16, #0xfffffff007b14000
0xfffffff008ef3f10: 10021f91  add	x16, x16, #0x7c0
0xfffffff008ef3f14: 10420091  add	x16, x16, #0x10
0xfffffff008ef3f18: f10300aa  mov	x17, x0
0xfffffff008ef3f1c: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef3f20: 300ac1da  pacda	x16, x17
0xfffffff008ef3f24: 100000f9  str	x16, [x0]
0xfffffff008ef3f28: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef3f2c: 680000b5  cbnz	x8, #0xfffffff008ef3f38
0xfffffff008ef3f30: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef3f34: ff0f5fd6  retab	
0xfffffff008ef3f38: a028fff0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef3f3c: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef3f40: f5f5ff97  bl	#0xfffffff008ef1714
0xfffffff008ef3f44: 7f2303d5  pacibsp	
0xfffffff008ef3f48: ff4301d1  sub	sp, sp, #0x50
0xfffffff008ef3f4c: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008ef3f50: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008ef3f54: fd030191  add	x29, sp, #0x40
0xfffffff008ef3f58: e90301aa  mov	x9, x1
0xfffffff008ef3f5c: f40300aa  mov	x20, x0
0xfffffff008ef3f60: f30308aa  mov	x19, x8
0xfffffff008ef3f64: ff1300f9  str	xzr, [sp, #0x20]
0xfffffff008ef3f68: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008ef3f6c: e00300ad  stp	q0, q0, [sp]
0xfffffff008ef3f70: 010841a9  ldp	x1, x2, [x0, #0x10]
