; Candidate 14002
; ADRP+ADD at VM 0xfffffff00969bd08 (fileoff 0x2697d08): page=0x1fe5a3000 add_imm=0xde0

0xfffffff00969bc88: 10023f91  add	x16, x16, #0xfc0
0xfffffff00969bc8c: 10420091  add	x16, x16, #0x10
0xfffffff00969bc90: f10300aa  mov	x17, x0
0xfffffff00969bc94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00969bc98: 300ac1da  pacda	x16, x17
0xfffffff00969bc9c: 100000f9  str	x16, [x0]
0xfffffff00969bca0: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00969bca4: ff0f5fd6  retab	
0xfffffff00969bca8: 5f2403d5  bti	c
0xfffffff00969bcac: 282eb117  b	#0xfffffff0082e754c
0xfffffff00969bcb0: 5f2403d5  bti	c
0xfffffff00969bcb4: 262eb117  b	#0xfffffff0082e754c
0xfffffff00969bcb8: 7f2303d5  pacibsp	
0xfffffff00969bcbc: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00969bcc0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00969bcc4: fd430091  add	x29, sp, #0x10
0xfffffff00969bcc8: f30300aa  mov	x19, x0
0xfffffff00969bccc: 202eb197  bl	#0xfffffff0082e754c
0xfffffff00969bcd0: 002dfff0  adrp	x0, #0xfffffff007c3e000
0xfffffff00969bcd4: 00803791  add	x0, x0, #0xde0
0xfffffff00969bcd8: e10313aa  mov	x1, x19
0xfffffff00969bcdc: 02068052  mov	w2, #0x30
0xfffffff00969bce0: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00969bce4: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00969bce8: ff2303d5  autibsp	
0xfffffff00969bcec: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00969bcf0: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00969bcf8
0xfffffff00969bcf4: 208e38d4  brk	#0xc471
0xfffffff00969bcf8: 692eb117  b	#0xfffffff0082e769c
0xfffffff00969bcfc: 5f2403d5  bti	c
0xfffffff00969bd00: e20301aa  mov	x2, x1
0xfffffff00969bd04: e10300aa  mov	x1, x0
0xfffffff00969bd08: 002dfff0  adrp	x0, #0xfffffff007c3e000
0xfffffff00969bd0c: 00803791  add	x0, x0, #0xde0
0xfffffff00969bd10: 632eb117  b	#0xfffffff0082e769c
0xfffffff00969bd14: 5f2403d5  bti	c
0xfffffff00969bd18: 606700f0  adrp	x0, #0xfffffff00a38a000
0xfffffff00969bd1c: 00203791  add	x0, x0, #0xdc8
0xfffffff00969bd20: c0035fd6  ret	
0xfffffff00969bd24: 7f2303d5  pacibsp	
0xfffffff00969bd28: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00969bd2c: fd030091  mov	x29, sp
0xfffffff00969bd30: 81f7feb0  adrp	x1, #0xfffffff00758c000
0xfffffff00969bd34: 21cc3e91  add	x1, x1, #0xfb3
0xfffffff00969bd38: 626700f0  adrp	x2, #0xfffffff00a38a000
0xfffffff00969bd3c: 42803691  add	x2, x2, #0xda0
0xfffffff00969bd40: 03068052  mov	w3, #0x30
0xfffffff00969bd44: 7d1fb197  bl	#0xfffffff0082e3b38
0xfffffff00969bd48: f02bffb0  adrp	x16, #0xfffffff007c18000
0xfffffff00969bd4c: 10420291  add	x16, x16, #0x90
0xfffffff00969bd50: 10420091  add	x16, x16, #0x10
0xfffffff00969bd54: f10300aa  mov	x17, x0
0xfffffff00969bd58: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00969bd5c: 300ac1da  pacda	x16, x17
0xfffffff00969bd60: 100000f9  str	x16, [x0]
0xfffffff00969bd64: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00969bd68: ff0f5fd6  retab	
0xfffffff00969bd6c: 7f2303d5  pacibsp	
0xfffffff00969bd70: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00969bd74: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00969bd78: fd430091  add	x29, sp, #0x10
0xfffffff00969bd7c: 002dfff0  adrp	x0, #0xfffffff007c3e000
0xfffffff00969bd80: 00803791  add	x0, x0, #0xde0
0xfffffff00969bd84: 01068052  mov	w1, #0x30
