; Candidate 13589
; ADRP+ADD at VM 0xfffffff0093acfe4 (fileoff 0x23a8fe4): page=0x1fe156000 add_imm=0xd20

0xfffffff0093acf64: fa6741a9  ldp	x26, x25, [sp, #0x10]
0xfffffff0093acf68: fc6fc6a8  ldp	x28, x27, [sp], #0x60
0xfffffff0093acf6c: ff0f5fd6  retab	
0xfffffff0093acf70: a07e0090  adrp	x0, #0xfffffff00a380000
0xfffffff0093acf74: 00602b91  add	x0, x0, #0xad8
0xfffffff0093acf78: 78debc97  bl	#0xfffffff0082e4958
0xfffffff0093acf7c: e05b00a9  stp	x0, x22, [sp]
0xfffffff0093acf80: a00afff0  adrp	x0, #0xfffffff007503000
0xfffffff0093acf84: 006c2591  add	x0, x0, #0x95b
0xfffffff0093acf88: 26a8be97  bl	#0xfffffff008357020
0xfffffff0093acf8c: ebffff17  b	#0xfffffff0093acf38
0xfffffff0093acf90: f50300aa  mov	x21, x0
0xfffffff0093acf94: a07e0090  adrp	x0, #0xfffffff00a380000
0xfffffff0093acf98: 00602b91  add	x0, x0, #0xad8
0xfffffff0093acf9c: 6fdebc97  bl	#0xfffffff0082e4958
0xfffffff0093acfa0: e8bf4039  ldrb	w8, [sp, #0x2f]
0xfffffff0093acfa4: e9bb4039  ldrb	w9, [sp, #0x2e]
0xfffffff0093acfa8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0093acfac: f6d700a9  stp	x22, x21, [sp, #8]
0xfffffff0093acfb0: e00300f9  str	x0, [sp]
0xfffffff0093acfb4: c00aff90  adrp	x0, #0xfffffff007504000
0xfffffff0093acfb8: 00bc0291  add	x0, x0, #0xaf
0xfffffff0093acfbc: 08000014  b	#0xfffffff0093acfdc
0xfffffff0093acfc0: a07e0090  adrp	x0, #0xfffffff00a380000
0xfffffff0093acfc4: 00602b91  add	x0, x0, #0xad8
0xfffffff0093acfc8: 64debc97  bl	#0xfffffff0082e4958
0xfffffff0093acfcc: f6df00a9  stp	x22, x23, [sp, #8]
0xfffffff0093acfd0: e00300f9  str	x0, [sp]
0xfffffff0093acfd4: c00aff90  adrp	x0, #0xfffffff007504000
0xfffffff0093acfd8: 00680491  add	x0, x0, #0x11a
0xfffffff0093acfdc: 11a8be97  bl	#0xfffffff008357020
0xfffffff0093acfe0: c8ffff17  b	#0xfffffff0093acf00
0xfffffff0093acfe4: a00affd0  adrp	x0, #0xfffffff007502000
0xfffffff0093acfe8: 00803491  add	x0, x0, #0xd20
0xfffffff0093acfec: e140ffd0  adrp	x1, #0xfffffff007bca000
0xfffffff0093acff0: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093acff4: c30aff90  adrp	x3, #0xfffffff007504000
0xfffffff0093acff8: 63482891  add	x3, x3, #0xa12
0xfffffff0093acffc: 02028052  mov	w2, #0x10
0xfffffff0093ad000: 4c18be97  bl	#0xfffffff008333130
0xfffffff0093ad004: cdffff17  b	#0xfffffff0093acf38
0xfffffff0093ad008: a00affb0  adrp	x0, #0xfffffff007502000
0xfffffff0093ad00c: 00803491  add	x0, x0, #0xd20
0xfffffff0093ad010: e140ffb0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ad014: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ad018: a30afff0  adrp	x3, #0xfffffff007504000
0xfffffff0093ad01c: 638c2891  add	x3, x3, #0xa23
0xfffffff0093ad020: 02028052  mov	w2, #0x10
0xfffffff0093ad024: 4318be97  bl	#0xfffffff008333130
0xfffffff0093ad028: c4ffff17  b	#0xfffffff0093acf38
0xfffffff0093ad02c: a00affb0  adrp	x0, #0xfffffff007502000
0xfffffff0093ad030: 00803491  add	x0, x0, #0xd20
0xfffffff0093ad034: e140ffb0  adrp	x1, #0xfffffff007bca000
0xfffffff0093ad038: 217443f9  ldr	x1, [x1, #0x6e8]
0xfffffff0093ad03c: a30afff0  adrp	x3, #0xfffffff007504000
0xfffffff0093ad040: 63c02891  add	x3, x3, #0xa30
0xfffffff0093ad044: 02028052  mov	w2, #0x10
0xfffffff0093ad048: 3a18be97  bl	#0xfffffff008333130
0xfffffff0093ad04c: f70316aa  mov	x23, x22
0xfffffff0093ad050: 37b4f9f2  movk	x23, #0xcda1, lsl #48
0xfffffff0093ad054: 82ffff17  b	#0xfffffff0093ace5c
0xfffffff0093ad058: 7dc3a697  bl	#0xfffffff007d5de4c
0xfffffff0093ad05c: 7f2303d5  pacibsp	
0xfffffff0093ad060: ff4301d1  sub	sp, sp, #0x50
