; Candidate 16238
; ADRP+ADD at VM 0xfffffff009e33360 (fileoff 0x2e2f360): page=0x5a0000 add_imm=0xe30

0xfffffff009e332e0: e00314aa  mov	x0, x20
0xfffffff009e332e4: e20313aa  mov	x2, x19
0xfffffff009e332e8: 23008052  mov	w3, #1
0xfffffff009e332ec: f10309aa  mov	x17, x9
0xfffffff009e332f0: 31fce3f2  movk	x17, #0x1fe1, lsl #48
0xfffffff009e332f4: 11093fd7  blraa	x8, x17
0xfffffff009e332f8: 02000014  b	#0xfffffff009e33300
0xfffffff009e332fc: 97220091  add	x23, x20, #8
0xfffffff009e33300: 28008052  mov	w8, #1
0xfffffff009e33304: c8060039  strb	w8, [x22, #1]
0xfffffff009e33308: e00240f9  ldr	x0, [x23]
0xfffffff009e3330c: 831240f9  ldr	x3, [x20, #0x20]
0xfffffff009e33310: 21008052  mov	w1, #1
0xfffffff009e33314: e20316aa  mov	x2, x22
0xfffffff009e33318: a3d80294  bl	#0xfffffff009ee95a4
0xfffffff009e3331c: 00030034  cbz	w0, #0xfffffff009e3337c
0xfffffff009e33320: f70300aa  mov	x23, x0
0xfffffff009e33324: 68cffef0  adrp	x8, #0xfffffff007822000
0xfffffff009e33328: 08dd2591  add	x8, x8, #0x977
0xfffffff009e3332c: 69cffef0  adrp	x9, #0xfffffff007822000
0xfffffff009e33330: 29c12591  add	x9, x9, #0x970
0xfffffff009e33334: bf060071  cmp	w21, #1
0xfffffff009e33338: 2801889a  csel	x8, x9, x8, eq
0xfffffff009e3333c: e8df01a9  stp	x8, x23, [sp, #0x18]
0xfffffff009e33340: 890b8052  mov	w9, #0x5c
0xfffffff009e33344: 6acffef0  adrp	x10, #0xfffffff007822000
0xfffffff009e33348: 4aa52591  add	x10, x10, #0x969
0xfffffff009e3334c: ea2700a9  stp	x10, x9, [sp]
0xfffffff009e33350: f30b00f9  str	x19, [sp, #0x10]
0xfffffff009e33354: 60cffef0  adrp	x0, #0xfffffff007822000
0xfffffff009e33358: 00ec2491  add	x0, x0, #0x93b
0xfffffff009e3335c: 5a310194  bl	#0xfffffff009e7f8c4
0xfffffff009e33360: 002d0090  adrp	x0, #0xfffffff00a3d3000
0xfffffff009e33364: 00c03891  add	x0, x0, #0xe30
0xfffffff009e33368: 01ab8752  mov	w1, #0x3d58
0xfffffff009e3336c: c101a072  movk	w1, #0xe, lsl #16
0xfffffff009e33370: e20317aa  mov	x2, x23
0xfffffff009e33374: effbff97  bl	#0xfffffff009e32330
0xfffffff009e33378: 0c000014  b	#0xfffffff009e333a8
0xfffffff009e3337c: bf060071  cmp	w21, #1
0xfffffff009e33380: 21010054  b.ne	#0xfffffff009e333a4
0xfffffff009e33384: 17008052  mov	w23, #0
0xfffffff009e33388: 880e40f9  ldr	x8, [x20, #0x18]
0xfffffff009e3338c: c90640f9  ldr	x9, [x22, #8]
0xfffffff009e33390: 2a050091  add	x10, x9, #1
0xfffffff009e33394: 1f010aeb  cmp	x8, x10
0xfffffff009e33398: 0885899a  csinc	x8, x8, x9, hi
0xfffffff009e3339c: 880e00f9  str	x8, [x20, #0x18]
0xfffffff009e333a0: 02000014  b	#0xfffffff009e333a8
0xfffffff009e333a4: 17008052  mov	w23, #0
0xfffffff009e333a8: e00317aa  mov	x0, x23
0xfffffff009e333ac: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009e333b0: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009e333b4: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009e333b8: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009e333bc: ffc30191  add	sp, sp, #0x70
0xfffffff009e333c0: ff0f5fd6  retab	
0xfffffff009e333c4: 7f2303d5  pacibsp	
0xfffffff009e333c8: ff8303d1  sub	sp, sp, #0xe0
0xfffffff009e333cc: f85f0aa9  stp	x24, x23, [sp, #0xa0]
0xfffffff009e333d0: f6570ba9  stp	x22, x21, [sp, #0xb0]
0xfffffff009e333d4: f44f0ca9  stp	x20, x19, [sp, #0xc0]
0xfffffff009e333d8: fd7b0da9  stp	x29, x30, [sp, #0xd0]
0xfffffff009e333dc: fd430391  add	x29, sp, #0xd0
