; Candidate 5246
; ADRP+ADD at VM 0xfffffff0087e1ae4 (fileoff 0x17ddae4): page=0x1fea31000 add_imm=0xe9e

0xfffffff0087e1a64: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087e1a68: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087e1a6c: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087e1a70: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0087e1a74: ff830291  add	sp, sp, #0xa0
0xfffffff0087e1a78: ff0f5fd6  retab	
0xfffffff0087e1a7c: 7f2303d5  pacibsp	
0xfffffff0087e1a80: ff8301d1  sub	sp, sp, #0x60
0xfffffff0087e1a84: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087e1a88: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff0087e1a8c: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff0087e1a90: fd430191  add	x29, sp, #0x50
0xfffffff0087e1a94: f30300aa  mov	x19, x0
0xfffffff0087e1a98: 600e8052  mov	w0, #0x73
0xfffffff0087e1a9c: c1008052  mov	w1, #6
0xfffffff0087e1aa0: 4c670294  bl	#0xfffffff00887b7d0
0xfffffff0087e1aa4: 60020034  cbz	w0, #0xfffffff0087e1af0
0xfffffff0087e1aa8: 600e8052  mov	w0, #0x73
0xfffffff0087e1aac: 5b670294  bl	#0xfffffff00887b818
0xfffffff0087e1ab0: f50300aa  mov	x21, x0
0xfffffff0087e1ab4: be490394  bl	#0xfffffff0088b41ac
0xfffffff0087e1ab8: f40300aa  mov	x20, x0
0xfffffff0087e1abc: c0008052  mov	w0, #6
0xfffffff0087e1ac0: 64670294  bl	#0xfffffff00887b850
0xfffffff0087e1ac4: 75050034  cbz	w21, #0xfffffff0087e1b70
0xfffffff0087e1ac8: 082e8052  mov	w8, #0x170
0xfffffff0087e1acc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0087e1ad0: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1ad4: 08f93a91  add	x8, x8, #0xebe
0xfffffff0087e1ad8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1adc: 680e8052  mov	w8, #0x73
0xfffffff0087e1ae0: f42300a9  stp	x20, x8, [sp]
0xfffffff0087e1ae4: 8051ffb0  adrp	x0, #0xfffffff007212000
0xfffffff0087e1ae8: 00783a91  add	x0, x0, #0xe9e
0xfffffff0087e1aec: 5d56d797  bl	#0xfffffff007db7460
0xfffffff0087e1af0: 330100b4  cbz	x19, #0xfffffff0087e1b14
0xfffffff0087e1af4: 600a40f9  ldr	x0, [x19, #0x10]
0xfffffff0087e1af8: 600000b4  cbz	x0, #0xfffffff0087e1b04
0xfffffff0087e1afc: ecd6ed97  bl	#0xfffffff0083576ac
0xfffffff0087e1b00: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff0087e1b04: 4091fff0  adrp	x0, #0xfffffff007a0c000
0xfffffff0087e1b08: 00603291  add	x0, x0, #0xc98
0xfffffff0087e1b0c: e10313aa  mov	x1, x19
0xfffffff0087e1b10: ffd2ed97  bl	#0xfffffff00835670c
0xfffffff0087e1b14: 600e8052  mov	w0, #0x73
0xfffffff0087e1b18: c1008052  mov	w1, #6
0xfffffff0087e1b1c: 2d670294  bl	#0xfffffff00887b7d0
0xfffffff0087e1b20: 80070034  cbz	w0, #0xfffffff0087e1c10
0xfffffff0087e1b24: 600e8052  mov	w0, #0x73
0xfffffff0087e1b28: 3c670294  bl	#0xfffffff00887b818
0xfffffff0087e1b2c: f40300aa  mov	x20, x0
0xfffffff0087e1b30: 9f490394  bl	#0xfffffff0088b41ac
0xfffffff0087e1b34: f30300aa  mov	x19, x0
0xfffffff0087e1b38: c0008052  mov	w0, #6
0xfffffff0087e1b3c: 45670294  bl	#0xfffffff00887b850
0xfffffff0087e1b40: 34040034  cbz	w20, #0xfffffff0087e1bc4
0xfffffff0087e1b44: c82f8052  mov	w8, #0x17e
0xfffffff0087e1b48: e87f02a9  stp	x8, xzr, [sp, #0x20]
0xfffffff0087e1b4c: 8851ffb0  adrp	x8, #0xfffffff007212000
0xfffffff0087e1b50: 08f93a91  add	x8, x8, #0xebe
0xfffffff0087e1b54: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087e1b58: 680e8052  mov	w8, #0x73
0xfffffff0087e1b5c: f32300a9  stp	x19, x8, [sp]
0xfffffff0087e1b60: 8051ffb0  adrp	x0, #0xfffffff007212000
