; Candidate 4556
; ADRP+ADD at VM 0xfffffff0087bb360 (fileoff 0x17b7360): page=0x1fe976000 add_imm=0xd90

0xfffffff0087bb2e0: 42010034  cbz	w2, #0xfffffff0087bb308
0xfffffff0087bb2e4: f30302aa  mov	x19, x2
0xfffffff0087bb2e8: f40301aa  mov	x20, x1
0xfffffff0087bb2ec: f50300aa  mov	x21, x0
0xfffffff0087bb2f0: 37008052  mov	w23, #1
0xfffffff0087bb2f4: 1701a072  movk	w23, #8, lsl #16
0xfffffff0087bb2f8: 082c40b9  ldr	w8, [x0, #0x2c]
0xfffffff0087bb2fc: a8000034  cbz	w8, #0xfffffff0087bb310
0xfffffff0087bb300: b82a40b9  ldr	w24, [x21, #0x28]
0xfffffff0087bb304: 21000014  b	#0xfffffff0087bb388
0xfffffff0087bb308: 16008052  mov	w22, #0
0xfffffff0087bb30c: 65000014  b	#0xfffffff0087bb4a0
0xfffffff0087bb310: 18008052  mov	w24, #0
0xfffffff0087bb314: bf2e00b9  str	wzr, [x21, #0x2c]
0xfffffff0087bb318: 89008052  mov	w9, #4
0xfffffff0087bb31c: ab2a41a9  ldp	x11, x10, [x21, #0x10]
0xfffffff0087bb320: 185f1853  lsl	w24, w24, #8
0xfffffff0087bb324: 7f010aeb  cmp	x11, x10
0xfffffff0087bb328: 02010054  b.hs	#0xfffffff0087bb348
0xfffffff0087bb32c: 08210011  add	w8, w8, #8
0xfffffff0087bb330: a82e00b9  str	w8, [x21, #0x2c]
0xfffffff0087bb334: 6c050091  add	x12, x11, #1
0xfffffff0087bb338: ac0a00f9  str	x12, [x21, #0x10]
0xfffffff0087bb33c: 6b014039  ldrb	w11, [x11]
0xfffffff0087bb340: 18030b2a  orr	w24, w24, w11
0xfffffff0087bb344: eb030caa  mov	x11, x12
0xfffffff0087bb348: 29050071  subs	w9, w9, #1
0xfffffff0087bb34c: a1feff54  b.ne	#0xfffffff0087bb320
0xfffffff0087bb350: a9a67cb9  ldr	w9, [x21, #0x3ca4]
0xfffffff0087bb354: ff02296a  bics	wzr, w23, w9
0xfffffff0087bb358: 61010054  b.ne	#0xfffffff0087bb384
0xfffffff0087bb35c: f82300a9  stp	x24, x8, [sp]
0xfffffff0087bb360: a04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bb364: 00403691  add	x0, x0, #0xd90
0xfffffff0087bb368: 0192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bb36c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bb370: 834cfff0  adrp	x3, #0xfffffff00714e000
0xfffffff0087bb374: 63500191  add	x3, x3, #0x54
0xfffffff0087bb378: 02008052  mov	w2, #0
0xfffffff0087bb37c: 6ddfed97  bl	#0xfffffff008333130
0xfffffff0087bb380: a82e40b9  ldr	w8, [x21, #0x2c]
0xfffffff0087bb384: b82a00b9  str	w24, [x21, #0x28]
0xfffffff0087bb388: 1f01136b  cmp	w8, w19
0xfffffff0087bb38c: a2040054  b.hs	#0xfffffff0087bb420
0xfffffff0087bb390: 09008052  mov	w9, #0
0xfffffff0087bb394: 16008052  mov	w22, #0
0xfffffff0087bb398: 0a048052  mov	w10, #0x20
0xfffffff0087bb39c: 4a01084b  sub	w10, w10, w8
0xfffffff0087bb3a0: bf2e00b9  str	wzr, [x21, #0x2c]
0xfffffff0087bb3a4: ad2e41a9  ldp	x13, x11, [x21, #0x10]
0xfffffff0087bb3a8: 8c008052  mov	w12, #4
0xfffffff0087bb3ac: d65e1853  lsl	w22, w22, #8
0xfffffff0087bb3b0: bf010beb  cmp	x13, x11
0xfffffff0087bb3b4: 02010054  b.hs	#0xfffffff0087bb3d4
0xfffffff0087bb3b8: 29210011  add	w9, w9, #8
0xfffffff0087bb3bc: a92e00b9  str	w9, [x21, #0x2c]
0xfffffff0087bb3c0: ae050091  add	x14, x13, #1
0xfffffff0087bb3c4: ae0a00f9  str	x14, [x21, #0x10]
0xfffffff0087bb3c8: ad014039  ldrb	w13, [x13]
0xfffffff0087bb3cc: d6020d2a  orr	w22, w22, w13
0xfffffff0087bb3d0: ed030eaa  mov	x13, x14
0xfffffff0087bb3d4: 8c050071  subs	w12, w12, #1
0xfffffff0087bb3d8: a1feff54  b.ne	#0xfffffff0087bb3ac
0xfffffff0087bb3dc: 7902084b  sub	w25, w19, w8
