; Candidate 6089
; ADRP+ADD at VM 0xfffffff008813c2c (fileoff 0x180fc2c): page=0x1fe9d6000 add_imm=0xe80

0xfffffff008813bac: 89868052  mov	w9, #0x434
0xfffffff008813bb0: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008813bb4: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813bb8: 086d2e91  add	x8, x8, #0xb9b
0xfffffff008813bbc: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008813bc0: 880e8052  mov	w8, #0x74
0xfffffff008813bc4: 4050fff0  adrp	x0, #0xfffffff00721e000
0xfffffff008813bc8: 009c0191  add	x0, x0, #0x67
0xfffffff008813bcc: defdff17  b	#0xfffffff008813344
0xfffffff008813bd0: 77810294  bl	#0xfffffff0088b41ac
0xfffffff008813bd4: f50300aa  mov	x21, x0
0xfffffff008813bd8: 80008052  mov	w0, #4
0xfffffff008813bdc: 1d9f0194  bl	#0xfffffff00887b850
0xfffffff008813be0: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008813be4: e96245b9  ldr	w9, [x23, #0x560]
0xfffffff008813be8: 2a028052  mov	w10, #0x11
0xfffffff008813bec: 4b008052  mov	w11, #2
0xfffffff008813bf0: eb2b05a9  stp	x11, x10, [sp, #0x50]
0xfffffff008813bf4: ea03142a  mov	w10, w20
0xfffffff008813bf8: ea2704a9  stp	x10, x9, [sp, #0x40]
0xfffffff008813bfc: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008813c00: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813c04: 08f93b91  add	x8, x8, #0xefe
0xfffffff008813c08: c9828052  mov	w9, #0x416
0xfffffff008813c0c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008813c10: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813c14: 086d2e91  add	x8, x8, #0xb9b
0xfffffff008813c18: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008813c1c: 880e8052  mov	w8, #0x74
0xfffffff008813c20: a351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff008813c24: 63cc0191  add	x3, x3, #0x73
0xfffffff008813c28: f52300a9  stp	x21, x8, [sp]
0xfffffff008813c2c: a04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008813c30: 00003a91  add	x0, x0, #0xe80
0xfffffff008813c34: a18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008813c38: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008813c3c: 02008052  mov	w2, #0
0xfffffff008813c40: 3c7dec97  bl	#0xfffffff008333130
0xfffffff008813c44: 7dfeff17  b	#0xfffffff008813638
0xfffffff008813c48: 59810294  bl	#0xfffffff0088b41ac
0xfffffff008813c4c: f40300aa  mov	x20, x0
0xfffffff008813c50: 80008052  mov	w0, #4
0xfffffff008813c54: ff9e0194  bl	#0xfffffff00887b850
0xfffffff008813c58: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff008813c5c: 090340b9  ldr	w9, [x24]
0xfffffff008813c60: aa6640b9  ldr	w10, [x21, #0x64]
0xfffffff008813c64: eb4a42b9  ldr	w11, [x23, #0x248]
0xfffffff008813c68: ea2f05a9  stp	x10, x11, [sp, #0x50]
0xfffffff008813c6c: ff2704a9  stp	xzr, x9, [sp, #0x40]
0xfffffff008813c70: f32303a9  stp	x19, x8, [sp, #0x30]
0xfffffff008813c74: 4850fff0  adrp	x8, #0xfffffff00721e000
0xfffffff008813c78: 08e50091  add	x8, x8, #0x39
0xfffffff008813c7c: 89858052  mov	w9, #0x42c
0xfffffff008813c80: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008813c84: 4850ffd0  adrp	x8, #0xfffffff00721d000
0xfffffff008813c88: 086d2e91  add	x8, x8, #0xb9b
0xfffffff008813c8c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008813c90: 880e8052  mov	w8, #0x74
0xfffffff008813c94: a351ffb0  adrp	x3, #0xfffffff007248000
0xfffffff008813c98: 63100491  add	x3, x3, #0x104
0xfffffff008813c9c: f42300a9  stp	x20, x8, [sp]
0xfffffff008813ca0: a04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008813ca4: 00003a91  add	x0, x0, #0xe80
0xfffffff008813ca8: a18fffb0  adrp	x1, #0xfffffff007a08000
