; Candidate 1030
; ADRP+ADD at VM 0xfffffff00819a01c (fileoff 0x119601c): page=0x1feee8000 add_imm=0xe31

0xfffffff008199f9c: 0d000014  b	#0xfffffff008199fd0
0xfffffff008199fa0: e00316aa  mov	x0, x22
0xfffffff008199fa4: 4144f197  bl	#0xfffffff007deb0a8
0xfffffff008199fa8: f60000b4  cbz	x22, #0xfffffff008199fc4
0xfffffff008199fac: e80314aa  mov	x8, x20
0xfffffff008199fb0: 6808fdf2  movk	x8, #0xe843, lsl #48
0xfffffff008199fb4: f10316aa  mov	x17, x22
0xfffffff008199fb8: f00308aa  mov	x16, x8
0xfffffff008199fbc: 110ac1da  pacda	x17, x16
0xfffffff008199fc0: 02000014  b	#0xfffffff008199fc8
0xfffffff008199fc4: 110080d2  mov	x17, #0
0xfffffff008199fc8: 910200f9  str	x17, [x20]
0xfffffff008199fcc: b5021f32  orr	w21, w21, #2
0xfffffff008199fd0: e00315aa  mov	x0, x21
0xfffffff008199fd4: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff008199fd8: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff008199fdc: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff008199fe0: ff030191  add	sp, sp, #0x40
0xfffffff008199fe4: ff0f5fd6  retab	
0xfffffff008199fe8: 7f2303d5  pacibsp	
0xfffffff008199fec: ff0301d1  sub	sp, sp, #0x40
0xfffffff008199ff0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008199ff4: fdc30091  add	x29, sp, #0x30
0xfffffff008199ff8: 08008139  ldrsb	x8, [x0, #0x40]
0xfffffff008199ffc: 4977ffb0  adrp	x9, #0xfffffff007082000
0xfffffff00819a000: 291d3291  add	x9, x9, #0xc87
0xfffffff00819a004: 6ac08152  mov	w10, #0xe03
0xfffffff00819a008: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff00819a00c: 4977ff90  adrp	x9, #0xfffffff007082000
0xfffffff00819a010: 29213991  add	x9, x9, #0xe48
0xfffffff00819a014: e00701a9  stp	x0, x1, [sp, #0x10]
0xfffffff00819a018: e92300a9  stp	x9, x8, [sp]
0xfffffff00819a01c: 4077ff90  adrp	x0, #0xfffffff007082000
0xfffffff00819a020: 00c43891  add	x0, x0, #0xe31
0xfffffff00819a024: 3ae90b94  bl	#0xfffffff00849450c
0xfffffff00819a028: 7f2303d5  pacibsp	
0xfffffff00819a02c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00819a030: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00819a034: fd430091  add	x29, sp, #0x10
0xfffffff00819a038: e80300aa  mov	x8, x0
0xfffffff00819a03c: 100d43f8  ldr	x16, [x8, #0x30]!
0xfffffff00819a040: 092540b9  ldr	w9, [x8, #0x24]
0xfffffff00819a044: 8903f837  tbnz	w9, #0x1f, #0xfffffff00819a0b4
0xfffffff00819a048: 700500b4  cbz	x16, #0xfffffff00819a0f4
0xfffffff00819a04c: f10308aa  mov	x17, x8
0xfffffff00819a050: 7108fdf2  movk	x17, #0xe843, lsl #48
0xfffffff00819a054: 301ac1da  autda	x16, x17
0xfffffff00819a058: f10310aa  mov	x17, x16
0xfffffff00819a05c: f147c1da  xpacd	x17
0xfffffff00819a060: 1f0211eb  cmp	x16, x17
0xfffffff00819a064: 40000054  b.eq	#0xfffffff00819a06c
0xfffffff00819a068: 408e38d4  brk	#0xc472
0xfffffff00819a06c: 500400b4  cbz	x16, #0xfffffff00819a0f4
0xfffffff00819a070: 1f0100f9  str	xzr, [x8]
0xfffffff00819a074: 00420691  add	x0, x16, #0x190
0xfffffff00819a078: 08008012  mov	w8, #-1
0xfffffff00819a07c: 080068b8  ldaddl	w8, w8, [x0]
0xfffffff00819a080: 08040034  cbz	w8, #0xfffffff00819a100
0xfffffff00819a084: 1f050071  cmp	w8, #1
0xfffffff00819a088: 61030054  b.ne	#0xfffffff00819a0f4
0xfffffff00819a08c: 08420691  add	x8, x16, #0x190
0xfffffff00819a090: 1fc1bfb8  ldapr	wzr, [x8]
0xfffffff00819a094: e00310aa  mov	x0, x16
0xfffffff00819a098: fd7b41a9  ldp	x29, x30, [sp, #0x10]
