; Candidate 4649
; ADRP+ADD at VM 0xfffffff0087bf574 (fileoff 0x17bb574): page=0x1fe972000 add_imm=0xd90

0xfffffff0087bf4f4: 01ffff54  b.ne	#0xfffffff0087bf4d4
0xfffffff0087bf4f8: e81b40f9  ldr	x8, [sp, #0x30]
0xfffffff0087bf4fc: e80000b4  cbz	x8, #0xfffffff0087bf518
0xfffffff0087bf500: 082140b9  ldr	w8, [x8, #0x20]
0xfffffff0087bf504: e91f40b9  ldr	w9, [sp, #0x1c]
0xfffffff0087bf508: 1f01096b  cmp	w8, w9
0xfffffff0087bf50c: a1000054  b.ne	#0xfffffff0087bf520
0xfffffff0087bf510: 36008052  mov	w22, #1
0xfffffff0087bf514: 0f000014  b	#0xfffffff0087bf550
0xfffffff0087bf518: 56008052  mov	w22, #2
0xfffffff0087bf51c: 0d000014  b	#0xfffffff0087bf550
0xfffffff0087bf520: 35008052  mov	w21, #1
0xfffffff0087bf524: e00313aa  mov	x0, x19
0xfffffff0087bf528: 21008052  mov	w1, #1
0xfffffff0087bf52c: ec000094  bl	#0xfffffff0087bf8dc
0xfffffff0087bf530: 36008052  mov	w22, #1
0xfffffff0087bf534: e0000036  tbz	w0, #0, #0xfffffff0087bf550
0xfffffff0087bf538: 15030239  strb	w21, [x24, #0x80]
0xfffffff0087bf53c: e82a40b9  ldr	w8, [x23, #0x28]
0xfffffff0087bf540: 281a0034  cbz	w8, #0xfffffff0087bf884
0xfffffff0087bf544: f82340b9  ldr	w24, [sp, #0x20]
0xfffffff0087bf548: 36008052  mov	w22, #1
0xfffffff0087bf54c: 03000014  b	#0xfffffff0087bf558
0xfffffff0087bf550: 15008052  mov	w21, #0
0xfffffff0087bf554: f82340b9  ldr	w24, [sp, #0x20]
0xfffffff0087bf558: f92e40b9  ldr	w25, [x23, #0x2c]
0xfffffff0087bf55c: 3a070011  add	w26, w25, #1
0xfffffff0087bf560: b901f836  tbz	w25, #0x1f, #0xfffffff0087bf594
0xfffffff0087bf564: 08a48152  mov	w8, #0xd20
0xfffffff0087bf568: e94cfff0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bf56c: 29292d91  add	x9, x9, #0xb4a
0xfffffff0087bf570: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bf574: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf578: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf57c: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf580: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf584: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf588: 638c0f91  add	x3, x3, #0x3e3
0xfffffff0087bf58c: 02008052  mov	w2, #0
0xfffffff0087bf590: e8ceed97  bl	#0xfffffff008333130
0xfffffff0087bf594: 28008052  mov	w8, #1
0xfffffff0087bf598: 1a21da1a  lsl	w26, w8, w26
0xfffffff0087bf59c: 7800f837  tbnz	w24, #0x1f, #0xfffffff0087bf5a8
0xfffffff0087bf5a0: 5f03186b  cmp	w26, w24
0xfffffff0087bf5a4: ac010054  b.gt	#0xfffffff0087bf5d8
0xfffffff0087bf5a8: 28a48152  mov	w8, #0xd21
0xfffffff0087bf5ac: e94cfff0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bf5b0: 29292d91  add	x9, x9, #0xb4a
0xfffffff0087bf5b4: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bf5b8: 804bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087bf5bc: 00403691  add	x0, x0, #0xd90
0xfffffff0087bf5c0: e191ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bf5c4: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bf5c8: 634cffd0  adrp	x3, #0xfffffff00714d000
0xfffffff0087bf5cc: 63581091  add	x3, x3, #0x416
0xfffffff0087bf5d0: 02008052  mov	w2, #0
0xfffffff0087bf5d4: d7ceed97  bl	#0xfffffff008333130
0xfffffff0087bf5d8: 7400f837  tbnz	w20, #0x1f, #0xfffffff0087bf5e4
0xfffffff0087bf5dc: 5f03146b  cmp	w26, w20
0xfffffff0087bf5e0: ac010054  b.gt	#0xfffffff0087bf614
0xfffffff0087bf5e4: 48a48152  mov	w8, #0xd22
0xfffffff0087bf5e8: e94cfff0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bf5ec: 29292d91  add	x9, x9, #0xb4a
0xfffffff0087bf5f0: e92300a9  stp	x9, x8, [sp]
