; Candidate 7299
; ADRP+ADD at VM 0xfffffff008865bd4 (fileoff 0x1861bd4): page=0x1fe984000 add_imm=0xe80

0xfffffff008865b54: 4346d597  bl	#0xfffffff007db7460
0xfffffff008865b58: b9fcff17  b	#0xfffffff008864e3c
0xfffffff008865b5c: a10358f8  ldur	x1, [x29, #-0x80]
0xfffffff008865b60: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff008865b64: 24530094  bl	#0xfffffff00887a7f4
0xfffffff008865b68: 91390194  bl	#0xfffffff0088b41ac
0xfffffff008865b6c: f50300aa  mov	x21, x0
0xfffffff008865b70: 80008052  mov	w0, #4
0xfffffff008865b74: 37570094  bl	#0xfffffff00887b850
0xfffffff008865b78: f60300aa  mov	x22, x0
0xfffffff008865b7c: 783a40f9  ldr	x24, [x19, #0x70]
0xfffffff008865b80: b70358f8  ldur	x23, [x29, #-0x80]
0xfffffff008865b84: 606240f9  ldr	x0, [x19, #0xc0]
0xfffffff008865b88: e10317aa  mov	x1, x23
0xfffffff008865b8c: 1a530094  bl	#0xfffffff00887a7f4
0xfffffff008865b90: e80314aa  mov	x8, x20
0xfffffff008865b94: e02305a9  stp	x0, x8, [sp, #0x50]
0xfffffff008865b98: f85f04a9  stp	x24, x23, [sp, #0x40]
0xfffffff008865b9c: 484dfff0  adrp	x8, #0xfffffff007210000
0xfffffff008865ba0: 08b92791  add	x8, x8, #0x9ee
0xfffffff008865ba4: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008865ba8: 287b8052  mov	w8, #0x3d9
0xfffffff008865bac: 094efff0  adrp	x9, #0xfffffff007228000
0xfffffff008865bb0: 29813091  add	x9, x9, #0xc20
0xfffffff008865bb4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008865bb8: 084effd0  adrp	x8, #0xfffffff007227000
0xfffffff008865bbc: 08811191  add	x8, x8, #0x460
0xfffffff008865bc0: f62301a9  stp	x22, x8, [sp, #0x10]
0xfffffff008865bc4: 680c8052  mov	w8, #0x63
0xfffffff008865bc8: 834fffb0  adrp	x3, #0xfffffff007256000
0xfffffff008865bcc: 63c03b91  add	x3, x3, #0xef0
0xfffffff008865bd0: f52300a9  stp	x21, x8, [sp]
0xfffffff008865bd4: 204cff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008865bd8: 00003a91  add	x0, x0, #0xe80
0xfffffff008865bdc: 018dfff0  adrp	x1, #0xfffffff007a08000
0xfffffff008865be0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008865be4: 02008052  mov	w2, #0
0xfffffff008865be8: 5235eb97  bl	#0xfffffff008333130
0xfffffff008865bec: 94fcff17  b	#0xfffffff008864e3c
0xfffffff008865bf0: b40359f8  ldur	x20, [x29, #-0x70]
0xfffffff008865bf4: 600c8052  mov	w0, #0x63
0xfffffff008865bf8: e1008052  mov	w1, #7
0xfffffff008865bfc: f5560094  bl	#0xfffffff00887b7d0
0xfffffff008865c00: 600a0034  cbz	w0, #0xfffffff008865d4c
0xfffffff008865c04: 600c8052  mov	w0, #0x63
0xfffffff008865c08: 04570094  bl	#0xfffffff00887b818
0xfffffff008865c0c: f60300aa  mov	x22, x0
0xfffffff008865c10: 67390194  bl	#0xfffffff0088b41ac
0xfffffff008865c14: f50300aa  mov	x21, x0
0xfffffff008865c18: e0008052  mov	w0, #7
0xfffffff008865c1c: 0d570094  bl	#0xfffffff00887b850
0xfffffff008865c20: 36060034  cbz	w22, #0xfffffff008865ce4
0xfffffff008865c24: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008865c28: aa277229  ldp	w10, w9, [x29, #-0x70]
0xfffffff008865c2c: e9ab04a9  stp	x9, x10, [sp, #0x48]
0xfffffff008865c30: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff008865c34: 487c8052  mov	w8, #0x3e2
0xfffffff008865c38: 094efff0  adrp	x9, #0xfffffff007228000
0xfffffff008865c3c: 29813091  add	x9, x9, #0xc20
0xfffffff008865c40: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008865c44: 084effd0  adrp	x8, #0xfffffff007227000
0xfffffff008865c48: 08811191  add	x8, x8, #0x460
0xfffffff008865c4c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008865c50: e00b00f9  str	x0, [sp, #0x10]
