; Candidate 9349
; ADRP+ADD at VM 0xfffffff008a2aa50 (fileoff 0x1a26a50): page=0x1fe86f000 add_imm=0xe40

0xfffffff008a2a9d0: 080240f9  ldr	x8, [x16]
0xfffffff008a2a9d4: e90310aa  mov	x9, x16
0xfffffff008a2a9d8: e00313aa  mov	x0, x19
0xfffffff008a2a9dc: e10316aa  mov	x1, x22
0xfffffff008a2a9e0: f10309aa  mov	x17, x9
0xfffffff008a2a9e4: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2a9e8: 11093fd7  blraa	x8, x17
0xfffffff008a2a9ec: e00313aa  mov	x0, x19
0xfffffff008a2a9f0: 92b8f097  bl	#0xfffffff008658c38
0xfffffff008a2a9f4: f40300aa  mov	x20, x0
0xfffffff008a2a9f8: 700240f9  ldr	x16, [x19]
0xfffffff008a2a9fc: f10313aa  mov	x17, x19
0xfffffff008a2aa00: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2aa04: 301ac1da  autda	x16, x17
0xfffffff008a2aa08: f10310aa  mov	x17, x16
0xfffffff008a2aa0c: f147c1da  xpacd	x17
0xfffffff008a2aa10: 1f0211eb  cmp	x16, x17
0xfffffff008a2aa14: 40000054  b.eq	#0xfffffff008a2aa1c
0xfffffff008a2aa18: 408e38d4  brk	#0xc472
0xfffffff008a2aa1c: 08c21191  add	x8, x16, #0x470
0xfffffff008a2aa20: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2aa24: e00313aa  mov	x0, x19
0xfffffff008a2aa28: e10316aa  mov	x1, x22
0xfffffff008a2aa2c: f10308aa  mov	x17, x8
0xfffffff008a2aa30: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2aa34: 31093fd7  blraa	x9, x17
0xfffffff008a2aa38: e05b02a9  stp	x0, x22, [sp, #0x20]
0xfffffff008a2aa3c: 975e8052  mov	w23, #0x2f4
0xfffffff008a2aa40: f75701a9  stp	x23, x21, [sp, #0x10]
0xfffffff008a2aa44: 9843fff0  adrp	x24, #0xfffffff00729d000
0xfffffff008a2aa48: 18071b91  add	x24, x24, #0x6c1
0xfffffff008a2aa4c: f46300a9  stp	x20, x24, [sp]
0xfffffff008a2aa50: 6043fff0  adrp	x0, #0xfffffff007299000
0xfffffff008a2aa54: 00003991  add	x0, x0, #0xe40
0xfffffff008a2aa58: 0181ffb0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a2aa5c: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a2aa60: a343ffd0  adrp	x3, #0xfffffff0072a0000
0xfffffff008a2aa64: 63003391  add	x3, x3, #0xcc0
0xfffffff008a2aa68: 02028052  mov	w2, #0x10
0xfffffff008a2aa6c: b121e497  bl	#0xfffffff008333130
0xfffffff008a2aa70: e00313aa  mov	x0, x19
0xfffffff008a2aa74: 71b8f097  bl	#0xfffffff008658c38
0xfffffff008a2aa78: f40300aa  mov	x20, x0
0xfffffff008a2aa7c: 700240f9  ldr	x16, [x19]
0xfffffff008a2aa80: f10313aa  mov	x17, x19
0xfffffff008a2aa84: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a2aa88: 301ac1da  autda	x16, x17
0xfffffff008a2aa8c: f10310aa  mov	x17, x16
0xfffffff008a2aa90: f147c1da  xpacd	x17
0xfffffff008a2aa94: 1f0211eb  cmp	x16, x17
0xfffffff008a2aa98: 40000054  b.eq	#0xfffffff008a2aaa0
0xfffffff008a2aa9c: 408e38d4  brk	#0xc472
0xfffffff008a2aaa0: 08c21191  add	x8, x16, #0x470
0xfffffff008a2aaa4: 093a42f9  ldr	x9, [x16, #0x470]
0xfffffff008a2aaa8: e00313aa  mov	x0, x19
0xfffffff008a2aaac: e10316aa  mov	x1, x22
0xfffffff008a2aab0: f10308aa  mov	x17, x8
0xfffffff008a2aab4: d1f9e6f2  movk	x17, #0x37ce, lsl #48
0xfffffff008a2aab8: 31093fd7  blraa	x9, x17
0xfffffff008a2aabc: e05b02a9  stp	x0, x22, [sp, #0x20]
0xfffffff008a2aac0: f75701a9  stp	x23, x21, [sp, #0x10]
0xfffffff008a2aac4: f46300a9  stp	x20, x24, [sp]
0xfffffff008a2aac8: 8043fff0  adrp	x0, #0xfffffff00729d000
0xfffffff008a2aacc: 005c1c91  add	x0, x0, #0x717
