; Candidate 7972
; ADRP+ADD at VM 0xfffffff00888b694 (fileoff 0x1887694): page=0x1fe95e000 add_imm=0xe80

0xfffffff00888b614: 144500f9  str	x20, [x8, #0x88]
0xfffffff00888b618: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888b61c: 080118aa  orr	x8, x8, x24
0xfffffff00888b620: 688e00f9  str	x8, [x19, #0x118]
0xfffffff00888b624: e80240f9  ldr	x8, [x23]
0xfffffff00888b628: 48e6ffb4  cbz	x8, #0xfffffff00888b2f0
0xfffffff00888b62c: 08314079  ldrh	w8, [x8, #0x18]
0xfffffff00888b630: 1f350072  tst	w8, #0x3fff
0xfffffff00888b634: e0e5ff54  b.eq	#0xfffffff00888b2f0
0xfffffff00888b638: 3fed0094  bl	#0xfffffff0088c6b34
0xfffffff00888b63c: dca20094  bl	#0xfffffff0088b41ac
0xfffffff00888b640: f70300aa  mov	x23, x0
0xfffffff00888b644: a0008052  mov	w0, #5
0xfffffff00888b648: 82c0ff97  bl	#0xfffffff00887b850
0xfffffff00888b64c: 683640f9  ldr	x8, [x19, #0x68]
0xfffffff00888b650: e90316aa  mov	x9, x22
0xfffffff00888b654: e8a704a9  stp	x8, x9, [sp, #0x48]
0xfffffff00888b658: f3e703a9  stp	x19, x25, [sp, #0x38]
0xfffffff00888b65c: 084dfff0  adrp	x8, #0xfffffff00722e000
0xfffffff00888b660: 0a192c91  add	x10, x8, #0xb06
0xfffffff00888b664: 48798052  mov	w8, #0x3ca
0xfffffff00888b668: 094dffd0  adrp	x9, #0xfffffff00722d000
0xfffffff00888b66c: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff00888b670: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888b674: 284dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888b678: 087d0391  add	x8, x8, #0xdf
0xfffffff00888b67c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888b680: 88098052  mov	w8, #0x4c
0xfffffff00888b684: 834effd0  adrp	x3, #0xfffffff00725d000
0xfffffff00888b688: 63e42d91  add	x3, x3, #0xb79
0xfffffff00888b68c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00888b690: f70300f9  str	x23, [sp]
0xfffffff00888b694: e04affd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888b698: 00003a91  add	x0, x0, #0xe80
0xfffffff00888b69c: e18bffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00888b6a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888b6a4: 02008052  mov	w2, #0
0xfffffff00888b6a8: a29eea97  bl	#0xfffffff008333130
0xfffffff00888b6ac: 94ffff17  b	#0xfffffff00888b4fc
0xfffffff00888b6b0: 367f8012  mov	w22, #-0x3fa
0xfffffff00888b6b4: 92ffff17  b	#0xfffffff00888b4fc
0xfffffff00888b6b8: bda20094  bl	#0xfffffff0088b41ac
0xfffffff00888b6bc: f60300aa  mov	x22, x0
0xfffffff00888b6c0: 80008052  mov	w0, #4
0xfffffff00888b6c4: 63c0ff97  bl	#0xfffffff00887b850
0xfffffff00888b6c8: e80240f9  ldr	x8, [x23]
0xfffffff00888b6cc: 480000b4  cbz	x8, #0xfffffff00888b6d4
0xfffffff00888b6d0: 080d40f9  ldr	x8, [x8, #0x18]
0xfffffff00888b6d4: 690a81b9  ldrsw	x9, [x19, #0x108]
0xfffffff00888b6d8: 0901098b  add	x9, x8, x9
0xfffffff00888b6dc: 377f8012  mov	w23, #-0x3fa
0xfffffff00888b6e0: e95f05a9  stp	x9, x23, [sp, #0x50]
0xfffffff00888b6e4: e90315aa  mov	x9, x21
0xfffffff00888b6e8: e92304a9  stp	x9, x8, [sp, #0x40]
0xfffffff00888b6ec: f36703a9  stp	x19, x25, [sp, #0x30]
0xfffffff00888b6f0: 687b8052  mov	w8, #0x3db
0xfffffff00888b6f4: 094dffd0  adrp	x9, #0xfffffff00722d000
0xfffffff00888b6f8: 29bd0f91  add	x9, x9, #0x3ef
0xfffffff00888b6fc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00888b700: 284dff90  adrp	x8, #0xfffffff00722f000
0xfffffff00888b704: 087d0391  add	x8, x8, #0xdf
0xfffffff00888b708: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00888b70c: 88098052  mov	w8, #0x4c
0xfffffff00888b710: 834effd0  adrp	x3, #0xfffffff00725d000
