; Candidate 7674
; ADRP+ADD at VM 0xfffffff008878284 (fileoff 0x1874284): page=0x1fe971000 add_imm=0xe80

0xfffffff008878204: 2bc50f91  add	x11, x9, #0x3f1
0xfffffff008878208: f3ab03a9  stp	x19, x10, [sp, #0x38]
0xfffffff00887820c: 681e8052  mov	w8, #0xf3
0xfffffff008878210: 894dfff0  adrp	x9, #0xfffffff00722b000
0xfffffff008878214: 29390f91  add	x9, x9, #0x3ce
0xfffffff008878218: e8af02a9  stp	x8, x11, [sp, #0x28]
0xfffffff00887821c: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878220: 08053c91  add	x8, x8, #0xf01
0xfffffff008878224: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008878228: e00b00f9  str	x0, [sp, #0x10]
0xfffffff00887822c: a80b8052  mov	w8, #0x5d
0xfffffff008878230: c04cffd0  adrp	x0, #0xfffffff007212000
0xfffffff008878234: 00081f91  add	x0, x0, #0x7c2
0xfffffff008878238: f52300a9  stp	x21, x8, [sp]
0xfffffff00887823c: 89fcd497  bl	#0xfffffff007db7460
0xfffffff008878240: 72000014  b	#0xfffffff008878408
0xfffffff008878244: daef0094  bl	#0xfffffff0088b41ac
0xfffffff008878248: f60300aa  mov	x22, x0
0xfffffff00887824c: 00018052  mov	w0, #8
0xfffffff008878250: 800d0094  bl	#0xfffffff00887b850
0xfffffff008878254: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008878258: e90315aa  mov	x9, x21
0xfffffff00887825c: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff008878260: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008878264: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878268: 09390f91  add	x9, x8, #0x3ce
0xfffffff00887826c: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878270: 08053c91  add	x8, x8, #0xf01
0xfffffff008878274: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008878278: a80b8052  mov	w8, #0x5d
0xfffffff00887827c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008878280: f60300f9  str	x22, [sp]
0xfffffff008878284: 804bffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008878288: 00003a91  add	x0, x0, #0xe80
0xfffffff00887828c: 818cff90  adrp	x1, #0xfffffff007a08000
0xfffffff008878290: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008878294: 034fffd0  adrp	x3, #0xfffffff00725a000
0xfffffff008878298: 63240091  add	x3, x3, #9
0xfffffff00887829c: 02008052  mov	w2, #0
0xfffffff0088782a0: a4ebea97  bl	#0xfffffff008333130
0xfffffff0088782a4: 74f3ffb5  cbnz	x20, #0xfffffff008878110
0xfffffff0088782a8: a00b8052  mov	w0, #0x5d
0xfffffff0088782ac: 81008052  mov	w1, #4
0xfffffff0088782b0: 480d0094  bl	#0xfffffff00887b7d0
0xfffffff0088782b4: e0060034  cbz	w0, #0xfffffff008878390
0xfffffff0088782b8: a00b8052  mov	w0, #0x5d
0xfffffff0088782bc: 570d0094  bl	#0xfffffff00887b818
0xfffffff0088782c0: f70300aa  mov	x23, x0
0xfffffff0088782c4: baef0094  bl	#0xfffffff0088b41ac
0xfffffff0088782c8: f60300aa  mov	x22, x0
0xfffffff0088782cc: 80008052  mov	w0, #4
0xfffffff0088782d0: 600d0094  bl	#0xfffffff00887b850
0xfffffff0088782d4: 97020034  cbz	w23, #0xfffffff008878324
0xfffffff0088782d8: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088782dc: 894dfff0  adrp	x9, #0xfffffff00722b000
0xfffffff0088782e0: 2a510f91  add	x10, x9, #0x3d4
0xfffffff0088782e4: f5d304a9  stp	x21, x20, [sp, #0x48]
0xfffffff0088782e8: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088782ec: e81d8052  mov	w8, #0xef
0xfffffff0088782f0: 894dfff0  adrp	x9, #0xfffffff00722b000
0xfffffff0088782f4: 29390f91  add	x9, x9, #0x3ce
0xfffffff0088782f8: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088782fc: 884dfff0  adrp	x8, #0xfffffff00722b000
0xfffffff008878300: 08053c91  add	x8, x8, #0xf01
