; Candidate 15237
; ADRP+ADD at VM 0xfffffff009b4270c (fileoff 0x2b3e70c): page=0x1fdae6000 add_imm=0xed0

0xfffffff009b4268c: 40000054  b.eq	#0xfffffff009b42694
0xfffffff009b42690: 408e38d4  brk	#0xc472
0xfffffff009b42694: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b42698: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4269c: e00313aa  mov	x0, x19
0xfffffff009b426a0: 010080d2  mov	x1, #0
0xfffffff009b426a4: f10308aa  mov	x17, x8
0xfffffff009b426a8: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b426ac: 31093fd7  blraa	x9, x17
0xfffffff009b426b0: f50300aa  mov	x21, x0
0xfffffff009b426b4: 700240f9  ldr	x16, [x19]
0xfffffff009b426b8: f10313aa  mov	x17, x19
0xfffffff009b426bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b426c0: 301ac1da  autda	x16, x17
0xfffffff009b426c4: f10310aa  mov	x17, x16
0xfffffff009b426c8: f147c1da  xpacd	x17
0xfffffff009b426cc: 1f0211eb  cmp	x16, x17
0xfffffff009b426d0: 40000054  b.eq	#0xfffffff009b426d8
0xfffffff009b426d4: 408e38d4  brk	#0xc472
0xfffffff009b426d8: 08620891  add	x8, x16, #0x218
0xfffffff009b426dc: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b426e0: e00313aa  mov	x0, x19
0xfffffff009b426e4: 010080d2  mov	x1, #0
0xfffffff009b426e8: f10308aa  mov	x17, x8
0xfffffff009b426ec: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b426f0: 31093fd7  blraa	x9, x17
0xfffffff009b426f4: 28d7fef0  adrp	x8, #0xfffffff007629000
0xfffffff009b426f8: 08552891  add	x8, x8, #0xa15
0xfffffff009b426fc: 29d7fef0  adrp	x9, #0xfffffff007629000
0xfffffff009b42700: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b42704: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b42708: f50300a9  stp	x21, x0, [sp]
0xfffffff009b4270c: 20d7fed0  adrp	x0, #0xfffffff007628000
0xfffffff009b42710: 00403b91  add	x0, x0, #0xed0
0xfffffff009b42714: 43d7feb0  adrp	x3, #0xfffffff00762b000
0xfffffff009b42718: 63482691  add	x3, x3, #0x992
0xfffffff009b4271c: e10314aa  mov	x1, x20
0xfffffff009b42720: 02028052  mov	w2, #0x10
0xfffffff009b42724: 83c29f97  bl	#0xfffffff008333130
0xfffffff009b42728: 00008052  mov	w0, #0
0xfffffff009b4272c: dc010014  b	#0xfffffff009b42e9c
0xfffffff009b42730: 68c641b9  ldr	w8, [x19, #0x1c4]
0xfffffff009b42734: 49008052  mov	w9, #2
0xfffffff009b42738: 0900a872  movk	w9, #0x4000, lsl #16
0xfffffff009b4273c: 3f01286a  bics	wzr, w9, w8
0xfffffff009b42740: 01050054  b.ne	#0xfffffff009b427e0
0xfffffff009b42744: d62d8e97  bl	#0xfffffff007ecde9c
0xfffffff009b42748: 1f040071  cmp	w0, #1
0xfffffff009b4274c: a1040054  b.ne	#0xfffffff009b427e0
0xfffffff009b42750: 700240f9  ldr	x16, [x19]
0xfffffff009b42754: f10313aa  mov	x17, x19
0xfffffff009b42758: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4275c: 301ac1da  autda	x16, x17
0xfffffff009b42760: 113d80d2  mov	x17, #0x1e8
0xfffffff009b42764: 1002118b  add	x16, x16, x17
0xfffffff009b42768: 080240f9  ldr	x8, [x16]
0xfffffff009b4276c: e90310aa  mov	x9, x16
0xfffffff009b42770: e00313aa  mov	x0, x19
0xfffffff009b42774: 010080d2  mov	x1, #0
0xfffffff009b42778: f10309aa  mov	x17, x9
0xfffffff009b4277c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b42780: 11093fd7  blraa	x8, x17
0xfffffff009b42784: f40300aa  mov	x20, x0
0xfffffff009b42788: 700240f9  ldr	x16, [x19]
