; Candidate 13346
; ADRP+ADD at VM 0xfffffff0092aa1b8 (fileoff 0x22a61b8): page=0x10d3000 add_imm=0xe38

0xfffffff0092aa138: 11093fd7  blraa	x8, x17
0xfffffff0092aa13c: e00317aa  mov	x0, x23
0xfffffff0092aa140: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff0092aa144: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff0092aa148: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff0092aa14c: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff0092aa150: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff0092aa154: ffc30191  add	sp, sp, #0x70
0xfffffff0092aa158: ff0f5fd6  retab	
0xfffffff0092aa15c: 5f2403d5  bti	c
0xfffffff0092aa160: 65e9c017  b	#0xfffffff0082e46f4
0xfffffff0092aa164: 7f2303d5  pacibsp	
0xfffffff0092aa168: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0092aa16c: fd030091  mov	x29, sp
0xfffffff0092aa170: 808600f0  adrp	x0, #0xfffffff00a37d000
0xfffffff0092aa174: 00e03891  add	x0, x0, #0xe38
0xfffffff0092aa178: e110ff90  adrp	x1, #0xfffffff0074c6000
0xfffffff0092aa17c: 21943491  add	x1, x1, #0xd25
0xfffffff0092aa180: 828600f0  adrp	x2, #0xfffffff00a37d000
0xfffffff0092aa184: 42403891  add	x2, x2, #0xe10
0xfffffff0092aa188: 031b8052  mov	w3, #0xd8
0xfffffff0092aa18c: 6be6c097  bl	#0xfffffff0082e3b38
0xfffffff0092aa190: b047ffd0  adrp	x16, #0xfffffff007ba0000
0xfffffff0092aa194: 10821e91  add	x16, x16, #0x7a0
0xfffffff0092aa198: 10420091  add	x16, x16, #0x10
0xfffffff0092aa19c: f10300aa  mov	x17, x0
0xfffffff0092aa1a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0092aa1a4: 300ac1da  pacda	x16, x17
0xfffffff0092aa1a8: 100000f9  str	x16, [x0]
0xfffffff0092aa1ac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0092aa1b0: ff0f5fd6  retab	
0xfffffff0092aa1b4: 5f2403d5  bti	c
0xfffffff0092aa1b8: 808600f0  adrp	x0, #0xfffffff00a37d000
0xfffffff0092aa1bc: 00e03891  add	x0, x0, #0xe38
0xfffffff0092aa1c0: 4de9c017  b	#0xfffffff0082e46f4
0xfffffff0092aa1c4: 5f2403d5  bti	c
0xfffffff0092aa1c8: 888600f0  adrp	x8, #0xfffffff00a37d000
0xfffffff0092aa1cc: 08013891  add	x8, x8, #0xe00
0xfffffff0092aa1d0: 100140f9  ldr	x16, [x8]
0xfffffff0092aa1d4: 700000b4  cbz	x16, #0xfffffff0092aa1e0
0xfffffff0092aa1d8: d19f9cd2  mov	x17, #0xe4fe
0xfffffff0092aa1dc: 110a1fd7  braa	x16, x17
0xfffffff0092aa1e0: 00008052  mov	w0, #0
0xfffffff0092aa1e4: c0035fd6  ret	
0xfffffff0092aa1e8: 5f2403d5  bti	c
0xfffffff0092aa1ec: 888400f0  adrp	x8, #0xfffffff00a33d000
0xfffffff0092aa1f0: 08010091  add	x8, x8, #0
0xfffffff0092aa1f4: 00410091  add	x0, x8, #0x10
0xfffffff0092aa1f8: c0035fd6  ret	
0xfffffff0092aa1fc: 5f2403d5  bti	c
0xfffffff0092aa200: 888400f0  adrp	x8, #0xfffffff00a33d000
0xfffffff0092aa204: 08010091  add	x8, x8, #0
0xfffffff0092aa208: 00410191  add	x0, x8, #0x50
0xfffffff0092aa20c: c0035fd6  ret	
0xfffffff0092aa210: 5f2403d5  bti	c
0xfffffff0092aa214: 888400f0  adrp	x8, #0xfffffff00a33d000
0xfffffff0092aa218: 08010091  add	x8, x8, #0
0xfffffff0092aa21c: 000d40b9  ldr	w0, [x8, #0xc]
0xfffffff0092aa220: c0035fd6  ret	
0xfffffff0092aa224: 5f2403d5  bti	c
0xfffffff0092aa228: 888600f0  adrp	x8, #0xfffffff00a37d000
0xfffffff0092aa22c: 08213891  add	x8, x8, #0xe08
0xfffffff0092aa230: 100140f9  ldr	x16, [x8]
0xfffffff0092aa234: 700000b4  cbz	x16, #0xfffffff0092aa240
