; Candidate 7630
; ADRP+ADD at VM 0xfffffff00887575c (fileoff 0x187175c): page=0x1fe99e000 add_imm=0xe0f

0xfffffff0088756dc: e00314aa  mov	x0, x20
0xfffffff0088756e0: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff0088756e4: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff0088756e8: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff0088756ec: f85f44a9  ldp	x24, x23, [sp, #0x40]
0xfffffff0088756f0: ff030291  add	sp, sp, #0x80
0xfffffff0088756f4: ff0f5fd6  retab	
0xfffffff0088756f8: 7f2303d5  pacibsp	
0xfffffff0088756fc: ff8301d1  sub	sp, sp, #0x60
0xfffffff008875700: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008875704: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008875708: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00887570c: fd430191  add	x29, sp, #0x50
0xfffffff008875710: f30300aa  mov	x19, x0
0xfffffff008875714: 600b8052  mov	w0, #0x5b
0xfffffff008875718: 01018052  mov	w1, #8
0xfffffff00887571c: 2d180094  bl	#0xfffffff00887b7d0
0xfffffff008875720: a0040034  cbz	w0, #0xfffffff0088757b4
0xfffffff008875724: 600b8052  mov	w0, #0x5b
0xfffffff008875728: 3c180094  bl	#0xfffffff00887b818
0xfffffff00887572c: f50300aa  mov	x21, x0
0xfffffff008875730: 9ffa0094  bl	#0xfffffff0088b41ac
0xfffffff008875734: f40300aa  mov	x20, x0
0xfffffff008875738: 00018052  mov	w0, #8
0xfffffff00887573c: 45180094  bl	#0xfffffff00887b850
0xfffffff008875740: 75010034  cbz	w21, #0xfffffff00887576c
0xfffffff008875744: a84dffb0  adrp	x8, #0xfffffff00722a000
0xfffffff008875748: 08013491  add	x8, x8, #0xd00
0xfffffff00887574c: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008875750: 680b8052  mov	w8, #0x5b
0xfffffff008875754: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008875758: f40300f9  str	x20, [sp]
0xfffffff00887575c: e04cffd0  adrp	x0, #0xfffffff007213000
0xfffffff008875760: 003c3891  add	x0, x0, #0xe0f
0xfffffff008875764: 3f07d597  bl	#0xfffffff007db7460
0xfffffff008875768: 13000014  b	#0xfffffff0088757b4
0xfffffff00887576c: 90fa0094  bl	#0xfffffff0088b41ac
0xfffffff008875770: f40300aa  mov	x20, x0
0xfffffff008875774: 00018052  mov	w0, #8
0xfffffff008875778: 36180094  bl	#0xfffffff00887b850
0xfffffff00887577c: a84dffb0  adrp	x8, #0xfffffff00722a000
0xfffffff008875780: 08013491  add	x8, x8, #0xd00
0xfffffff008875784: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008875788: 680b8052  mov	w8, #0x5b
0xfffffff00887578c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008875790: f40300f9  str	x20, [sp]
0xfffffff008875794: a04bff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008875798: 00003a91  add	x0, x0, #0xe80
0xfffffff00887579c: 818cfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088757a0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088757a4: 234fff90  adrp	x3, #0xfffffff007259000
0xfffffff0088757a8: 63002591  add	x3, x3, #0x940
0xfffffff0088757ac: 02008052  mov	w2, #0
0xfffffff0088757b0: 60f6ea97  bl	#0xfffffff008333130
0xfffffff0088757b4: e00313aa  mov	x0, x19
0xfffffff0088757b8: 01009052  mov	w1, #0x8000
0xfffffff0088757bc: e106a072  movk	w1, #0x37, lsl #16
0xfffffff0088757c0: 02048052  mov	w2, #0x20
0xfffffff0088757c4: c206a072  movk	w2, #0x36, lsl #16
0xfffffff0088757c8: 23008052  mov	w3, #1
0xfffffff0088757cc: a5000094  bl	#0xfffffff008875a60
0xfffffff0088757d0: f40300aa  mov	x20, x0
0xfffffff0088757d4: 600b8052  mov	w0, #0x5b
0xfffffff0088757d8: 01018052  mov	w1, #8
