; Candidate 5458
; ADRP+ADD at VM 0xfffffff0087f1e18 (fileoff 0x17ede18): page=0x1fe9f8000 add_imm=0xe80

0xfffffff0087f1d98: a0260294  bl	#0xfffffff00887b818
0xfffffff0087f1d9c: fa0300aa  mov	x26, x0
0xfffffff0087f1da0: 03090394  bl	#0xfffffff0088b41ac
0xfffffff0087f1da4: f90300aa  mov	x25, x0
0xfffffff0087f1da8: e0008052  mov	w0, #7
0xfffffff0087f1dac: a9260294  bl	#0xfffffff00887b850
0xfffffff0087f1db0: ba010034  cbz	w26, #0xfffffff0087f1de4
0xfffffff0087f1db4: f76304a9  stp	x23, x24, [sp, #0x40]
0xfffffff0087f1db8: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087f1dbc: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f1dc0: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f1dc4: 08810e91  add	x8, x8, #0x3a0
0xfffffff0087f1dc8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f1dcc: 080f8052  mov	w8, #0x78
0xfffffff0087f1dd0: 0051fff0  adrp	x0, #0xfffffff007214000
0xfffffff0087f1dd4: 00401d91  add	x0, x0, #0x750
0xfffffff0087f1dd8: f92300a9  stp	x25, x8, [sp]
0xfffffff0087f1ddc: a115d797  bl	#0xfffffff007db7460
0xfffffff0087f1de0: 16000014  b	#0xfffffff0087f1e38
0xfffffff0087f1de4: f2080394  bl	#0xfffffff0088b41ac
0xfffffff0087f1de8: f90300aa  mov	x25, x0
0xfffffff0087f1dec: e0008052  mov	w0, #7
0xfffffff0087f1df0: 98260294  bl	#0xfffffff00887b850
0xfffffff0087f1df4: e80318aa  mov	x8, x24
0xfffffff0087f1df8: f72304a9  stp	x23, x8, [sp, #0x40]
0xfffffff0087f1dfc: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff0087f1e00: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0087f1e04: 2851ff90  adrp	x8, #0xfffffff007215000
0xfffffff0087f1e08: 08810e91  add	x8, x8, #0x3a0
0xfffffff0087f1e0c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0087f1e10: 080f8052  mov	w8, #0x78
0xfffffff0087f1e14: f92300a9  stp	x25, x8, [sp]
0xfffffff0087f1e18: c04fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0087f1e1c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087f1e20: a190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff0087f1e24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087f1e28: 6352ffd0  adrp	x3, #0xfffffff00723f000
0xfffffff0087f1e2c: 63503991  add	x3, x3, #0xe54
0xfffffff0087f1e30: 02008052  mov	w2, #0
0xfffffff0087f1e34: bf04ed97  bl	#0xfffffff008333130
0xfffffff0087f1e38: e00318aa  mov	x0, x24
0xfffffff0087f1e3c: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff0087f1e40: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff0087f1e44: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff0087f1e48: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff0087f1e4c: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff0087f1e50: ffc30291  add	sp, sp, #0xb0
0xfffffff0087f1e54: ff0f5fd6  retab	
0xfffffff0087f1e58: 7f2303d5  pacibsp	
0xfffffff0087f1e5c: ff0303d1  sub	sp, sp, #0xc0
0xfffffff0087f1e60: fc6f06a9  stp	x28, x27, [sp, #0x60]
0xfffffff0087f1e64: fa6707a9  stp	x26, x25, [sp, #0x70]
0xfffffff0087f1e68: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff0087f1e6c: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff0087f1e70: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff0087f1e74: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff0087f1e78: fdc30291  add	x29, sp, #0xb0
0xfffffff0087f1e7c: f70304aa  mov	x23, x4
0xfffffff0087f1e80: f50303aa  mov	x21, x3
0xfffffff0087f1e84: f60302aa  mov	x22, x2
0xfffffff0087f1e88: f40301aa  mov	x20, x1
0xfffffff0087f1e8c: f30300aa  mov	x19, x0
0xfffffff0087f1e90: 000f8052  mov	w0, #0x78
0xfffffff0087f1e94: e1008052  mov	w1, #7
