; Candidate 11002
; ADRP+ADD at VM 0xfffffff008df0a7c (fileoff 0x1deca7c): page=0x1fe5d4000 add_imm=0xd21

0xfffffff008df09fc: c9466c39  ldrb	w9, [x22, #0xb11]
0xfffffff008df0a00: 1f01096b  cmp	w8, w9
0xfffffff008df0a04: e3000054  b.lo	#0xfffffff008df0a20
0xfffffff008df0a08: 087c4093  sxtw	x8, w0
0xfffffff008df0a0c: f55300a9  stp	x21, x20, [sp]
0xfffffff008df0a10: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df0a14: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0a18: 00503591  add	x0, x0, #0xd54
0xfffffff008df0a1c: 8199d597  bl	#0xfffffff008357020
0xfffffff008df0a20: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008df0a24: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008df0a28: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008df0a2c: ff430191  add	sp, sp, #0x50
0xfffffff008df0a30: ff0f5fd6  retab	
0xfffffff008df0a34: 7f2303d5  pacibsp	
0xfffffff008df0a38: ff8301d1  sub	sp, sp, #0x60
0xfffffff008df0a3c: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff008df0a40: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008df0a44: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008df0a48: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008df0a4c: fd430191  add	x29, sp, #0x50
0xfffffff008df0a50: f30301aa  mov	x19, x1
0xfffffff008df0a54: f40300aa  mov	x20, x0
0xfffffff008df0a58: 77a800f0  adrp	x23, #0xfffffff00a2ff000
0xfffffff008df0a5c: e8466c39  ldrb	w8, [x23, #0xb11]
0xfffffff008df0a60: b52eff90  adrp	x21, #0xfffffff0073c4000
0xfffffff008df0a64: b5763e91  add	x21, x21, #0xf9d
0xfffffff008df0a68: b62eff90  adrp	x22, #0xfffffff0073c4000
0xfffffff008df0a6c: d6ca3491  add	x22, x22, #0xd32
0xfffffff008df0a70: 1f290071  cmp	w8, #0xa
0xfffffff008df0a74: a8000054  b.hi	#0xfffffff008df0a88
0xfffffff008df0a78: f65700a9  stp	x22, x21, [sp]
0xfffffff008df0a7c: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0a80: 00843491  add	x0, x0, #0xd21
0xfffffff008df0a84: 6799d597  bl	#0xfffffff008357020
0xfffffff008df0a88: e00314aa  mov	x0, x20
0xfffffff008df0a8c: e10313aa  mov	x1, x19
0xfffffff008df0a90: d4beff97  bl	#0xfffffff008de05e0
0xfffffff008df0a94: f30300aa  mov	x19, x0
0xfffffff008df0a98: 1f000071  cmp	w0, #0
0xfffffff008df0a9c: c8088052  mov	w8, #0x46
0xfffffff008df0aa0: 49018052  mov	w9, #0xa
0xfffffff008df0aa4: 2801881a  csel	w8, w9, w8, eq
0xfffffff008df0aa8: e9466c39  ldrb	w9, [x23, #0xb11]
0xfffffff008df0aac: 1f01096b  cmp	w8, w9
0xfffffff008df0ab0: e3000054  b.lo	#0xfffffff008df0acc
0xfffffff008df0ab4: 687e4093  sxtw	x8, w19
0xfffffff008df0ab8: f65700a9  stp	x22, x21, [sp]
0xfffffff008df0abc: e80b00f9  str	x8, [sp, #0x10]
0xfffffff008df0ac0: a02eff90  adrp	x0, #0xfffffff0073c4000
0xfffffff008df0ac4: 00503591  add	x0, x0, #0xd54
0xfffffff008df0ac8: 5699d597  bl	#0xfffffff008357020
0xfffffff008df0acc: e00313aa  mov	x0, x19
0xfffffff008df0ad0: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff008df0ad4: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff008df0ad8: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff008df0adc: f85f42a9  ldp	x24, x23, [sp, #0x20]
0xfffffff008df0ae0: ff830191  add	sp, sp, #0x60
0xfffffff008df0ae4: ff0f5fd6  retab	
0xfffffff008df0ae8: 7f2303d5  pacibsp	
0xfffffff008df0aec: ff0301d1  sub	sp, sp, #0x40
0xfffffff008df0af0: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008df0af4: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008df0af8: fd7b03a9  stp	x29, x30, [sp, #0x30]
