; Candidate 3116
; ADRP+ADD at VM 0xfffffff008713cac (fileoff 0x170fcac): page=0x1fea1e000 add_imm=0xd90

0xfffffff008713c2c: 4a060034  cbz	w10, #0xfffffff008713cf4
0xfffffff008713c30: 680200f9  str	x8, [x19]
0xfffffff008713c34: 49050011  add	w9, w10, #1
0xfffffff008713c38: 090100b9  str	w9, [x8]
0xfffffff008713c3c: 697a40b9  ldr	w9, [x19, #0x78]
0xfffffff008713c40: 4a008052  mov	w10, #2
0xfffffff008713c44: 0a01a072  movk	w10, #8, lsl #16
0xfffffff008713c48: 5f01296a  bics	wzr, w10, w9
0xfffffff008713c4c: 810f0054  b.ne	#0xfffffff008713e3c
0xfffffff008713c50: 09c943f9  ldr	x9, [x8, #0x790]
0xfffffff008713c54: 0a9947b9  ldr	w10, [x8, #0x798]
0xfffffff008713c58: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff008713c5c: e851ff90  adrp	x8, #0xfffffff00714f000
0xfffffff008713c60: 08350691  add	x8, x8, #0x18d
0xfffffff008713c64: e82b00a9  stp	x8, x10, [sp]
0xfffffff008713c68: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713c6c: 00403691  add	x0, x0, #0xd90
0xfffffff008713c70: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713c74: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713c78: 2351ffb0  adrp	x3, #0xfffffff007138000
0xfffffff008713c7c: 63f40091  add	x3, x3, #0x3d
0xfffffff008713c80: 02008052  mov	w2, #0
0xfffffff008713c84: 2b7df097  bl	#0xfffffff008333130
0xfffffff008713c88: 15008052  mov	w21, #0
0xfffffff008713c8c: 11000014  b	#0xfffffff008713cd0
0xfffffff008713c90: 68ea4139  ldrb	w8, [x19, #0x7a]
0xfffffff008713c94: c8010036  tbz	w8, #0, #0xfffffff008713ccc
0xfffffff008713c98: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff008713c9c: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff008713ca0: e851ff90  adrp	x8, #0xfffffff00714f000
0xfffffff008713ca4: 08350691  add	x8, x8, #0x18d
0xfffffff008713ca8: e85300a9  stp	x8, x20, [sp]
0xfffffff008713cac: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713cb0: 00403691  add	x0, x0, #0xd90
0xfffffff008713cb4: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713cb8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713cbc: 2351ff90  adrp	x3, #0xfffffff007137000
0xfffffff008713cc0: 63543f91  add	x3, x3, #0xfd5
0xfffffff008713cc4: 02008052  mov	w2, #0
0xfffffff008713cc8: 1a7df097  bl	#0xfffffff008333130
0xfffffff008713ccc: 15008012  mov	w21, #-1
0xfffffff008713cd0: e00315aa  mov	x0, x21
0xfffffff008713cd4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008713cd8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008713cdc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008713ce0: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008713ce4: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff008713ce8: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff008713cec: ff830291  add	sp, sp, #0xa0
0xfffffff008713cf0: ff0f5fd6  retab	
0xfffffff008713cf4: 68ea4139  ldrb	w8, [x19, #0x7a]
0xfffffff008713cf8: a8fe0736  tbz	w8, #0, #0xfffffff008713ccc
0xfffffff008713cfc: e851ff90  adrp	x8, #0xfffffff00714f000
0xfffffff008713d00: 08350691  add	x8, x8, #0x18d
0xfffffff008713d04: e82700a9  stp	x8, x9, [sp]
0xfffffff008713d08: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713d0c: 00403691  add	x0, x0, #0xd90
0xfffffff008713d10: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713d14: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713d18: 2351ffb0  adrp	x3, #0xfffffff007138000
0xfffffff008713d1c: 63340091  add	x3, x3, #0xd
0xfffffff008713d20: 02008052  mov	w2, #0
0xfffffff008713d24: 037df097  bl	#0xfffffff008333130
0xfffffff008713d28: e9ffff17  b	#0xfffffff008713ccc
