; Candidate 15194
; ADRP+ADD at VM 0xfffffff009b2fd90 (fileoff 0x2b2bd90): page=0x88a000 add_imm=0xd58

0xfffffff009b2fd10: e90310aa  mov	x9, x16
0xfffffff009b2fd14: f10309aa  mov	x17, x9
0xfffffff009b2fd18: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff009b2fd1c: 11093fd7  blraa	x8, x17
0xfffffff009b2fd20: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff009b2fd24: 210dffb0  adrp	x1, #0xfffffff007cd4000
0xfffffff009b2fd28: 215445f9  ldr	x1, [x1, #0xaa8]
0xfffffff009b2fd2c: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff009b2fd30: e00313aa  mov	x0, x19
0xfffffff009b2fd34: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009b2fd38: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009b2fd3c: ff2303d5  autibsp	
0xfffffff009b2fd40: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009b2fd44: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009b2fd4c
0xfffffff009b2fd48: 208e38d4  brk	#0xc471
0xfffffff009b2fd4c: f10301aa  mov	x17, x1
0xfffffff009b2fd50: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff009b2fd54: 110a1fd7  braa	x16, x17
0xfffffff009b2fd58: 5f2403d5  bti	c
0xfffffff009b2fd5c: 08604039  ldrb	w8, [x0, #0x18]
0xfffffff009b2fd60: 00150553  ubfx	w0, w8, #5, #1
0xfffffff009b2fd64: c0035fd6  ret	
0xfffffff009b2fd68: 5f2403d5  bti	c
0xfffffff009b2fd6c: 62d29e17  b	#0xfffffff0082e46f4
0xfffffff009b2fd70: 5f2403d5  bti	c
0xfffffff009b2fd74: 60d29e17  b	#0xfffffff0082e46f4
0xfffffff009b2fd78: 5f2403d5  bti	c
0xfffffff009b2fd7c: 5ed29e17  b	#0xfffffff0082e46f4
0xfffffff009b2fd80: 7f2303d5  pacibsp	
0xfffffff009b2fd84: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009b2fd88: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009b2fd8c: fd430091  add	x29, sp, #0x10
0xfffffff009b2fd90: 404400d0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2fd94: 00603591  add	x0, x0, #0xd58
0xfffffff009b2fd98: a1d7fef0  adrp	x1, #0xfffffff007626000
0xfffffff009b2fd9c: 21fc1891  add	x1, x1, #0x63f
0xfffffff009b2fda0: 330dffb0  adrp	x19, #0xfffffff007cd4000
0xfffffff009b2fda4: 733645f9  ldr	x19, [x19, #0xa68]
0xfffffff009b2fda8: e20313aa  mov	x2, x19
0xfffffff009b2fdac: 03038052  mov	w3, #0x18
0xfffffff009b2fdb0: 62cf9e97  bl	#0xfffffff0082e3b38
0xfffffff009b2fdb4: 500dff90  adrp	x16, #0xfffffff007cd7000
0xfffffff009b2fdb8: 10821791  add	x16, x16, #0x5e0
0xfffffff009b2fdbc: 10420091  add	x16, x16, #0x10
0xfffffff009b2fdc0: f10300aa  mov	x17, x0
0xfffffff009b2fdc4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b2fdc8: 300ac1da  pacda	x16, x17
0xfffffff009b2fdcc: 100000f9  str	x16, [x0]
0xfffffff009b2fdd0: 404400d0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2fdd4: 00003691  add	x0, x0, #0xd80
0xfffffff009b2fdd8: a1d7fef0  adrp	x1, #0xfffffff007626000
0xfffffff009b2fddc: 21981991  add	x1, x1, #0x666
0xfffffff009b2fde0: e20313aa  mov	x2, x19
0xfffffff009b2fde4: 03058052  mov	w3, #0x28
0xfffffff009b2fde8: 54cf9e97  bl	#0xfffffff0082e3b38
0xfffffff009b2fdec: 500dff90  adrp	x16, #0xfffffff007cd7000
0xfffffff009b2fdf0: 10221c91  add	x16, x16, #0x708
0xfffffff009b2fdf4: 10420091  add	x16, x16, #0x10
0xfffffff009b2fdf8: f10300aa  mov	x17, x0
0xfffffff009b2fdfc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b2fe00: 300ac1da  pacda	x16, x17
0xfffffff009b2fe04: 100000f9  str	x16, [x0]
0xfffffff009b2fe08: 404400d0  adrp	x0, #0xfffffff00a3b9000
0xfffffff009b2fe0c: 00a03691  add	x0, x0, #0xda8
