; Candidate 7955
; ADRP+ADD at VM 0xfffffff00888a084 (fileoff 0x1886084): page=0x1fe95f000 add_imm=0xe80

0xfffffff00888a004: 204dff90  adrp	x0, #0xfffffff00722e000
0xfffffff00888a008: 002c1c91  add	x0, x0, #0x70b
0xfffffff00888a00c: f42300a9  stp	x20, x8, [sp]
0xfffffff00888a010: 14b5d497  bl	#0xfffffff007db7460
0xfffffff00888a014: 24000014  b	#0xfffffff00888a0a4
0xfffffff00888a018: 21008052  mov	w1, #1
0xfffffff00888a01c: 02008052  mov	w2, #0
0xfffffff00888a020: f1ee4894  bl	#0xfffffff009ac5be4
0xfffffff00888a024: 603200f9  str	x0, [x19, #0x60]
0xfffffff00888a028: a00400b4  cbz	x0, #0xfffffff00888a0bc
0xfffffff00888a02c: 00008052  mov	w0, #0
0xfffffff00888a030: 688e40f9  ldr	x8, [x19, #0x118]
0xfffffff00888a034: 080177b2  orr	x8, x8, #0x200
0xfffffff00888a038: 688e00f9  str	x8, [x19, #0x118]
0xfffffff00888a03c: 1b000014  b	#0xfffffff00888a0a8
0xfffffff00888a040: 5ba80094  bl	#0xfffffff0088b41ac
0xfffffff00888a044: f40300aa  mov	x20, x0
0xfffffff00888a048: 80008052  mov	w0, #4
0xfffffff00888a04c: 01c6ff97  bl	#0xfffffff00887b850
0xfffffff00888a050: f3db03a9  stp	x19, x22, [sp, #0x38]
0xfffffff00888a054: 284dff90  adrp	x8, #0xfffffff00722e000
0xfffffff00888a058: 0ad11291  add	x10, x8, #0x4b4
0xfffffff00888a05c: 68458052  mov	w8, #0x22b
0xfffffff00888a060: 294dff90  adrp	x9, #0xfffffff00722e000
0xfffffff00888a064: 29211d91  add	x9, x9, #0x748
0xfffffff00888a068: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff00888a06c: 284dffb0  adrp	x8, #0xfffffff00722f000
0xfffffff00888a070: 087d0391  add	x8, x8, #0xdf
0xfffffff00888a074: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00888a078: 88098052  mov	w8, #0x4c
0xfffffff00888a07c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00888a080: f40300f9  str	x20, [sp]
0xfffffff00888a084: e04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff00888a088: 00003a91  add	x0, x0, #0xe80
0xfffffff00888a08c: e18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff00888a090: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00888a094: 834efff0  adrp	x3, #0xfffffff00725d000
0xfffffff00888a098: 63ec1891  add	x3, x3, #0x63b
0xfffffff00888a09c: 02008052  mov	w2, #0
0xfffffff00888a0a0: 24a4ea97  bl	#0xfffffff008333130
0xfffffff00888a0a4: 407e8012  mov	w0, #-0x3f3
0xfffffff00888a0a8: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00888a0ac: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00888a0b0: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00888a0b4: ff030291  add	sp, sp, #0x80
0xfffffff00888a0b8: ff0f5fd6  retab	
0xfffffff00888a0bc: 80098052  mov	w0, #0x4c
0xfffffff00888a0c0: a1008052  mov	w1, #5
0xfffffff00888a0c4: c3c5ff97  bl	#0xfffffff00887b7d0
0xfffffff00888a0c8: 80060034  cbz	w0, #0xfffffff00888a198
0xfffffff00888a0cc: 80098052  mov	w0, #0x4c
0xfffffff00888a0d0: d2c5ff97  bl	#0xfffffff00887b818
0xfffffff00888a0d4: f50300aa  mov	x21, x0
0xfffffff00888a0d8: 35a80094  bl	#0xfffffff0088b41ac
0xfffffff00888a0dc: f40300aa  mov	x20, x0
0xfffffff00888a0e0: a0008052  mov	w0, #5
0xfffffff00888a0e4: dbc5ff97  bl	#0xfffffff00887b850
0xfffffff00888a0e8: 76620091  add	x22, x19, #0x18
0xfffffff00888a0ec: 55020034  cbz	w21, #0xfffffff00888a134
0xfffffff00888a0f0: 284dff90  adrp	x8, #0xfffffff00722e000
0xfffffff00888a0f4: 0a4d1e91  add	x10, x8, #0x793
0xfffffff00888a0f8: f3db03a9  stp	x19, x22, [sp, #0x38]
0xfffffff00888a0fc: 48468052  mov	w8, #0x232
0xfffffff00888a100: 294dff90  adrp	x9, #0xfffffff00722e000
