; Candidate 6323
; ADRP+ADD at VM 0xfffffff008823b34 (fileoff 0x181fb34): page=0x1fe9fd000 add_imm=0xcec

0xfffffff008823ab4: 2351fff0  adrp	x3, #0xfffffff00724a000
0xfffffff008823ab8: 632c3991  add	x3, x3, #0xe4b
0xfffffff008823abc: 02008052  mov	w2, #0
0xfffffff008823ac0: 9c3dec97  bl	#0xfffffff008333130
0xfffffff008823ac4: 407d8012  mov	w0, #-0x3eb
0xfffffff008823ac8: ccffff17  b	#0xfffffff0088239f8
0xfffffff008823acc: 7f2303d5  pacibsp	
0xfffffff008823ad0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008823ad4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008823ad8: fd430091  add	x29, sp, #0x10
0xfffffff008823adc: f30301aa  mov	x19, x1
0xfffffff008823ae0: f40300aa  mov	x20, x0
0xfffffff008823ae4: e00301aa  mov	x0, x1
0xfffffff008823ae8: 922f0094  bl	#0xfffffff00882f930
0xfffffff008823aec: 80c20091  add	x0, x20, #0x30
0xfffffff008823af0: e10313aa  mov	x1, x19
0xfffffff008823af4: 50300094  bl	#0xfffffff00882fc34
0xfffffff008823af8: 00008052  mov	w0, #0
0xfffffff008823afc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008823b00: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008823b04: ff0f5fd6  retab	
0xfffffff008823b08: 7f2303d5  pacibsp	
0xfffffff008823b0c: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008823b10: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008823b14: fd430091  add	x29, sp, #0x10
0xfffffff008823b18: f30300aa  mov	x19, x0
0xfffffff008823b1c: 1f1000b9  str	wzr, [x0, #0x10]
0xfffffff008823b20: 1ffc01a9  stp	xzr, xzr, [x0, #0x18]
0xfffffff008823b24: 00a00091  add	x0, x0, #0x28
0xfffffff008823b28: 01008052  mov	w1, #0
0xfffffff008823b2c: 02028052  mov	w2, #0x10
0xfffffff008823b30: 24a4d497  bl	#0xfffffff007d4cbc0
0xfffffff008823b34: e04fffb0  adrp	x0, #0xfffffff007220000
0xfffffff008823b38: 00b03391  add	x0, x0, #0xcec
0xfffffff008823b3c: 1516ec97  bl	#0xfffffff008329390
0xfffffff008823b40: 601600f9  str	x0, [x19, #0x28]
0xfffffff008823b44: e04fffb0  adrp	x0, #0xfffffff007220000
0xfffffff008823b48: 00f03391  add	x0, x0, #0xcfc
0xfffffff008823b4c: 1116ec97  bl	#0xfffffff008329390
0xfffffff008823b50: 601a00f9  str	x0, [x19, #0x30]
0xfffffff008823b54: 60e20091  add	x0, x19, #0x38
0xfffffff008823b58: 01008052  mov	w1, #0
0xfffffff008823b5c: 02c08052  mov	w2, #0x600
0xfffffff008823b60: 18a4d497  bl	#0xfffffff007d4cbc0
0xfffffff008823b64: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008823b68: 601e03fd  str	d0, [x19, #0x638]
0xfffffff008823b6c: 684eff90  adrp	x8, #0xfffffff0071ef000
0xfffffff008823b70: 0129c03d  ldr	q1, [x8, #0xa0]
0xfffffff008823b74: 6192813d  str	q1, [x19, #0x640]
0xfffffff008823b78: 7f2a03f9  str	xzr, [x19, #0x650]
0xfffffff008823b7c: 602e03fd  str	d0, [x19, #0x658]
0xfffffff008823b80: 7f6206b9  str	wzr, [x19, #0x660]
0xfffffff008823b84: 60a21991  add	x0, x19, #0x668
0xfffffff008823b88: 122e0094  bl	#0xfffffff00882f3d0
0xfffffff008823b8c: 7f7a06b9  str	wzr, [x19, #0x678]
0xfffffff008823b90: 7f4203f9  str	xzr, [x19, #0x680]
0xfffffff008823b94: e00313aa  mov	x0, x19
0xfffffff008823b98: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008823b9c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008823ba0: ff0f5fd6  retab	
0xfffffff008823ba4: 5f2403d5  bti	c
0xfffffff008823ba8: d8ffff17  b	#0xfffffff008823b08
0xfffffff008823bac: 7f2303d5  pacibsp	
0xfffffff008823bb0: f657bda9  stp	x22, x21, [sp, #-0x30]!
