; Candidate 10418
; ADRP+ADD at VM 0xfffffff008d44f90 (fileoff 0x1d40f90): page=0x1fe644000 add_imm=0xd5d

0xfffffff008d44f10: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff008d44f14: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff008d44f18: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff008d44f1c: fd430191  add	x29, sp, #0x50
0xfffffff008d44f20: f30300aa  mov	x19, x0
0xfffffff008d44f24: 35ad0090  adrp	x21, #0xfffffff00a2e8000
0xfffffff008d44f28: b5920c91  add	x21, x21, #0x324
0xfffffff008d44f2c: a8024039  ldrb	w8, [x21]
0xfffffff008d44f30: 1432ffb0  adrp	x20, #0xfffffff007385000
0xfffffff008d44f34: 94d62f91  add	x20, x20, #0xbf5
0xfffffff008d44f38: 1f290071  cmp	w8, #0xa
0xfffffff008d44f3c: e8000054  b.hi	#0xfffffff008d44f58
0xfffffff008d44f40: 2832ff90  adrp	x8, #0xfffffff007388000
0xfffffff008d44f44: 08292291  add	x8, x8, #0x88a
0xfffffff008d44f48: f42300a9  stp	x20, x8, [sp]
0xfffffff008d44f4c: 2032ffb0  adrp	x0, #0xfffffff007389000
0xfffffff008d44f50: 00bc1791  add	x0, x0, #0x5ef
0xfffffff008d44f54: 3348d897  bl	#0xfffffff008357020
0xfffffff008d44f58: 732400b4  cbz	x19, #0xfffffff008d453e4
0xfffffff008d44f5c: 680240b9  ldr	w8, [x19]
0xfffffff008d44f60: 10050051  sub	w16, w8, #1
0xfffffff008d44f64: 1f5a0071  cmp	w16, #0x16
0xfffffff008d44f68: c8130054  b.hi	#0xfffffff008d451e0
0xfffffff008d44f6c: 1f5a00f1  cmp	x16, #0x16
0xfffffff008d44f70: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff008d44f74: 110000b0  adrp	x17, #0xfffffff008d45000
0xfffffff008d44f78: 31221091  add	x17, x17, #0x408
0xfffffff008d44f7c: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff008d44f80: 11000010  adr	x17, #0xfffffff008d44f80
0xfffffff008d44f84: 3002108b  add	x16, x17, x16
0xfffffff008d44f88: 00021fd6  br	x16
0xfffffff008d44f8c: 9f2403d5  bti	j
0xfffffff008d44f90: 2032ff90  adrp	x0, #0xfffffff007388000
0xfffffff008d44f94: 00743591  add	x0, x0, #0xd5d
0xfffffff008d44f98: 2332ff90  adrp	x3, #0xfffffff007388000
0xfffffff008d44f9c: 631c1991  add	x3, x3, #0x647
0xfffffff008d44fa0: 2532ff90  adrp	x5, #0xfffffff007388000
0xfffffff008d44fa4: a5282291  add	x5, x5, #0x88a
0xfffffff008d44fa8: e10313aa  mov	x1, x19
0xfffffff008d44fac: 02048052  mov	w2, #0x20
0xfffffff008d44fb0: a4178052  mov	w4, #0xbd
0xfffffff008d44fb4: 15e2ff97  bl	#0xfffffff008d3d808
0xfffffff008d44fb8: 606cffb0  adrp	x0, #0xfffffff007ad1000
0xfffffff008d44fbc: 00e02c91  add	x0, x0, #0xb38
0xfffffff008d44fc0: e10313aa  mov	x1, x19
0xfffffff008d44fc4: d245d897  bl	#0xfffffff00835670c
0xfffffff008d44fc8: f4000014  b	#0xfffffff008d45398
0xfffffff008d44fcc: 9f2403d5  bti	j
0xfffffff008d44fd0: e00313aa  mov	x0, x19
0xfffffff008d44fd4: 01058052  mov	w1, #0x28
0xfffffff008d44fd8: 8de1ff97  bl	#0xfffffff008d3d60c
0xfffffff008d44fdc: 2032ff90  adrp	x0, #0xfffffff007388000
0xfffffff008d44fe0: 00202e91  add	x0, x0, #0xb88
0xfffffff008d44fe4: 2332ff90  adrp	x3, #0xfffffff007388000
0xfffffff008d44fe8: 631c1991  add	x3, x3, #0x647
0xfffffff008d44fec: 2532ff90  adrp	x5, #0xfffffff007388000
0xfffffff008d44ff0: a5282291  add	x5, x5, #0x88a
0xfffffff008d44ff4: e10313aa  mov	x1, x19
0xfffffff008d44ff8: 02058052  mov	w2, #0x28
0xfffffff008d44ffc: 24148052  mov	w4, #0xa1
0xfffffff008d45000: 02e2ff97  bl	#0xfffffff008d3d808
0xfffffff008d45004: 606cff90  adrp	x0, #0xfffffff007ad1000
0xfffffff008d45008: 00a03e91  add	x0, x0, #0xfa8
0xfffffff008d4500c: e10313aa  mov	x1, x19
