; Candidate 11400
; ADRP+ADD at VM 0xfffffff008f22bdc (fileoff 0x1f1ebdc): page=0x13e9000 add_imm=0xcf0

0xfffffff008f22b5c: e00313aa  mov	x0, x19
0xfffffff008f22b60: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008f22b64: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008f22b68: ff2303d5  autibsp	
0xfffffff008f22b6c: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008f22b70: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008f22b78
0xfffffff008f22b74: 208e38d4  brk	#0xc471
0xfffffff008f22b78: c2522714  b	#0xfffffff0098f7680
0xfffffff008f22b7c: 7f2303d5  pacibsp	
0xfffffff008f22b80: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008f22b84: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008f22b88: fd430091  add	x29, sp, #0x10
0xfffffff008f22b8c: f30300aa  mov	x19, x0
0xfffffff008f22b90: c3ffff97  bl	#0xfffffff008f22a9c
0xfffffff008f22b94: c05ffff0  adrp	x0, #0xfffffff007b1d000
0xfffffff008f22b98: 00c01891  add	x0, x0, #0x630
0xfffffff008f22b9c: e10313aa  mov	x1, x19
0xfffffff008f22ba0: 022a8052  mov	w2, #0x150
0xfffffff008f22ba4: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008f22ba8: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008f22bac: ff2303d5  autibsp	
0xfffffff008f22bb0: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008f22bb4: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008f22bbc
0xfffffff008f22bb8: 208e38d4  brk	#0xc471
0xfffffff008f22bbc: b812cf17  b	#0xfffffff0082e769c
0xfffffff008f22bc0: 5f2403d5  bti	c
0xfffffff008f22bc4: e20301aa  mov	x2, x1
0xfffffff008f22bc8: e10300aa  mov	x1, x0
0xfffffff008f22bcc: c05ffff0  adrp	x0, #0xfffffff007b1d000
0xfffffff008f22bd0: 00c01891  add	x0, x0, #0x630
0xfffffff008f22bd4: b212cf17  b	#0xfffffff0082e769c
0xfffffff008f22bd8: 5f2403d5  bti	c
0xfffffff008f22bdc: 409f00b0  adrp	x0, #0xfffffff00a30b000
0xfffffff008f22be0: 00c03391  add	x0, x0, #0xcf0
0xfffffff008f22be4: c0035fd6  ret	
0xfffffff008f22be8: 7f2303d5  pacibsp	
0xfffffff008f22bec: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008f22bf0: fd030091  mov	x29, sp
0xfffffff008f22bf4: 8127ff90  adrp	x1, #0xfffffff007412000
0xfffffff008f22bf8: 21bc2191  add	x1, x1, #0x86f
0xfffffff008f22bfc: a25fffd0  adrp	x2, #0xfffffff007b18000
0xfffffff008f22c00: 425444f9  ldr	x2, [x2, #0x8a8]
0xfffffff008f22c04: 032a8052  mov	w3, #0x150
0xfffffff008f22c08: cc03cf97  bl	#0xfffffff0082e3b38
0xfffffff008f22c0c: d05fffd0  adrp	x16, #0xfffffff007b1c000
0xfffffff008f22c10: 10c22b91  add	x16, x16, #0xaf0
0xfffffff008f22c14: 10420091  add	x16, x16, #0x10
0xfffffff008f22c18: f10300aa  mov	x17, x0
0xfffffff008f22c1c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008f22c20: 300ac1da  pacda	x16, x17
0xfffffff008f22c24: 100000f9  str	x16, [x0]
0xfffffff008f22c28: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008f22c2c: ff0f5fd6  retab	
0xfffffff008f22c30: 7f2303d5  pacibsp	
0xfffffff008f22c34: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008f22c38: fd030091  mov	x29, sp
0xfffffff008f22c3c: c05ffff0  adrp	x0, #0xfffffff007b1d000
0xfffffff008f22c40: 00c01891  add	x0, x0, #0x630
0xfffffff008f22c44: 012a8052  mov	w1, #0x150
0xfffffff008f22c48: 7c12cf97  bl	#0xfffffff0082e7638
0xfffffff008f22c4c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008f22c50: ff2303d5  autibsp	
0xfffffff008f22c54: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008f22c58: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008f22c60
