; Candidate 7119
; ADRP+ADD at VM 0xfffffff008858c80 (fileoff 0x1854c80): page=0x1fe991000 add_imm=0xe80

0xfffffff008858c00: 00943b91  add	x0, x0, #0xee5
0xfffffff008858c04: fa2300a9  stp	x26, x8, [sp]
0xfffffff008858c08: 167ad597  bl	#0xfffffff007db7460
0xfffffff008858c0c: 88000014  b	#0xfffffff008858e2c
0xfffffff008858c10: 676d0194  bl	#0xfffffff0088b41ac
0xfffffff008858c14: f80300aa  mov	x24, x0
0xfffffff008858c18: a0008052  mov	w0, #5
0xfffffff008858c1c: 0d8b0094  bl	#0xfffffff00887b850
0xfffffff008858c20: a81e40f9  ldr	x8, [x21, #0x38]
0xfffffff008858c24: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008858c28: 8a1a40b9  ldr	w10, [x20, #0x18]
0xfffffff008858c2c: cb5a40b9  ldr	w11, [x22, #0x58]
0xfffffff008858c30: ac3240b9  ldr	w12, [x21, #0x30]
0xfffffff008858c34: edc640b9  ldr	w13, [x23, #0xc4]
0xfffffff008858c38: eeaa43b9  ldr	w14, [x23, #0x3a8]
0xfffffff008858c3c: edbb07a9  stp	x13, x14, [sp, #0x78]
0xfffffff008858c40: e8b306a9  stp	x8, x12, [sp, #0x68]
0xfffffff008858c44: ebeb05a9  stp	x11, x26, [sp, #0x58]
0xfffffff008858c48: eadb04a9  stp	x10, x22, [sp, #0x48]
0xfffffff008858c4c: e9d303a9  stp	x9, x20, [sp, #0x38]
0xfffffff008858c50: 682d8152  mov	w8, #0x96b
0xfffffff008858c54: 694effd0  adrp	x9, #0xfffffff007226000
0xfffffff008858c58: 29ad3491  add	x9, x9, #0xd2b
0xfffffff008858c5c: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008858c60: 684efff0  adrp	x8, #0xfffffff007227000
0xfffffff008858c64: 08811191  add	x8, x8, #0x460
0xfffffff008858c68: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008858c6c: 880c8052  mov	w8, #0x64
0xfffffff008858c70: e34fff90  adrp	x3, #0xfffffff007254000
0xfffffff008858c74: 63981091  add	x3, x3, #0x426
0xfffffff008858c78: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008858c7c: f80300f9  str	x24, [sp]
0xfffffff008858c80: 804cffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008858c84: 00003a91  add	x0, x0, #0xe80
0xfffffff008858c88: 818dff90  adrp	x1, #0xfffffff007a08000
0xfffffff008858c8c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008858c90: 02008052  mov	w2, #0
0xfffffff008858c94: 2769eb97  bl	#0xfffffff008333130
0xfffffff008858c98: 1a008052  mov	w26, #0
0xfffffff008858c9c: 09feff17  b	#0xfffffff0088584c0
0xfffffff008858ca0: 436d0194  bl	#0xfffffff0088b41ac
0xfffffff008858ca4: fa0300aa  mov	x26, x0
0xfffffff008858ca8: a0008052  mov	w0, #5
0xfffffff008858cac: e98a0094  bl	#0xfffffff00887b850
0xfffffff008858cb0: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008858cb4: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff008858cb8: ca5a40b9  ldr	w10, [x22, #0x58]
0xfffffff008858cbc: ebc640b9  ldr	w11, [x23, #0xc4]
0xfffffff008858cc0: 8c6340b9  ldr	w12, [x28, #0x60]
0xfffffff008858cc4: 8d0340b9  ldr	w13, [x28]
0xfffffff008858cc8: ecb706a9  stp	x12, x13, [sp, #0x68]
0xfffffff008858ccc: eaaf05a9  stp	x10, x11, [sp, #0x58]
0xfffffff008858cd0: e9db04a9  stp	x9, x22, [sp, #0x48]
0xfffffff008858cd4: e8d303a9  stp	x8, x20, [sp, #0x38]
0xfffffff008858cd8: 88398152  mov	w8, #0x9cc
0xfffffff008858cdc: 694effd0  adrp	x9, #0xfffffff007226000
0xfffffff008858ce0: 29ad3491  add	x9, x9, #0xd2b
0xfffffff008858ce4: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff008858ce8: 684efff0  adrp	x8, #0xfffffff007227000
0xfffffff008858cec: 08811191  add	x8, x8, #0x460
0xfffffff008858cf0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008858cf4: 880c8052  mov	w8, #0x64
0xfffffff008858cf8: e34fff90  adrp	x3, #0xfffffff007254000
0xfffffff008858cfc: 63401791  add	x3, x3, #0x5d0
