; Candidate 9161
; ADRP+ADD at VM 0xfffffff008a055a8 (fileoff 0x1a015a8): page=0x1fe894000 add_imm=0xe40

0xfffffff008a05528: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff008a0552c: ff430191  add	sp, sp, #0x50
0xfffffff008a05530: ff0f5fd6  retab	
0xfffffff008a05534: 700240f9  ldr	x16, [x19]
0xfffffff008a05538: f10313aa  mov	x17, x19
0xfffffff008a0553c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05540: 301ac1da  autda	x16, x17
0xfffffff008a05544: 113d80d2  mov	x17, #0x1e8
0xfffffff008a05548: 1002118b  add	x16, x16, x17
0xfffffff008a0554c: 080240f9  ldr	x8, [x16]
0xfffffff008a05550: e90310aa  mov	x9, x16
0xfffffff008a05554: e00313aa  mov	x0, x19
0xfffffff008a05558: 010080d2  mov	x1, #0
0xfffffff008a0555c: f10309aa  mov	x17, x9
0xfffffff008a05560: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05564: 11093fd7  blraa	x8, x17
0xfffffff008a05568: 700240f9  ldr	x16, [x19]
0xfffffff008a0556c: f10313aa  mov	x17, x19
0xfffffff008a05570: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a05574: 301ac1da  autda	x16, x17
0xfffffff008a05578: 113d80d2  mov	x17, #0x1e8
0xfffffff008a0557c: 1002118b  add	x16, x16, x17
0xfffffff008a05580: 080240f9  ldr	x8, [x16]
0xfffffff008a05584: e90310aa  mov	x9, x16
0xfffffff008a05588: e00313aa  mov	x0, x19
0xfffffff008a0558c: 010080d2  mov	x1, #0
0xfffffff008a05590: f10309aa  mov	x17, x9
0xfffffff008a05594: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05598: 11093fd7  blraa	x8, x17
0xfffffff008a0559c: b444ffb0  adrp	x20, #0xfffffff00729a000
0xfffffff008a055a0: 94de1991  add	x20, x20, #0x677
0xfffffff008a055a4: e05300a9  stp	x0, x20, [sp]
0xfffffff008a055a8: a044ff90  adrp	x0, #0xfffffff007299000
0xfffffff008a055ac: 00003991  add	x0, x0, #0xe40
0xfffffff008a055b0: 2182ffd0  adrp	x1, #0xfffffff007a4b000
0xfffffff008a055b4: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a055b8: c344ffb0  adrp	x3, #0xfffffff00729e000
0xfffffff008a055bc: 63bc1d91  add	x3, x3, #0x76f
0xfffffff008a055c0: 02028052  mov	w2, #0x10
0xfffffff008a055c4: dbb6e497  bl	#0xfffffff008333130
0xfffffff008a055c8: 700240f9  ldr	x16, [x19]
0xfffffff008a055cc: f10313aa  mov	x17, x19
0xfffffff008a055d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a055d4: 301ac1da  autda	x16, x17
0xfffffff008a055d8: f10310aa  mov	x17, x16
0xfffffff008a055dc: f147c1da  xpacd	x17
0xfffffff008a055e0: 1f0211eb  cmp	x16, x17
0xfffffff008a055e4: 40000054  b.eq	#0xfffffff008a055ec
0xfffffff008a055e8: 408e38d4  brk	#0xc472
0xfffffff008a055ec: 08a20791  add	x8, x16, #0x1e8
0xfffffff008a055f0: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff008a055f4: e00313aa  mov	x0, x19
0xfffffff008a055f8: 010080d2  mov	x1, #0
0xfffffff008a055fc: f10308aa  mov	x17, x8
0xfffffff008a05600: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a05604: 31093fd7  blraa	x9, x17
0xfffffff008a05608: e05300a9  stp	x0, x20, [sp]
0xfffffff008a0560c: a044ffb0  adrp	x0, #0xfffffff00729a000
0xfffffff008a05610: 00581a91  add	x0, x0, #0x696
0xfffffff008a05614: 8346e597  bl	#0xfffffff008357020
0xfffffff008a05618: 15008052  mov	w21, #0
0xfffffff008a0561c: c0ffff17  b	#0xfffffff008a0551c
0xfffffff008a05620: 700240f9  ldr	x16, [x19]
0xfffffff008a05624: f10313aa  mov	x17, x19
