; Candidate 5091
; ADRP+ADD at VM 0xfffffff0087d84f4 (fileoff 0x17d44f4): page=0x1fea11000 add_imm=0xe80

0xfffffff0087d8474: 700240f9  ldr	x16, [x19]
0xfffffff0087d8478: f01ac1da  autda	x16, x23
0xfffffff0087d847c: 080e4ef8  ldr	x8, [x16, #0xe0]!
0xfffffff0087d8480: e90310aa  mov	x9, x16
0xfffffff0087d8484: e00313aa  mov	x0, x19
0xfffffff0087d8488: 01008052  mov	w1, #0
0xfffffff0087d848c: f10309aa  mov	x17, x9
0xfffffff0087d8490: b150f2f2  movk	x17, #0x9285, lsl #48
0xfffffff0087d8494: 11093fd7  blraa	x8, x17
0xfffffff0087d8498: e00314aa  mov	x0, x20
0xfffffff0087d849c: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087d84a0: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087d84a4: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087d84a8: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087d84ac: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0087d84b0: ff830291  add	sp, sp, #0xa0
0xfffffff0087d84b4: ff0f5fd6  retab	
0xfffffff0087d84b8: 3d6f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d84bc: f90300aa  mov	x25, x0
0xfffffff0087d84c0: 00018052  mov	w0, #8
0xfffffff0087d84c4: e38c0294  bl	#0xfffffff00887b850
0xfffffff0087d84c8: e80314aa  mov	x8, x20
0xfffffff0087d84cc: f8a303a9  stp	x24, x8, [sp, #0x38]
0xfffffff0087d84d0: f6df02a9  stp	x22, x23, [sp, #0x28]
0xfffffff0087d84d4: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d84d8: 09810391  add	x9, x8, #0xe0
0xfffffff0087d84dc: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d84e0: 081d0291  add	x8, x8, #0x87
0xfffffff0087d84e4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d84e8: 280a8052  mov	w8, #0x51
0xfffffff0087d84ec: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d84f0: f90300f9  str	x25, [sp]
0xfffffff0087d84f4: 8050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d84f8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d84fc: 8191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d8500: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d8504: 0353fff0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d8508: 63182f91  add	x3, x3, #0xbc6
0xfffffff0087d850c: 02008052  mov	w2, #0
0xfffffff0087d8510: 086bed97  bl	#0xfffffff008333130
0xfffffff0087d8514: 75f9ffb5  cbnz	x21, #0xfffffff0087d8440
0xfffffff0087d8518: d4ffff17  b	#0xfffffff0087d8468
0xfffffff0087d851c: 246f0394  bl	#0xfffffff0088b41ac
0xfffffff0087d8520: f50300aa  mov	x21, x0
0xfffffff0087d8524: 80008052  mov	w0, #4
0xfffffff0087d8528: ca8c0294  bl	#0xfffffff00887b850
0xfffffff0087d852c: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d8530: 0a710491  add	x10, x8, #0x11c
0xfffffff0087d8534: a8168052  mov	w8, #0xb5
0xfffffff0087d8538: c951ffd0  adrp	x9, #0xfffffff007212000
0xfffffff0087d853c: 29810391  add	x9, x9, #0xe0
0xfffffff0087d8540: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0087d8544: c851ffd0  adrp	x8, #0xfffffff007212000
0xfffffff0087d8548: 081d0291  add	x8, x8, #0x87
0xfffffff0087d854c: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087d8550: 280a8052  mov	w8, #0x51
0xfffffff0087d8554: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087d8558: f50300f9  str	x21, [sp]
0xfffffff0087d855c: 8050ffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087d8560: 00003a91  add	x0, x0, #0xe80
0xfffffff0087d8564: 8191ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087d8568: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087d856c: 0353fff0  adrp	x3, #0xfffffff00723b000
0xfffffff0087d8570: 63402d91  add	x3, x3, #0xb50
