; Candidate 9078
; ADRP+ADD at VM 0xfffffff0089efb54 (fileoff 0x19ebb54): page=0x1fe8a4000 add_imm=0xe5e

0xfffffff0089efad4: 28e11f38  sturb	w8, [x9, #-2]
0xfffffff0089efad8: e802188b  add	x8, x23, x24
0xfffffff0089efadc: 15f11f38  sturb	w21, [x8, #-1]
0xfffffff0089efae0: c06e40f9  ldr	x0, [x22, #0xd8]
0xfffffff0089efae4: e403142a  mov	w4, w20
0xfffffff0089efae8: 100040f9  ldr	x16, [x0]
0xfffffff0089efaec: f10300aa  mov	x17, x0
0xfffffff0089efaf0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089efaf4: 301ac1da  autda	x16, x17
0xfffffff0089efaf8: 11ac80d2  mov	x17, #0x560
0xfffffff0089efafc: 1002118b  add	x16, x16, x17
0xfffffff0089efb00: 080240f9  ldr	x8, [x16]
0xfffffff0089efb04: e90310aa  mov	x9, x16
0xfffffff0089efb08: 41008052  mov	w1, #2
0xfffffff0089efb0c: e20317aa  mov	x2, x23
0xfffffff0089efb10: e30318aa  mov	x3, x24
0xfffffff0089efb14: e50313aa  mov	x5, x19
0xfffffff0089efb18: f10309aa  mov	x17, x9
0xfffffff0089efb1c: f1d7e9f2  movk	x17, #0x4ebf, lsl #48
0xfffffff0089efb20: 11093fd7  blraa	x8, x17
0xfffffff0089efb24: f70300aa  mov	x23, x0
0xfffffff0089efb28: 5f030091  mov	sp, x26
0xfffffff0089efb2c: b9faff34  cbz	w25, #0xfffffff0089efa80
0xfffffff0089efb30: c07240f9  ldr	x0, [x22, #0xe0]
0xfffffff0089efb34: 02f3ce97  bl	#0xfffffff007dac73c
0xfffffff0089efb38: 17040034  cbz	w23, #0xfffffff0089efbb8
0xfffffff0089efb3c: 2845ff90  adrp	x8, #0xfffffff007293000
0xfffffff0089efb40: 08753a91  add	x8, x8, #0xe9d
0xfffffff0089efb44: e85fbea9  stp	x8, x23, [sp, #-0x20]!
0xfffffff0089efb48: f603142a  mov	w22, w20
0xfffffff0089efb4c: e803152a  mov	w8, w21
0xfffffff0089efb50: e85b01a9  stp	x8, x22, [sp, #0x10]
0xfffffff0089efb54: 2045ff90  adrp	x0, #0xfffffff007293000
0xfffffff0089efb58: 00783991  add	x0, x0, #0xe5e
0xfffffff0089efb5c: 319de597  bl	#0xfffffff008357020
0xfffffff0089efb60: ff830091  add	sp, sp, #0x20
0xfffffff0089efb64: 54020034  cbz	w20, #0xfffffff0089efbac
0xfffffff0089efb68: 150080d2  mov	x21, #0
0xfffffff0089efb6c: 88060051  sub	w8, w20, #1
0xfffffff0089efb70: 187d4093  sxtw	x24, w8
0xfffffff0089efb74: b90f8052  mov	w25, #0x7d
0xfffffff0089efb78: 9a058052  mov	w26, #0x2c
0xfffffff0089efb7c: 3445ff90  adrp	x20, #0xfffffff007293000
0xfffffff0089efb80: 94a23a91  add	x20, x20, #0xea8
0xfffffff0089efb84: 686a7538  ldrb	w8, [x19, x21]
0xfffffff0089efb88: bf0218eb  cmp	x21, x24
0xfffffff0089efb8c: 4933999a  csel	x9, x26, x25, lo
0xfffffff0089efb90: e827bfa9  stp	x8, x9, [sp, #-0x10]!
0xfffffff0089efb94: e00314aa  mov	x0, x20
0xfffffff0089efb98: 229de597  bl	#0xfffffff008357020
0xfffffff0089efb9c: ff430091  add	sp, sp, #0x10
0xfffffff0089efba0: b5060091  add	x21, x21, #1
0xfffffff0089efba4: df0215eb  cmp	x22, x21
0xfffffff0089efba8: e1feff54  b.ne	#0xfffffff0089efb84
0xfffffff0089efbac: 2045ff90  adrp	x0, #0xfffffff007293000
0xfffffff0089efbb0: 00c43a91  add	x0, x0, #0xeb1
0xfffffff0089efbb4: 1b9de597  bl	#0xfffffff008357020
0xfffffff0089efbb8: a8835bf8  ldur	x8, [x29, #-0x48]
0xfffffff0089efbbc: a982fff0  adrp	x9, #0xfffffff007a46000
0xfffffff0089efbc0: 296146f9  ldr	x9, [x9, #0xcc0]
0xfffffff0089efbc4: 290140f9  ldr	x9, [x9]
0xfffffff0089efbc8: 3f0108eb  cmp	x9, x8
0xfffffff0089efbcc: 21010054  b.ne	#0xfffffff0089efbf0
0xfffffff0089efbd0: e00317aa  mov	x0, x23
