; Candidate 14695
; ADRP+ADD at VM 0xfffffff009883ac4 (fileoff 0x287fac4): page=0x1fe3e1000 add_imm=0xcf0

0xfffffff009883a44: f40300aa  mov	x20, x0
0xfffffff009883a48: 08244429  ldp	w8, w9, [x0, #0x20]
0xfffffff009883a4c: 1f01096b  cmp	w8, w9
0xfffffff009883a50: 6a000054  b.ge	#0xfffffff009883a5c
0xfffffff009883a54: 950e40f9  ldr	x21, [x20, #0x18]
0xfffffff009883a58: 21000014  b	#0xfffffff009883adc
0xfffffff009883a5c: 69000034  cbz	w9, #0xfffffff009883a68
0xfffffff009883a60: 36791f53  lsl	w22, w9, #1
0xfffffff009883a64: 02000014  b	#0xfffffff009883a6c
0xfffffff009883a68: 961e41b9  ldr	w22, [x20, #0x11c]
0xfffffff009883a6c: c87e7d93  sbfiz	x8, x22, #3, #0x20
0xfffffff009883a70: df020071  cmp	w22, #0
0xfffffff009883a74: 0900f0d2  mov	x9, #-0x8000000000000000
0xfffffff009883a78: 01a1899a  csel	x1, x8, x9, ge
0xfffffff009883a7c: 001fffb0  adrp	x0, #0xfffffff007c64000
0xfffffff009883a80: 00803291  add	x0, x0, #0xca0
0xfffffff009883a84: d34cab97  bl	#0xfffffff008356dd0
0xfffffff009883a88: 800400b4  cbz	x0, #0xfffffff009883b18
0xfffffff009883a8c: f50300aa  mov	x21, x0
0xfffffff009883a90: 882280b9  ldrsw	x8, [x20, #0x20]
0xfffffff009883a94: 08020034  cbz	w8, #0xfffffff009883ad4
0xfffffff009883a98: 810e40f9  ldr	x1, [x20, #0x18]
0xfffffff009883a9c: 02f17dd3  lsl	x2, x8, #3
0xfffffff009883aa0: e00315aa  mov	x0, x21
0xfffffff009883aa4: bb239397  bl	#0xfffffff007d4c990
0xfffffff009883aa8: 882680b9  ldrsw	x8, [x20, #0x24]
0xfffffff009883aac: 09f17dd3  lsl	x9, x8, #3
0xfffffff009883ab0: 1f010071  cmp	w8, #0
0xfffffff009883ab4: 0800f0d2  mov	x8, #-0x8000000000000000
0xfffffff009883ab8: 22a1889a  csel	x2, x9, x8, ge
0xfffffff009883abc: 810e40f9  ldr	x1, [x20, #0x18]
0xfffffff009883ac0: 9f0e00f9  str	xzr, [x20, #0x18]
0xfffffff009883ac4: 001fffb0  adrp	x0, #0xfffffff007c64000
0xfffffff009883ac8: 00c03391  add	x0, x0, #0xcf0
0xfffffff009883acc: c74cab97  bl	#0xfffffff008356de8
0xfffffff009883ad0: 882240b9  ldr	w8, [x20, #0x20]
0xfffffff009883ad4: 962600b9  str	w22, [x20, #0x24]
0xfffffff009883ad8: 950e00f9  str	x21, [x20, #0x18]
0xfffffff009883adc: 09050011  add	w9, w8, #1
0xfffffff009883ae0: 892200b9  str	w9, [x20, #0x20]
0xfffffff009883ae4: b3da28f8  str	x19, [x21, w8, sxtw #3]
0xfffffff009883ae8: 700240f9  ldr	x16, [x19]
0xfffffff009883aec: f10313aa  mov	x17, x19
0xfffffff009883af0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009883af4: 301ac1da  autda	x16, x17
0xfffffff009883af8: 080e42f8  ldr	x8, [x16, #0x20]!
0xfffffff009883afc: e90310aa  mov	x9, x16
0xfffffff009883b00: e00313aa  mov	x0, x19
0xfffffff009883b04: f10309aa  mov	x17, x9
0xfffffff009883b08: 51c9e5f2  movk	x17, #0x2e4a, lsl #48
0xfffffff009883b0c: 11093fd7  blraa	x8, x17
0xfffffff009883b10: 20008052  mov	w0, #1
0xfffffff009883b14: 0d000014  b	#0xfffffff009883b48
0xfffffff009883b18: 48eafe90  adrp	x8, #0xfffffff0075cb000
0xfffffff009883b1c: 08150c91  add	x8, x8, #0x305
0xfffffff009883b20: e80300f9  str	x8, [sp]
0xfffffff009883b24: 20eafeb0  adrp	x0, #0xfffffff0075c8000
0xfffffff009883b28: 00c00b91  add	x0, x0, #0x2f0
0xfffffff009883b2c: c11effd0  adrp	x1, #0xfffffff007c5d000
0xfffffff009883b30: 21c844f9  ldr	x1, [x1, #0x990]
0xfffffff009883b34: 43eafef0  adrp	x3, #0xfffffff0075ce000
0xfffffff009883b38: 63041291  add	x3, x3, #0x481
0xfffffff009883b3c: 22028052  mov	w2, #0x11
0xfffffff009883b40: 7cbdaa97  bl	#0xfffffff008333130
